,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Genre
0,2021,summer,Tensei shitara Slime Datta Ken 2nd Season Part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2,https://cdn.myanimelist.net/images/anime/1033/118296.jpg,Tensura 2,転生したらスライムだった件,That Time I Got Reincarnated as a Slime Season 2 Part 2,Meine Wiedergeburt als Schleim in einer anderen Welt Staffel 2 Teil 2,That Time I Got Reincarnated as a Slime Temporada 2 Parte 2,"Moi, Quand Je Me Réincarne en Slime Saison 2 Partie 2",TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,Tuesdays at 23,"Kodansha,       BS11,       Bandai Namco Arts,       Micro Magazine Publishing,       Bandai Spirits,       Sony Music Solutions,       ADK Marketing Solutions",Crunchyroll,8bit,Manga,"ActionAction,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.311 (scored by 482445482,445 users)
      


1
          indicates a weighted score.","#2692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#240,"835,843","10,975",,
1,2021,summer,Kobayashi-san Chi no Maid Dragon S,Miss Kobayashi's Dragon Maid S,https://cdn.myanimelist.net/images/anime/1252/115539.jpg,"Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season",小林さんちのメイドラゴンS,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,TV,12,Finished Airing,"Jul 8, 2021 to Sep 23, 2021",Summer 2021,Thursdays at 00,"Lantis,       ABC Animation,       Heart Company","None found, add some",Kyoto Animation,Manga,"Slice of LifeSlice of Life,         SupernaturalSupernatural",,,23 min. per ep.,PG-13 - Teens 13 or older,"8.231 (scored by 291186291,186 users)
      


1
          indicates a weighted score.","#3592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#399,"582,231","5,788",,
2,2021,summer,Vanitas no Karte,The Case Study of Vanitas,https://cdn.myanimelist.net/images/anime/1401/118483.jpg,"Vanitas no Shuki, Memoir of Vanitas, Vanitas no Carte",ヴァニタスの手記,The Case Study of Vanitas,,,,TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",Summer 2021,Saturdays at 00,"Aniplex,       Square Enix,       Hakuhodo DY Music & Pictures,       Contents Seed",Funimation,Bones,Manga,"ActionAction,         FantasyFantasy,         MysteryMystery","HistoricalHistorical,         Urban FantasyUrban Fantasy,         VampireVampire",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.901 (scored by 234788234,788 users)
      


1
          indicates a weighted score.","#8172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#404,"576,940","7,877",,
3,2021,summer,Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,https://cdn.myanimelist.net/images/anime/1950/116474.jpg,Moon-led Journey Across Another World,月が導く異世界道中,Tsukimichi -Moonlit Fantasy-,Tsukimichi,Tsukimichi,Tsukimichi,TV,12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021",Summer 2021,Wednesdays at 23,"Mainichi Broadcasting System,       Nippon Television Network,       Tokyo MX,       Medicos Entertainment,       Nichion,       A-Sketch,       DMM pictures,       BS NTV,       AQUA ARIS,       NetEase,       AlphaPolis","None found, add some",C2C,Light novel,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.711 (scored by 266166266,166 users)
      


1
          indicates a weighted score.","#12692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#477,"500,510","4,451",IsekaiIsekai,
4,2021,summer,Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,https://cdn.myanimelist.net/images/anime/1297/118764.jpg,Re,現実主義勇者の王国再建記,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 01,"KlockWorx,       King Records,       Overlap,       WOWMAX,       Yostar,       MIGHTY MEDIA",Funimation,J.C.Staff,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai,         MilitaryMilitary",,24 min. per ep.,PG-13 - Teens 13 or older,"7.251 (scored by 217128217,128 users)
      


1
          indicates a weighted score.","#31042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#576,"424,570","2,685",,
5,2021,summer,Seirei Gensouki,Seirei Gensouki: Spirit Chronicles,https://cdn.myanimelist.net/images/anime/1836/116060.jpg,Spirit Chronicles,精霊幻想記,Seirei Gensouki,Seirei Gensouki,Seirei Gensouki,Seirei Gensouki,TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,Tuesdays at 02,"MediaNet,       Nippon Columbia,       KlockWorx,       Asmik Ace,       Hobby Japan,       BS Fuji,       Strawberry Meets Pictures,       Crunchyroll,       Kanon Sound,       NichiNare,       Melonbooks,       TMS Music,       CTW","None found, add some",TMS Entertainment,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"7.071 (scored by 213498213,498 users)
      


1
          indicates a weighted score.","#40792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#588,"417,026","3,393",,
6,2021,summer,Kanojo mo Kanojo,"Girlfriend, Girlfriend",https://cdn.myanimelist.net/images/anime/1713/117119.jpg,Kanokano,カノジョも彼女,"Girlfriend, Girlfriend","Girlfriend, Girlfriend","Girlfriend, Girlfriend","Girlfriend, Girlfriend",TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",Summer 2021,Saturdays at 02,"Mainichi Broadcasting System,       Kodansha,       Half H.P Studio,       Nikkatsu,       NBCUniversal Entertainment Japan,       Forecast Communications,       Myrica Music","None found, add some",Tezuka Productions,Manga,"ComedyComedy,         RomanceRomance","HaremHarem,         SchoolSchool",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.521 (scored by 193932193,932 users)
      


1
          indicates a weighted score.","#69402

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#625,"397,835","2,517",,
7,2021,summer,"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,https://cdn.myanimelist.net/images/anime/1843/115815.jpg,Tanmoshi,探偵はもう、死んでいる。,The Detective Is Already Dead,,,,TV,12,Finished Airing,"Jul 4, 2021 to Sep 19, 2021",Summer 2021,Sundays at 21,"AT-X,       Kadokawa Media House,       Kadokawa,       INCS toenter",Funimation,ENGI,Light novel,"ComedyComedy,         MysteryMystery,         RomanceRomance",,,25 min. per ep.,PG-13 - Teens 13 or older,"6.411 (scored by 148784148,784 users)
      


1
          indicates a weighted score.","#76682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#643,"390,257","3,194",DetectiveDetective,
8,2021,summer,Bokutachi no Remake,Remake Our Life!,https://cdn.myanimelist.net/images/anime/1871/118309.jpg,Bokurema,ぼくたちのリメイク,Remake Our Life!,Remake Our Life!,Remake our Life!,Remake Our Life!,TV,12,Finished Airing,"Jul 3, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 21,"Studio Mausu,       bilibili,       Bushiroad Music,       DMM pictures,       Front Wing,       Bushiroad Move","None found, add some",feel.,Light novel,"DramaDrama,         RomanceRomance","Adult CastAdult Cast,         Time TravelTime Travel",,25 min. per ep.,PG-13 - Teens 13 or older,"7.391 (scored by 167473167,473 users)
      


1
          indicates a weighted score.","#24212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#697,"361,603","2,456",,
9,2021,summer,Sonny Boy,,https://cdn.myanimelist.net/images/anime/1509/117149.jpg,,Sonny Boy (サニーボーイ),Sonny Boy,,,,TV,12,Finished Airing,"Jul 16, 2021 to Oct 1, 2021",Summer 2021,Fridays at 00,"Shochiku,       Marui Group,       BS Asahi",Funimation,Madhouse,Original,"Award WinningAward Winning,         MysteryMystery","IsekaiIsekai,         Super PowerSuper Power",,24 min. per ep.,PG-13 - Teens 13 or older,"7.821 (scored by 121516121,516 users)
      


1
          indicates a weighted score.","#10002

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#755,"339,214","7,654",,
