,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Demographic,Genre,German,Spanish,French
0,2022,summer,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,https://cdn.myanimelist.net/images/anime/1010/124180.jpg,"Classroom of the Elite 2nd Season, You-jitsu 2nd Season, You-zitsu 2nd Season",ようこそ実力至上主義の教室へ 2nd Season,Classroom of the Elite II,TV,13,Finished Airing,"Jul 4, 2022 to Sep 26, 2022",Summer 2022,Mondays at 21,"Studio Hibari,       Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Music Live","None found, add some",Lerche,Light novel,"DramaDrama,         SuspenseSuspense","PsychologicalPsychological,         SchoolSchool",23 min. per ep.,PG-13 - Teens 13 or older,"8.081 (scored by 407758407,758 users)
      


1
          indicates a weighted score.","#5472

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#300,"713,259","8,365",,,,,,
1,2022,summer,Yofukashi no Uta,Call of the Night,https://cdn.myanimelist.net/images/anime/1045/123711.jpg,,よふかしのうた,Call of the Night,TV,13,Finished Airing,"Jul 8, 2022 to Sep 30, 2022",Summer 2022,Fridays at 00,"Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Animax,       Fuji TV,       Ultra Super Pictures,       Shogakukan,       Fuji Creative,       Tohan Corporation",Sentai Filmworks,LIDENFILMS,Manga,"RomanceRomance,         SupernaturalSupernatural",,22 min. per ep.,PG-13 - Teens 13 or older,"7.951 (scored by 289627289,627 users)
      


1
          indicates a weighted score.","#7372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#343,"656,878","8,763",VampireVampire,ShounenShounen,,,,
2,2022,summer,Overlord IV,,https://cdn.myanimelist.net/images/anime/1530/120110.jpg,,オーバーロード IV,Overlord IV,TV,13,Finished Airing,"Jul 5, 2022 to Sep 27, 2022",Summer 2022,Tuesdays at 22,"AT-X,       Hakuhodo DY Music & Pictures,       NTT Plala,       Kadokawa","None found, add some",Madhouse,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,R - 17+ (violence & profanity),"8.071 (scored by 290845290,845 users)
      


1
          indicates a weighted score.","#5742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#400,"580,256","7,313",IsekaiIsekai,,,,,
3,2022,summer,Lycoris Recoil,,https://cdn.myanimelist.net/images/anime/1261/127311.jpg,LycoReco,リコリス・リコイル,Lycoris Recoil,TV,13,Finished Airing,"Jul 2, 2022 to Sep 24, 2022",Summer 2022,Saturdays at 23,"Aniplex,       BS11,       ABC Animation",Aniplex of America,A-1 Pictures,Original,,,24 min. per ep.,PG-13 - Teens 13 or older,"8.151 (scored by 262355262,355 users)
      


1
          indicates a weighted score.","#4572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#437,"540,013","9,077",,,ActionAction,,,
4,2022,summer,Hataraku Maou-sama!!,The Devil is a Part-Timer! Season 2,https://cdn.myanimelist.net/images/anime/1502/124354.jpg,"The Devil is a Part-Timer! 2nd Season, The Devil is a Part-Timer!!, Hataraku Maou-sama 2",はたらく魔王さま！！,The Devil is a Part-Timer! Season 2,TV,12,Finished Airing,"Jul 14, 2022 to Sep 29, 2022",Summer 2022,Thursdays at 23,"Sotsu,       Movic,       KlockWorx,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Infinite,       BS11,       Kadokawa,       Bandai Namco Music Live,       Happinet Phantom Studios","None found, add some",Studio 3Hz,Light novel,"ComedyComedy,         SupernaturalSupernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"6.651 (scored by 161654161,654 users)
      


1
          indicates a weighted score.","#61982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#476,"501,249","4,750",,,,,,
5,2022,summer,Made in Abyss: Retsujitsu no Ougonkyou,Made in Abyss: The Golden City of the Scorching Sun,https://cdn.myanimelist.net/images/anime/1864/122519.jpg,,メイドインアビス 烈日の黄金郷,Made in Abyss,TV,12,Finished Airing,"Jul 6, 2022 to Sep 28, 2022",Summer 2022,Wednesdays at 22,"AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery,         Sci-FiSci-Fi",,25 min. per ep.,R - 17+ (violence & profanity),"8.611 (scored by 228165228,165 users)
      


1
          indicates a weighted score.","#932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#489,"487,733","6,505",GoreGore,,,,,
6,2022,summer,"Kanojo, Okarishimasu 2nd Season",Rent-a-Girlfriend Season 2,https://cdn.myanimelist.net/images/anime/1070/124592.jpg,Kanokari,彼女、お借りします,Rent-a-Girlfriend Season 2,TV,12,Finished Airing,"Jul 2, 2022 to Sep 17, 2022",Summer 2022,Saturdays at 01,"Mainichi Broadcasting System,       Kodansha,       DMM pictures,       DMM Music",Crunchyroll,TMS Entertainment,Manga,"ComedyComedy,         RomanceRomance","Adult CastAdult Cast,         HaremHarem",24 min. per ep.,PG-13 - Teens 13 or older,"6.781 (scored by 178728178,728 users)
      


1
          indicates a weighted score.","#54522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#546,"445,201","4,883",,ShounenShounen,,,,
7,2022,summer,Isekai Ojisan,Uncle from Another World,https://cdn.myanimelist.net/images/anime/1743/125204.jpg,"Isekai Uncle, Ojisan in Another World",異世界おじさん,Uncle from Another World,TV,13,Finished Airing,"Jul 6, 2022 to Mar 8, 2023",Summer 2022,Wednesdays at 22,"Movic,       AT-X,       Sammy,       BS11,       Kadokawa Media House,       Kadokawa","None found, add some",Atelier Pontdarc,Web manga,"ComedyComedy,         FantasyFantasy","Adult CastAdult Cast,         IsekaiIsekai,         Otaku CultureOtaku Culture,         ParodyParody",24 min. per ep.,PG-13 - Teens 13 or older,"7.771 (scored by 178230178,230 users)
      


1
          indicates a weighted score.","#11062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#646,"389,320","2,168",,,,,,
8,2022,summer,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,https://cdn.myanimelist.net/images/anime/1318/126474.jpg,"DanMachi 4th Season, Is It Wrong That I Want to Meet You in a Dungeon 4th Season",ダンジョンに出会いを求めるのは間違っているだろうかⅣ 新章 迷宮篇,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,TV,11,Finished Airing,"Jul 23, 2022 to Oct 1, 2022",Summer 2022,Saturdays at 01,"Genco,       Movic,       Warner Bros. Japan,       KlockWorx,       Hakuhodo DY Music & Pictures,       Egg Firm,       FuRyu,       GREE,       SB Creative",Sentai Filmworks,J.C.Staff,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,R - 17+ (violence & profanity),"7.741 (scored by 159844159,844 users)
      


1
          indicates a weighted score.","#11792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#672,"374,080","2,119",,,,,,
9,2022,summer,Mamahaha no Tsurego ga Motokano datta,My Stepmom's Daughter Is My Ex,https://cdn.myanimelist.net/images/anime/1708/123281.jpg,"My Stepsister is My Ex-Girlfriend, Tsurekano",継母の連れ子が元カノだった,My Stepmom's Daughter Is My Ex,TV,12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022",Summer 2022,Wednesdays at 21,"Sotsu,       Pony Canyon,       Movic,       AT-X,       KlockWorx,       Asmik Ace,       BS Fuji,       DMM pictures,       BS NTV,       Kadokawa,       Yomiuri Shimbun,       APDREAM,       Bit grooove promotion,       Happinet Phantom Studios,       Bergamo","None found, add some",Project No.9,Light novel,"ComedyComedy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"6.731 (scored by 144578144,578 users)
      


1
          indicates a weighted score.","#57222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#825,"313,333","1,577",,,,,,
