,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,German,Spanish,French
0,2022,winter,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,鬼滅の刃 遊郭編,Demon Slayer,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,Sundays at 23,"Aniplex,       Studio Mausu,       Shueisha","Aniplex of America,       Crunchyroll",ufotable,Manga,"ActionAction,         SupernaturalSupernatural",HistoricalHistorical,ShounenShounen,26 min. per ep.,R - 17+ (violence & profanity),"8.721 (scored by 998408998,408 users)
      


1
          indicates a weighted score.","#542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#77,"1,566,872","24,847",,,,,,
1,2022,winter,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,進撃の巨人 The Final Season Part 2,Attack on Titan,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,MAPPA,Manga,"ActionAction,         DramaDrama,         SuspenseSuspense",,ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.761 (scored by 826720826,720 users)
      


1
          indicates a weighted score.","#402

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#99,"1,406,191","31,026","Shingeki no Kyojin Season 4, Attack on Titan Season 4","GoreGore,         MilitaryMilitary,         SurvivalSurvival",,,,
2,2022,winter,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling,https://cdn.myanimelist.net/images/anime/1179/119897.jpg,その着せ替え人形は恋をする,My Dress-Up Darling,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Winter 2022,Sundays at 00,"Aniplex,       Square Enix,       Movic,       Studio Mausu,       Tokyo MX,       BS11","None found, add some",CloverWorks,Manga,,,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"8.161 (scored by 702666702,666 users)
      


1
          indicates a weighted score.","#4502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#135,"1,158,626","21,390","Sono Kisekae Ningyou wa Koi wo Suru, KiseKoi","Otaku CultureOtaku Culture,         SchoolSchool",RomanceRomance,,,
3,2022,winter,Arifureta Shokugyou de Sekai Saikyou 2nd Season,Arifureta: From Commonplace to World's Strongest Season 2,https://cdn.myanimelist.net/images/anime/1877/119668.jpg,ありふれた職業で世界最強 2nd Season,Arifureta,TV,12,Finished Airing,"Jan 13, 2022 to Mar 31, 2022",Winter 2022,Thursdays at 23,AT-X,Crunchyroll,"asread.,       studio MOTHER",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.151 (scored by 181011181,011 users)
      


1
          indicates a weighted score.","#36412

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#575,"424,659","4,301",From Common Job Class to the Strongest in the World 2nd Season,"HaremHarem,         IsekaiIsekai",,,,
4,2022,winter,Tensai Ouji no Akaji Kokka Saisei Jutsu,The Genius Prince's Guide to Raising a Nation Out of Debt,https://cdn.myanimelist.net/images/anime/1263/119511.jpg,天才王子の赤字国家再生術,The Genius Prince's Guide to Raising a Nation Out of Debt,TV,12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022",Winter 2022,Tuesdays at 22,"AT-X,       Studio Mausu,       NBCUniversal Entertainment Japan,       Tokyo MX,       RAY,       DMM pictures,       BS NTV,       SB Creative",Funimation,Yokohama Animation Laboratory,Light novel,"ComedyComedy,         FantasyFantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.391 (scored by 143011143,011 users)
      


1
          indicates a weighted score.","#23962

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#850,"307,179","1,655",,,,,,
5,2022,winter,Vanitas no Karte Part 2,The Case Study of Vanitas Part 2,https://cdn.myanimelist.net/images/anime/1247/120579.jpg,ヴァニタスの手記,The Case Study of Vanitas Part 2,TV,12,Finished Airing,"Jan 15, 2022 to Apr 2, 2022",Winter 2022,Saturdays at 00,"Aniplex,       Square Enix,       Hakuhodo DY Music & Pictures,       Contents Seed",Funimation,Bones,Manga,"ActionAction,         FantasyFantasy,         MysteryMystery",,ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.191 (scored by 135783135,783 users)
      


1
          indicates a weighted score.","#4072

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#860,"304,277","2,795","Vanitas no Shuki 2nd Season, Memoir of Vanitas 2nd Season, Vanitas no Carte 2nd Season","HistoricalHistorical,         Urban FantasyUrban Fantasy,         VampireVampire",,,,
6,2022,winter,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,How a Realist Hero Rebuilt the Kingdom Part 2,https://cdn.myanimelist.net/images/anime/1088/120068.jpg,現実主義勇者の王国再建記,How a Realist Hero Rebuilt the Kingdom Part 2,TV,13,Finished Airing,"Jan 9, 2022 to Apr 3, 2022",Winter 2022,Sundays at 01,"Magic Capsule,       KlockWorx,       King Records,       Overlap,       WOWMAX,       MIGHTY MEDIA",Funimation,J.C.Staff,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.431 (scored by 141691141,691 users)
      


1
          indicates a weighted score.","#22352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#935,"274,783","1,414",Re,"HaremHarem,         IsekaiIsekai,         MilitaryMilitary",,,,
7,2022,winter,Shikkakumon no Saikyou Kenja,The Strongest Sage with the Weakest Crest,https://cdn.myanimelist.net/images/anime/1132/120388.jpg,失格紋の最強賢者,The Strongest Sage with the Weakest Crest,TV,12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022",Winter 2022,Saturdays at 22,"Square Enix,       NBCUniversal Entertainment Japan,       Medicos Entertainment,       Sammy,       GREE,       Good Smile Film,       SB Creative","None found, add some",J.C.Staff,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",ReincarnationReincarnation,,23 min. per ep.,PG-13 - Teens 13 or older,"6.231 (scored by 131208131,208 users)
      


1
          indicates a weighted score.","#86902

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#942,"273,612","1,203","The Strongest Sage of Disqualified Crest, Shikkakumon no Saikyokenja",,,,,
8,2022,winter,Sabikui Bisco,,https://cdn.myanimelist.net/images/anime/1446/118840.jpg,錆喰いビスコ,Sabikui Bisco,TV,12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022",Winter 2022,Tuesdays at 00,"Frontier Works,       Yomiuri Telecasting,       KlockWorx,       flying DOG,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Bit grooove promotion",Crunchyroll,OZ,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy,         Sci-FiSci-Fi",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.141 (scored by 106820106,820 users)
      


1
          indicates a weighted score.","#37272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#985,"264,261","1,433",Rust-Eater Bisco,,,,,
9,2022,winter,Sasaki to Miyano,Sasaki and Miyano,https://cdn.myanimelist.net/images/anime/1182/119308.jpg,佐々木と宮野,Sasaki and Miyano,TV,12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022",Winter 2022,Mondays at 00,"Frontier Works,       Movic,       Nippon Columbia,       Sound Team Don Juan,       TV Aichi,       Kadokawa Media House,       U-NEXT,       BS NTV,       Kadokawa","None found, add some",Studio Deen,Web manga,,,,23 min. per ep.,PG-13 - Teens 13 or older,"8.201 (scored by 9506395,063 users)
      


1
          indicates a weighted score.","#3842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1211,"213,437","5,278",Sasamiya,"Otaku CultureOtaku Culture,         SchoolSchool",Boys LoveBoys Love,,,
