,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,German,Spanish,French
0,2024,spring,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,https://cdn.myanimelist.net/images/anime/1565/142711.jpg,鬼滅の刃 柱稽古編,Demon Slayer,TV,8,Finished Airing,"May 12, 2024 to Jun 30, 2024",Spring 2024,Sundays at 23,"Aniplex,       Shueisha",Aniplex of America,ufotable,Manga,"ActionAction,         SupernaturalSupernatural",HistoricalHistorical,ShounenShounen,29 min. per ep.,R - 17+ (violence & profanity),"8.111 (scored by 315582315,582 users)
      


1
          indicates a weighted score.","#5042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#391,"592,307","4,579",,,,,,
1,2024,spring,Kaijuu 8-gou,Kaiju No. 8,https://cdn.myanimelist.net/images/anime/1370/140362.jpg,怪獣8号,Kaiju No. 8,TV,12,Finished Airing,"Apr 13, 2024 to Jun 29, 2024",Spring 2024,Saturdays at 23,"TV Tokyo,       Khara,       Nippon Columbia,       TOHO animation,       Shueisha,       Sonilude,       Toho Music","None found, add some",Production I.G,Manga,"ActionAction,         FantasyFantasy,         Sci-FiSci-Fi",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.301 (scored by 304231304,231 users)
      


1
          indicates a weighted score.","#2762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#429,"551,507","5,412","8Kaijuu, Monster #8, Kaiju No. Eight, Kaiju #8","Adult CastAdult Cast,         MilitaryMilitary,         Urban FantasyUrban Fantasy",,,,
2,2024,spring,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,https://cdn.myanimelist.net/images/anime/1758/141268.jpg,この素晴らしい世界に祝福を！3,KonoSuba,TV,11,Finished Airing,"Apr 10, 2024 to Jun 19, 2024",Spring 2024,Wednesdays at 23,"Half H.P Studio,       Nippon Columbia,       81 Produce,       Sammy,       Kadokawa","None found, add some",Drive,Light novel,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"8.361 (scored by 186555186,555 users)
      


1
          indicates a weighted score.","#2262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#501,"475,601","5,324",,"IsekaiIsekai,         ParodyParody",,,,
3,2024,spring,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,https://cdn.myanimelist.net/images/anime/1876/141251.jpg,無職転生 II ～異世界行ったら本気だす～ (第2クール),Mushoku Tensei,TV,12,Finished Airing,"Apr 8, 2024 to Jul 1, 2024",Spring 2024,Mondays at 00,"Frontier Works,       TOHO animation,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment","None found, add some",Studio Bind,Light novel,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         EcchiEcchi",,,23 min. per ep.,R - 17+ (violence & profanity),"8.431 (scored by 255606255,606 users)
      


1
          indicates a weighted score.","#1792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#512,"467,612","4,011",Jobless Reincarnation,"IsekaiIsekai,         ReincarnationReincarnation",,,,
4,2024,spring,Tensei shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,https://cdn.myanimelist.net/images/anime/1211/143476.jpg,転生したらスライムだった件 第3期,That Time I Got Reincarnated as a Slime Season 3,TV,24,Finished Airing,"Apr 5, 2024 to Sep 27, 2024",Spring 2024,Fridays at 23,"Kodansha,       Nippon Television Network,       BS11,       Micro Magazine Publishing,       Bandai Spirits,       Sony Music Solutions,       ADK Marketing Solutions,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",8bit,Manga,"ActionAction,         ComedyComedy,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.681 (scored by 159663159,663 users)
      


1
          indicates a weighted score.","#13412

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#616,"401,583","4,199",Tensura 3,"IsekaiIsekai,         ReincarnationReincarnation",,,,
5,2024,spring,Boku no Hero Academia 7th Season,My Hero Academia Season 7,https://cdn.myanimelist.net/images/anime/1529/140306.jpg,僕のヒーローアカデミア 第7期,My Hero Academia Season 7,TV,21,Finished Airing,"May 4, 2024 to Oct 12, 2024",Spring 2024,Saturdays at 17,"Dentsu,       Yomiuri Telecasting,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha","None found, add some",Bones,Manga,,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.071 (scored by 135065135,065 users)
      


1
          indicates a weighted score.","#5582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#695,"361,718","2,663",My Hero Academia 7,"SchoolSchool,         Super PowerSuper Power",ActionAction,,,
6,2024,spring,Wind Breaker,,https://cdn.myanimelist.net/images/anime/1438/141816.jpg,WIND BREAKER,Wind Breaker,TV,13,Finished Airing,"Apr 5, 2024 to Jun 28, 2024",Spring 2024,Fridays at 00,"Aniplex,       Mainichi Broadcasting System,       Kodansha,       Tohan Corporation",Aniplex of America,CloverWorks,Web manga,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.741 (scored by 169353169,353 users)
      


1
          indicates a weighted score.","#11932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#727,"348,264","2,736","Winbre, WBK","DelinquentsDelinquents,         SchoolSchool",ActionAction,,,
7,2024,spring,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Spice and Wolf: Merchant Meets the Wise Wolf,https://cdn.myanimelist.net/images/anime/1059/142414.jpg,狼と香辛料 MERCHANT MEETS THE WISE WOLF,Spice and Wolf,TV,25,Finished Airing,"Apr 2, 2024 to Sep 24, 2024",Spring 2024,Tuesdays at 01,"TV Tokyo,       Movic,       TOHO animation,       Good Smile Company,       Kadokawa,       Enishiya,       Hayabusa Film","None found, add some",Passione,Light novel,"AdventureAdventure,         DramaDrama,         RomanceRomance,         SupernaturalSupernatural",Adult CastAdult Cast,,23 min. per ep.,PG-13 - Teens 13 or older,"8.111 (scored by 6865168,651 users)
      


1
          indicates a weighted score.","#5112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1139,"227,869","1,823",Spice and Wolf,,,,,
8,2024,spring,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,https://cdn.myanimelist.net/images/anime/1580/141243.jpg,転生したら第七王子だったので、気ままに魔術を極めます,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,TV,12,Finished Airing,"Apr 2, 2024 to Jun 18, 2024",Spring 2024,Tuesdays at 00,"TV Tokyo,       Lantis,       Kodansha,       Ai Addiction,       Crunchyroll,       ADK Marketing Solutions,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Tsumugi Akita Animation Lab,Light novel,"AdventureAdventure,         FantasyFantasy",ReincarnationReincarnation,,23 min. per ep.,PG-13 - Teens 13 or older,"7.441 (scored by 104398104,398 users)
      


1
          indicates a weighted score.","#21932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1262,"203,057","1,001","Dainanaoji, I Was Reincarnated as the 7th Prince, so I Will Perfect My Magic as I Please",,,,,
9,2024,spring,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,Chillin' in Another World with Level 2 Super Cheat Powers,https://cdn.myanimelist.net/images/anime/1103/142513.jpg,Lv2からチートだった元勇者候補のまったり異世界ライフ,Chillin' in Another World with Level 2 Super Cheat Powers,TV,12,Finished Airing,"Apr 8, 2024 to Jun 24, 2024",Spring 2024,Mondays at 23,"Pony Canyon,       AT-X,       Magic Capsule,       KlockWorx,       Docomo Anime Store,       Overlap,       Crunchyroll,       Muse Communication,       CTW","None found, add some",J.C.Staff,Light novel,"AdventureAdventure,         FantasyFantasy,         RomanceRomance",IsekaiIsekai,,24 min. per ep.,PG-13 - Teens 13 or older,"6.821 (scored by 100015100,015 users)
      


1
          indicates a weighted score.","#52292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1272,"200,586",866,"The Laid-back Life in Another World of the Ex-Hero Candidate Who Turned out to be a Cheat from Level 2, Chillin Different World Life of the Ex-Brave Candidate was Cheat from Lv2",,,,,
