,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genres,Theme,German,Spanish,French
0,2024,summer,[Oshi no Ko] 2nd Season,[Oshi No Ko] Season 2,https://cdn.myanimelist.net/images/anime/1006/143302.jpg,My Star Season 2,【推しの子】第2期,[Oshi No Ko] Season 2,TV,13,Finished Airing,"Jul 3, 2024 to Oct 6, 2024",Summer 2024,Wednesdays at 23,"Delfi Sound,       Shueisha,       CyberAgent,       Kadokawa",Sentai Filmworks,Doga Kobo,Manga,DramaDrama,"ReincarnationReincarnation,         ShowbizShowbiz",SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older,"8.591 (scored by 182119182,119 users)
      


1
          indicates a weighted score.","#1042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#587,"417,865","5,509",,,,,
1,2024,summer,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,https://cdn.myanimelist.net/images/anime/1825/142258.jpg,"Roshidere, Alya-san, who sits besides me and sometimes murmurs affectionately in Russian., Arya Next Door Sometimes Lapses into Russian",時々ボソッとロシア語でデレる隣のアーリャさん,Alya Sometimes Hides Her Feelings in Russian,TV,12,Finished Airing,"Jul 3, 2024 to Sep 18, 2024",Summer 2024,Wednesdays at 23,"Sega,       Delfi Sound,       Kadokawa","None found, add some",Doga Kobo,Light novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"7.601 (scored by 197203197,203 users)
      


1
          indicates a weighted score.","#15732

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#633,"393,855","4,925","ComedyComedy,         RomanceRomance",SchoolSchool,,,
2,2024,summer,Tsue to Tsurugi no Wistoria,Wistoria: Wand and Sword,https://cdn.myanimelist.net/images/anime/1281/144104.jpg,Wistoria's Wand and Sword,杖と剣のウィストリア,Wistoria,TV,12,Finished Airing,"Jul 7, 2024 to Sep 29, 2024",Summer 2024,Sundays at 16,"Lantis,       TBS,       Kodansha,       Crunchyroll,       Jinnan Studio,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some","Actas,       Bandai Namco Pictures",Manga,,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.891 (scored by 144797144,797 users)
      


1
          indicates a weighted score.","#8422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#915,"280,945","1,565","ActionAction,         AdventureAdventure,         FantasyFantasy",SchoolSchool,,,
3,2024,summer,Kami no Tou: Ouji no Kikan,Tower of God Season 2: Return of the Prince,https://cdn.myanimelist.net/images/anime/1218/143537.jpg,"Sin-ui Tap, 신의 탑, Tower of God",神之塔 -Tower of God- 王子の帰還,Tower of God Season 2,TV,13,Finished Airing,"Jul 7, 2024 to Sep 29, 2024",Summer 2024,Sundays at 23,"Crunchyroll,       Sola Entertainment,       Bandai Namco Filmworks,       Line Digital Frontier","None found, add some",The Answer Studio,Web manga,,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.691 (scored by 8856088,560 users)
      


1
          indicates a weighted score.","#59822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1026,"253,185","1,269","ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery",,,,
4,2024,summer,Make Heroine ga Oosugiru!,Makeine: Too Many Losing Heroines!,https://cdn.myanimelist.net/images/anime/1332/143513.jpg,Makeine,負けヒロインが多すぎる！,Makeine,TV,12,Finished Airing,"Jul 14, 2024 to Sep 29, 2024",Summer 2024,Sundays at 00,"Aniplex,       Yomiuri Telecasting,       Tokyo MX,       Good Smile Company,       BS11,       Contents Seed,       INSPION Edge,       JR Tokai Agency","None found, add some",A-1 Pictures,Light novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"8.151 (scored by 127134127,134 users)
      


1
          indicates a weighted score.","#4582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1027,"252,651","2,750","ComedyComedy,         RomanceRomance",SchoolSchool,,,
5,2024,summer,Shikanoko Nokonoko Koshitantan,My Deer Friend Nokotan,https://cdn.myanimelist.net/images/anime/1084/144617.jpg,,しかのこのこのここしたんたん,My Deer Friend Nokotan,TV,12,Finished Airing,"Jul 7, 2024 to Sep 22, 2024",Summer 2024,Sundays at 23,"Dentsu,       Twin Engine","None found, add some",Wit Studio,Manga,ComedyComedy,"Gag HumorGag Humor,         SchoolSchool",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.021 (scored by 9330693,306 users)
      


1
          indicates a weighted score.","#43012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1077,"240,525","1,610",,,,,
6,2024,summer,Isekai Shikkaku,No Longer Allowed in Another World,https://cdn.myanimelist.net/images/anime/1252/143457.jpg,No Longer Human...In Another World,異世界失格,No Longer Allowed in Another World,TV,12,Finished Airing,"Jul 9, 2024 to Sep 24, 2024",Summer 2024,Tuesdays at 23,"Movic,       AT-X,       Magic Capsule,       BS11,       Kadokawa","None found, add some",Atelier Pontdarc,Web manga,,"IsekaiIsekai,         ParodyParody",,23 min. per ep.,PG-13 - Teens 13 or older,"7.281 (scored by 7716777,167 users)
      


1
          indicates a weighted score.","#29482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1317,"194,509",771,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,,
7,2024,summer,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,https://cdn.myanimelist.net/images/anime/1914/143630.jpg,"I became the strongest with the failure frame ""Abnormal State Skill"" as I devastated everything, Failure Frame",ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,Failure Frame,TV,12,Finished Airing,"Jul 5, 2024 to Sep 27, 2024",Summer 2024,Fridays at 00,"Pierrot,       Pony Canyon,       TBS,       DAX Production,       Docomo Anime Store,       BS11,       Overlap,       Nichion,       MAGNET","None found, add some",Seven Arcs,Light novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"6.481 (scored by 8898188,981 users)
      


1
          indicates a weighted score.","#71942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1397,"181,621",720,"ActionAction,         AdventureAdventure,         FantasyFantasy",IsekaiIsekai,,,
8,2024,summer,Gimai Seikatsu,Days with My Stepsister,https://cdn.myanimelist.net/images/anime/1420/143707.jpg,,義妹生活,Days with My Stepsister,TV,12,Finished Airing,"Jul 4, 2024 to Sep 19, 2024",Summer 2024,Thursdays at 21,"Movic,       AT-X,       Nippon Columbia,       Kansai Telecasting,       Kadokawa,       Pia,       100studio,       One Cushion","None found, add some",Studio Deen,Light novel,RomanceRomance,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.351 (scored by 7061570,615 users)
      


1
          indicates a weighted score.","#25712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1418,"177,001","1,391",,,,,
9,2024,summer,Giji Harem,Pseudo Harem,https://cdn.myanimelist.net/images/anime/1607/143547.jpg,,疑似ハーレム,Pseudo Harem,TV,12,Finished Airing,"Jul 5, 2024 to Sep 20, 2024",Summer 2024,Fridays at 00,"Pony Canyon,       BS Fuji,       Tokyo MX,       bilibili","None found, add some",Nomad,Web manga,,"Love Status QuoLove Status Quo,         SchoolSchool",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.851 (scored by 6823968,239 users)
      


1
          indicates a weighted score.","#9272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1450,"173,824","1,340","ComedyComedy,         RomanceRomance",,,,
10,2024,summer,Nige Jouzu no Wakagimi,The Elusive Samurai,https://cdn.myanimelist.net/images/anime/1386/140401.jpg,Nigewaka,逃げ上手の若君,The Elusive Samurai,TV,12,Finished Airing,"Jul 6, 2024 to Sep 28, 2024",Summer 2024,Saturdays at 23,"Aniplex,       Tokyo MX,       Shueisha,       BS11,       Bit grooove promotion",Aniplex of America,CloverWorks,Manga,,"HistoricalHistorical,         SamuraiSamurai",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.821 (scored by 6717767,177 users)
      


1
          indicates a weighted score.","#9832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1479,"170,768",739,"AdventureAdventure,         ComedyComedy",,,,
