,Unnamed: 0,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme
0,0,2021,winter,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,"Shingeki no Kyojin Season 4, Attack on Titan Season 4",進撃の巨人 The Final Season,Attack on Titan,Attack on Titan Final Season,Ataque a los Titanes Temporada Final,L'Attaque des Titans Saison Finale,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,MAPPA,Manga,"ActionAction,         DramaDrama,         SuspenseSuspense","GoreGore,         MilitaryMilitary,         SurvivalSurvival",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.781 (scored by 14079291,407,929 users)
      


1
          indicates a weighted score.","#352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#33,"2,120,403","52,870",,
1,1,2021,winter,Horimiya,,https://cdn.myanimelist.net/images/anime/1695/111486.jpg,Hori-san and Miyamura-kun,ホリミヤ,Horimiya,,,,TV,13,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 00,"Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Kanetsu Investment,       My Theater D.D.,       Global Solutions,       Mirai-Kojo",Funimation,CloverWorks,Manga,,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.191 (scored by 902228902,228 users)
      


1
          indicates a weighted score.","#4052

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#88,"1,489,885","37,572",RomanceRomance,SchoolSchool
2,2,2021,winter,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,https://cdn.myanimelist.net/images/anime/1530/117776.jpg,Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,Mushoku Tensei,Mushoku Tensei,,Mushoku Tensei,TV,11,Finished Airing,"Jan 11, 2021 to Mar 22, 2021",Winter 2021,Mondays at 00,"Frontier Works,       TOHO,       Magic Capsule,       TOHO animation,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE,       Toho Music",Funimation,Studio Bind,Light novel,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         EcchiEcchi","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"8.361 (scored by 887680887,680 users)
      


1
          indicates a weighted score.","#2272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#95,"1,438,841","36,751",,
3,3,2021,winter,Dr. Stone: Stone Wars,,https://cdn.myanimelist.net/images/anime/1711/110614.jpg,"Dr. Stone 2nd Season, Dr. Stone Second Season",ドクターストーン STONE WARS,,Dr. Stone Staffel 2,Dr. Stone,,TV,11,Finished Airing,"Jan 14, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 22,"TOHO animation,       Shueisha,       Toho Music,       8PAN",Funimation,TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.151 (scored by 630896630,896 users)
      


1
          indicates a weighted score.","#4622

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#144,"1,105,489","7,420",,
4,4,2021,winter,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,https://cdn.myanimelist.net/images/anime/1271/109841.jpg,Tensura 2,転生したらスライムだった件,That Time I Got Reincarnated as a Slime Season 2,That Time I Got Reincarnated as a Slime Staffel 2,That Time I Got Reincarnated as a Slime Temporada 2,"Moi, quand je me réincarne en Slime Saison 2",TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 23,Kodansha,Funimation,8bit,Manga,"ActionAction,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.361 (scored by 598595598,595 users)
      


1
          indicates a weighted score.","#2312

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#161,"1,033,610","10,879",,
5,5,2021,winter,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,https://cdn.myanimelist.net/images/anime/1724/117421.jpg,Re,Re：ゼロから始める異世界生活,Re,Re,Re,Re,TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,Wednesdays at 22,"AT-X,       Memory-Tech,       Hakuhodo DY Music & Pictures,       Kadokawa Media House,       Kadokawa","None found, add some",White Fox,Light novel,"DramaDrama,         FantasyFantasy,         SuspenseSuspense","IsekaiIsekai,         PsychologicalPsychological,         Time TravelTime Travel",,29 min. per ep.,R - 17+ (violence & profanity),"8.431 (scored by 568780568,780 users)
      


1
          indicates a weighted score.","#1802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#183,"969,121","13,012",,
6,6,2021,winter,Yakusoku no Neverland 2nd Season,The Promised Neverland Season 2,https://cdn.myanimelist.net/images/anime/1815/110626.jpg,,約束のネバーランド,The Promised Neverland Season 2,The Promised Neverland Staffel 2,The Promise Neverland Temporada 2,The Promise Neverland Saison 2,TV,11,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",Winter 2021,Fridays at 01,"Aniplex,       Shueisha",Aniplex of America,CloverWorks,Manga,"MysteryMystery,         SuspenseSuspense","PsychologicalPsychological,         SurvivalSurvival",ShounenShounen,22 min. per ep.,R - 17+ (violence & profanity),"5.261 (scored by 498290498,290 users)
      


1
          indicates a weighted score.","#127712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#185,"959,416","4,503",,
7,7,2021,winter,Wonder Egg Priority,,https://cdn.myanimelist.net/images/anime/1079/110751.jpg,,ワンダーエッグ・プライオリティ,Wonder Egg Priority,,,,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 01,"Aniplex,       D.N. Dream Partners",Funimation,CloverWorks,Original,"DramaDrama,         SupernaturalSupernatural,         SuspenseSuspense",,,23 min. per ep.,R - 17+ (violence & profanity),"7.561 (scored by 355311355,311 users)
      


1
          indicates a weighted score.","#17252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#263,"790,421","9,204",,PsychologicalPsychological
8,8,2021,winter,5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,https://cdn.myanimelist.net/images/anime/1775/109514.jpg,"Gotoubun no Hanayome 2nd Season, The Five Wedded Brides 2nd Season, 5-toubun no Hanayome 2nd Season, The Quintessential Quintuplets 2nd Season",五等分の花嫁∬,The Quintessential Quintuplets 2,The Quintessential Quintuplets 2,The Quintessential Quintuplets 2,The Quintessential Quintuplets 2,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",Winter 2021,Fridays at 01,"Pony Canyon,       Kodansha,       DAX Production,       BS11,       Nichion,       GYAO!,       Good Smile Film,       MAGNET","None found, add some",Bibury Animation Studios,Manga,"ComedyComedy,         RomanceRomance","HaremHarem,         SchoolSchool",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.021 (scored by 460373460,373 users)
      


1
          indicates a weighted score.","#6432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#279,"758,384","11,628",,
9,9,2021,winter,SK∞,SK8 the Infinity,https://cdn.myanimelist.net/images/anime/1549/119195.jpg,"SK Eight, Skate",SK∞ エスケーエイト,SK8 the Infinity,SK8 the Infinity,,SK8 the Infinity,TV,12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 02,"Aniplex,       Movic,       ABC Animation",Aniplex of America,Bones,Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"8.001 (scored by 300114300,114 users)
      


1
          indicates a weighted score.","#6712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#392,"590,843","13,450",SportsSports,RacingRacing
10,10,2021,winter,"Kumo desu ga, Nani ka?","So I'm a Spider, So What?",https://cdn.myanimelist.net/images/anime/1593/113724.jpg,,蜘蛛ですが、なにか？,"So I'm a Spider, So What?","So I'm a Spider, So What?","So I'm a Spider, So What?","So I'm a Spider, So What?",TV,24,Finished Airing,"Jan 8, 2021 to Jul 3, 2021",Winter 2021,Fridays at 21,"Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       NTT Plala,       Kadokawa","None found, add some",Millepensee,Light novel,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 250373250,373 users)
      


1
          indicates a weighted score.","#21542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#502,"473,394","4,597",,
11,11,2021,winter,Beastars 2nd Season,,https://cdn.myanimelist.net/images/anime/1097/109646.jpg,,BEASTARS 2期,,,,,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 00,"Movic,       Fuji TV,       Bandai,       BS Fuji,       TOHO animation,       Q-Tec,       Akita Shoten,       Hakuhodo DY Media Partners,       Bandai Spirits,       Toho Music","None found, add some",Orange,Manga,"DramaDrama,         SuspenseSuspense","AnthropomorphicAnthropomorphic,         PsychologicalPsychological,         SchoolSchool",ShounenShounen,22 min. per ep.,R - 17+ (violence & profanity),"7.771 (scored by 244583244,583 users)
      


1
          indicates a weighted score.","#11012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#513,"467,473","2,275",,
12,12,2021,winter,Nanatsu no Taizai: Funnu no Shinpan,The Seven Deadly Sins: Dragon's Judgement,https://cdn.myanimelist.net/images/anime/1011/111551.jpg,Nanatsu no Taizai,七つの大罪 憤怒の審判,The Seven Deadly Sins,,,,TV,24,Finished Airing,"Jan 13, 2021 to Jun 23, 2021",Winter 2021,Wednesdays at 17,TV Tokyo,"None found, add some",Studio Deen,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.571 (scored by 215880215,880 users)
      


1
          indicates a weighted score.","#66732

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#533,"451,468","1,582",,
13,13,2021,winter,Jaku-Chara Tomozaki-kun,Bottom-Tier Character Tomozaki,https://cdn.myanimelist.net/images/anime/1120/109232.jpg,"Jakusha Character Tomozaki-kun, The Low Tier Character ""Tomozaki-kun""",弱キャラ友崎くん,Bottom-Tier Character Tomozaki,Bottom-Tier Character Tomozaki,,Bottom-Tier Character Tomozaki,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",Winter 2021,Fridays at 21,"Pony Canyon,       APDREAM,       Bit grooove promotion,       Dream Shift,       Bergamo",Funimation,Project No.9,Light novel,"DramaDrama,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.111 (scored by 207832207,832 users)
      


1
          indicates a weighted score.","#38672

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#594,"414,872","2,010",,SchoolSchool
14,14,2021,winter,Ore dake Haireru Kakushi Dungeon,The Hidden Dungeon Only I Can Enter,https://cdn.myanimelist.net/images/anime/1988/115708.jpg,Special training in the Secret Dungeon,俺だけ入れる隠しダンジョン,The Hidden Dungeon Only I Can Enter,The Hidden Dungeon Only I Can Enter,The Hidden Dungeon Only I Can Enter,The Hidden Dungeon Only I Can Enter,TV,12,Finished Airing,"Jan 9, 2021 to Mar 27, 2021",Winter 2021,Saturdays at 02,"Mainichi Broadcasting System,       Kodansha,       Crunchyroll,       DMM pictures,       DMM Music","None found, add some",Okuruto Noboru,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy,         EcchiEcchi",,,24 min. per ep.,PG-13 - Teens 13 or older,"6.281 (scored by 212244212,244 users)
      


1
          indicates a weighted score.","#84082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#598,"413,430","1,795",,HaremHarem
15,15,2021,winter,Kemono Jihen,,https://cdn.myanimelist.net/images/anime/1258/108331.jpg,Monster Incidents,怪物事変,Kemono Jihen,,,Kemono incidents,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",Winter 2021,Sundays at 22,"Frontier Works,       Lantis,       Shueisha,       Yomiuri TV Enterprise,       Bandai Namco Arts,       JTB Next Creation",Funimation,Ajia-do,Manga,"ActionAction,         MysteryMystery,         SupernaturalSupernatural","DetectiveDetective,         MythologyMythology",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.371 (scored by 177392177,392 users)
      


1
          indicates a weighted score.","#24772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#628,"397,140","2,303",,
