Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
MAPPA;24;8.561;110;13;2755845;93161;1.80978E+13
C-Station;13;8.501;145;1091;238832;3105;1.05254E+11
White Fox;12;8.431;180;183;969121;13012;5.68781E+11
Studio Bind;11;8.361;227;95;1438841;36751;8.87681E+11
8bit;12;8.361;231;161;1033610;10879;5.98596E+11
SILVER LINK.;12;8.361;228;1819;131268;959;5058450584
CloverWorks;13;8.191;405;88;1489885;37572;9.02229E+11
TMS Entertainment;11;8.151;462;144;1105489;7420;6.30897E+11
Studio Kai;13;8.061;590;3064;58147;904;2534725347
Toei Animation;12;8.051;593;1546;162666;812;6277162771
Bibury Animation Studios;12;8.021;643;279;758384;11628;4.60373E+11
Bones;12;8.001;671;392;590843;13450;3.00114E+11
Bones;12;7.981;685;1882;125754;1164;5356453564
Orange;12;7.771;1101;513;467473;2275;2.44583E+11
Toei Animation;100;7.731;1218;2613;76566;644;2596225962
CloverWorks;12;7.561;1725;263;790421;9204;3.55311E+11
LIDENFILMS;13;7.521;1889;1111;234437;457;8291882918
Millepensee;24;7.451;2154;502;473394;4597;2.50373E+11
Lerche;12;7.411;2311;2759;70276;570;1980219802
Pierrot;25;7.401;2355;4751;24097;111;84058405
Toei Animation;46;7.391;2398;5864;14126;147;45434543
Ajia-do;12;7.371;2477;628;397140;2303;1.77392E+11
David Production;8;7.371;2498;906;284701;601;1.02613E+11
Team TillDawn;24;7.231;3196;5593;15984;44;82148214
Tatsunoko Production;51;7.231;3212;10519;3008;11;972972
Passione;24;7.201;3362;900;288572;1602;9630096300
Asahi Production;12;7.161;3599;2500;82790;308;3394333943
Platinum Vision;12;7.151;3619;2449;85346;335;3393433934
Kinema Citrus;12;7.141;3691;6031;13170;50;37713771
Project No.9;12;7.111;3867;594;414872;2010;2.07832E+11
Studio Deen;12;7.071;4046;1019;256187;647;8929889298
J.C.Staff;12;7.031;4253;5166;19674;68;47014701
Studio CANDY BOX;12;7.011;4348;3185;53717;254;2107321073
W-Toon Studio;26;6.981;4474;7611;7389;27;30183018
Toei Animation;45;6.921;4739;6047;13036;84;41924192
Sunrise;24;6.701;5928;1861;127860;653;3843838438
Production I.G;12;6.681;6048;8257;6061;12;19201920
LIDENFILMS;12;6.651;6215;1865;127724;567;4205242052
Studio Deen;24;6.571;6673;533;451468;1582;2.1588E+11
Lay-duce;12;6.561;6725;5399;17562;119;53385338
Bandai Namco Pictures;24;6.551;6783;9406;4256;27;12641264
Acca effe;12;6.491;7129;6099;12757;17;33753375
J.C.Staff;12;6.451;7394;3586;43494;157;1346913469
Saetta;12;6.381;7838;5703;15247;16;57885788
LIDENFILMS;12;6.331;8094;869;302743;875;1.50006E+11
Studio VOLN;24;6.331;8074;3597;43269;103;1430414304
Pie in the sky;25;6.301;8271;13185;1333;2;153153
Okuruto Noboru;12;6.281;8408;598;413430;1795;2.12244E+11
