,jp_title,en_title,char_name,fav,img
0,Spy x Family,,Anya Forger (アーニャ・フォージャー),"Member Favorites: 14,899",https://cdn.myanimelist.net/images/characters/4/457933.jpg
1,Spy x Family,,Yor Forger (ヨル・フォージャー),"Member Favorites: 11,259",https://cdn.myanimelist.net/images/characters/11/457934.jpg
2,Spy x Family,,Loid Forger (ロイド・フォージャー),"Member Favorites: 6,093",https://cdn.myanimelist.net/images/characters/2/457747.jpg
3,Spy x Family,,Bond Forger (ボンド・フォージャー),"Member Favorites: 1,066",https://cdn.myanimelist.net/images/characters/6/490843.jpg
4,Spy x Family,,Damian Desmond (ダミアン・デズモンド),Member Favorites: 313,https://cdn.myanimelist.net/images/characters/14/528424.jpg
5,Spy x Family,,Yuri Briar (ユーリ・ブライア),Member Favorites: 243,https://cdn.myanimelist.net/images/characters/6/528425.jpg
6,Spy x Family,,Franky Franklin (フランキー・フランクリン),Member Favorites: 163,https://cdn.myanimelist.net/images/characters/11/495209.jpg
7,Spy x Family,,Henry Henderson (ヘンリー・ヘンダーソン),Member Favorites: 157,https://cdn.myanimelist.net/images/characters/6/484493.jpg
8,Spy x Family,,Becky Blackbell (ベッキ・ブラックベル),Member Favorites: 116,https://cdn.myanimelist.net/images/characters/3/528426.jpg
9,Spy x Family,,Sylvia Sherwood (シルヴィア・シャーウッド),Member Favorites: 93,https://cdn.myanimelist.net/images/characters/3/467192.jpg
10,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Kaguya Shinomiya (四宮 かぐや),"Member Favorites: 26,199",https://cdn.myanimelist.net/images/characters/2/504723.jpg
11,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Yuu Ishigami (石上 優),"Member Favorites: 21,759",https://cdn.myanimelist.net/images/characters/7/372840.jpg
12,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Chika Fujiwara (藤原 千花),"Member Favorites: 16,035",https://cdn.myanimelist.net/images/characters/15/559031.jpg
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Miyuki Shirogane (白銀 御行),"Member Favorites: 8,107",https://cdn.myanimelist.net/images/characters/16/371541.jpg
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Miko Iino (伊井野 ミコ),"Member Favorites: 2,990",https://cdn.myanimelist.net/images/characters/16/376603.jpg
15,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Ai Hayasaka (早坂 愛),"Member Favorites: 13,033",https://cdn.myanimelist.net/images/characters/8/504012.jpg
