,jp_title,en_title,char_name,fav,img
0,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Satoru Gojou (五条 悟),"Member Favorites: 61,962",https://cdn.myanimelist.net/images/characters/15/422168.jpg
1,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Yuuji Itadori (虎杖 悠仁),"Member Favorites: 16,761",https://cdn.myanimelist.net/images/characters/6/467646.jpg
2,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Megumi Fushiguro (伏黒 恵),"Member Favorites: 12,728",https://cdn.myanimelist.net/images/characters/2/392689.jpg
3,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Nobara Kugisaki (釘崎 野薔薇),"Member Favorites: 10,617",https://cdn.myanimelist.net/images/characters/12/422313.jpg
4,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Suguru Getou (夏油 傑),"Member Favorites: 5,594",https://cdn.myanimelist.net/images/characters/4/524519.jpg
5,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Kento Nanami (七海 建人),"Member Favorites: 12,627",https://cdn.myanimelist.net/images/characters/16/581424.jpg
6,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Sukuna Ryoumen (両面 宿儺),"Member Favorites: 12,576",https://cdn.myanimelist.net/images/characters/6/431152.jpg
7,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Maki Zenin (禪院 真希),"Member Favorites: 8,828",https://cdn.myanimelist.net/images/characters/3/440469.jpg
8,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Toge Inumaki (狗巻 棘),"Member Favorites: 7,921",https://cdn.myanimelist.net/images/characters/4/521636.jpg
9,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Touji Fushiguro (伏黒 甚爾),"Member Favorites: 7,117",https://cdn.myanimelist.net/images/characters/2/517123.jpg
10,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Rudeus Greyrat (ルーデウス・グレイラット),"Member Favorites: 10,222",https://cdn.myanimelist.net/images/characters/2/423667.jpg
11,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Sylphiette  (シルフィエット),"Member Favorites: 3,018",https://cdn.myanimelist.net/images/characters/10/423669.jpg
12,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Shizuka Nanahoshi (ナナホシ・シズカ),Member Favorites: 185,https://cdn.myanimelist.net/images/characters/6/545654.jpg
13,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Elinalise Dragonroad (エリナリーゼ・ドラゴンロード),Member Favorites: 140,https://cdn.myanimelist.net/images/characters/3/460705.jpg
14,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Sara  (サラ),Member Favorites: 108,https://cdn.myanimelist.net/images/characters/2/290182.jpg
15,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Zanoba Shirone (ザノバ・シーローン),Member Favorites: 99,https://cdn.myanimelist.net/images/characters/14/277227.jpg
16,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Hitogami  (ヒトガミ),Member Favorites: 64,https://cdn.myanimelist.net/images/characters/13/297091.jpg
17,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Soldat Heckler (ゾルダート・ヘッケラー),Member Favorites: 50,https://cdn.myanimelist.net/images/characters/15/290180.jpg
18,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Cliff Grimoire (クリフ・グリモル),Member Favorites: 43,https://cdn.myanimelist.net/images/characters/10/518423.jpg
19,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Ariel Anemoi Asura (アリエル・アネモイ・アスラ),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/15/516104.jpg
20,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Shizuka Mikazuki (三日月 閑),Member Favorites: 573,https://cdn.myanimelist.net/images/characters/15/507717.jpg
21,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Akira Tendou (天道 輝),Member Favorites: 375,https://cdn.myanimelist.net/images/characters/6/507716.jpg
22,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Beatrix Amerhauser (ベアトリクス・アメルハウザー),Member Favorites: 176,https://cdn.myanimelist.net/images/characters/9/514202.jpg
23,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Kenichirou Ryuuzaki (竜崎 憲一朗),Member Favorites: 116,https://cdn.myanimelist.net/images/characters/10/514203.jpg
24,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Kanta Higurashi (日暮 莞太),Member Favorites: 23,https://cdn.myanimelist.net/images/characters/10/531816.jpg
25,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Shou  (笑),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/15/517608.jpg
26,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Yukari  (ユカリ),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/4/518351.jpg
27,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Saori Ootori (鳳 沙織),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/16/516638.jpg
28,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,Gonzou Kosugi (小杉 権蔵),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/13/521396.jpg
29,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,John  (ジョン),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/16/518215.jpg
30,Horimiya: Piece,Horimiya: The Missing Pieces,Izumi Miyamura (宮村 伊澄),"Member Favorites: 16,136",https://cdn.myanimelist.net/images/characters/12/507110.jpg
31,Horimiya: Piece,Horimiya: The Missing Pieces,Kyouko Hori (堀 京子),"Member Favorites: 12,528",https://cdn.myanimelist.net/images/characters/16/318188.jpg
32,Horimiya: Piece,Horimiya: The Missing Pieces,Yuki Yoshikawa (吉川 由紀),"Member Favorites: 1,502",https://cdn.myanimelist.net/images/characters/9/424143.jpg
33,Horimiya: Piece,Horimiya: The Missing Pieces,Kyousuke Hori (堀 京介),"Member Favorites: 1,061",https://cdn.myanimelist.net/images/characters/7/318212.jpg
34,Horimiya: Piece,Horimiya: The Missing Pieces,Honoka Sawada (沢田 ほのか),Member Favorites: 433,https://cdn.myanimelist.net/images/characters/5/318276.jpg
35,Horimiya: Piece,Horimiya: The Missing Pieces,Akane Yanagi (柳 明音),Member Favorites: 423,https://cdn.myanimelist.net/images/characters/10/424142.jpg
36,Horimiya: Piece,Horimiya: The Missing Pieces,Shuu Iura (井浦 秀),Member Favorites: 405,https://cdn.myanimelist.net/images/characters/7/424145.jpg
37,Horimiya: Piece,Horimiya: The Missing Pieces,Remi Ayasaki (綾崎 レミ),Member Favorites: 403,https://cdn.myanimelist.net/images/characters/8/422261.jpg
38,Horimiya: Piece,Horimiya: The Missing Pieces,Tooru Ishikawa (石川 透),Member Favorites: 400,https://cdn.myanimelist.net/images/characters/6/424144.jpg
39,Horimiya: Piece,Horimiya: The Missing Pieces,Sakura Kouno (河野 桜),Member Favorites: 354,https://cdn.myanimelist.net/images/characters/6/424146.jpg
40,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Ichigo Kurosaki (黒崎 一護),"Member Favorites: 35,157",https://cdn.myanimelist.net/images/characters/3/512788.jpg
41,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Uryuu Ishida (石田 雨竜),"Member Favorites: 1,788",https://cdn.myanimelist.net/images/characters/16/139189.jpg
42,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Kenpachi Zaraki (更木 剣八),"Member Favorites: 14,637",https://cdn.myanimelist.net/images/characters/8/150265.jpg
43,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Kisuke Urahara (浦原 喜助),"Member Favorites: 14,451",https://cdn.myanimelist.net/images/characters/15/149491.jpg
44,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Sousuke Aizen (藍染 惣右介),"Member Favorites: 13,539",https://cdn.myanimelist.net/images/characters/16/73909.jpg
45,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Ulquiorra Cifer (ウルキオラ・シファ),"Member Favorites: 9,551",https://cdn.myanimelist.net/images/characters/7/529323.jpg
46,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Rukia Kuchiki (朽木 ルキア),"Member Favorites: 9,451",https://cdn.myanimelist.net/images/characters/2/78215.jpg
47,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Toushirou Hitsugaya (日番谷 冬獅郎),"Member Favorites: 9,443",https://cdn.myanimelist.net/images/characters/11/36579.jpg
48,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Byakuya Kuchiki (朽木 白哉),"Member Favorites: 6,784",https://cdn.myanimelist.net/images/characters/7/100098.jpg
49,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Grimmjow Jaegerjaquez (グリムジョー・ジャガージャック),"Member Favorites: 6,556",https://cdn.myanimelist.net/images/characters/10/529459.jpg
50,Watashi no Shiawase na Kekkon,My Happy Marriage,Kiyoka Kudou (久堂 清霞),Member Favorites: 504,https://cdn.myanimelist.net/images/characters/5/507141.jpg
51,Watashi no Shiawase na Kekkon,My Happy Marriage,Miyo Saimori (斎森 美世),Member Favorites: 469,https://cdn.myanimelist.net/images/characters/10/507142.jpg
