,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,German,Spanish,French,Genre,Theme
0,2021,spring,Tokyo Revengers,,https://cdn.myanimelist.net/images/anime/1839/122012.jpg,東京リベンジャーズ,Tokyo Revengers,TV,24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",Spring 2021,Sundays at 02,"Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       AT-X,       Ultra Super Pictures,       Studio Mausu,       Sammy",VIZ Media,LIDENFILMS,Manga,"ActionAction,         DramaDrama","DelinquentsDelinquents,         Time TravelTime Travel",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.871 (scored by 731284731,284 users)
      


1
          indicates a weighted score.","#8772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#105,"1,323,564","25,254",,,,,,
1,2021,spring,Boku no Hero Academia 5th Season,My Hero Academia Season 5,https://cdn.myanimelist.net/images/anime/1911/113611.jpg,僕のヒーローアカデミア,My Hero Academia Season 5,TV,25,Finished Airing,"Mar 27, 2021 to Sep 25, 2021",Spring 2021,Saturdays at 17,"Dentsu,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Funimation,Bones,Manga,,"SchoolSchool,         Super PowerSuper Power",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.361 (scored by 647705647,705 users)
      


1
          indicates a weighted score.","#25432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#115,"1,259,149","10,226",My Hero Academia 5,My Hero Academia Staffel 5,My Hero Academia Temporada 5,My Hero Academia Saison 5,ActionAction,
2,2021,spring,Fumetsu no Anata e,To Your Eternity,https://cdn.myanimelist.net/images/anime/1880/118484.jpg,不滅のあなたへ,To Your Eternity,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",Spring 2021,Mondays at 22,"NHK,       Kodansha,       NHK Enterprises",VIZ Media,Brain's Base,Manga,"AdventureAdventure,         DramaDrama,         SupernaturalSupernatural",,ShounenShounen,25 min. per ep.,R - 17+ (violence & profanity),"8.341 (scored by 390320390,320 users)
      


1
          indicates a weighted score.","#2442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#199,"922,273","15,100","To You, the Immortal",To Your Eternity,To Your Eternity,To Your Eternity,,
3,2021,spring,86,86 Eighty-Six,https://cdn.myanimelist.net/images/anime/1987/117507.jpg,86―エイティシックス―,86 Eighty-Six,TV,11,Finished Airing,"Apr 11, 2021 to Jun 20, 2021",Spring 2021,Sundays at 00,"Aniplex,       Kadokawa,       Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"ActionAction,         DramaDrama,         Sci-FiSci-Fi","MechaMecha,         MilitaryMilitary",,23 min. per ep.,R - 17+ (violence & profanity),"8.321 (scored by 446396446,396 users)
      


1
          indicates a weighted score.","#2582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#224,"860,299","23,174",Eighty Six,86 Eighty-Six,86 Eighty-Six,86 Eighty-Six,,
4,2021,spring,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",https://cdn.myanimelist.net/images/anime/1900/110097.jpg,イジらないで、長瀞さん,"Don't Toy with Me, Miss Nagatoro",TV,12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",Spring 2021,Sundays at 01,"TMS Entertainment,       Mainichi Broadcasting System,       Kodansha,       King Records","None found, add some",Telecom Animation Film,Web manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.221 (scored by 455946455,946 users)
      


1
          indicates a weighted score.","#32742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#238,"840,873","8,953","Please don't bully me, Nagatoro","Don´t Toy with Me, Miss Nagatoro","Don´t Toy with Me, Miss Nagatoro","Arrête de me chauffer, Nagatoro",,
5,2021,spring,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",https://cdn.myanimelist.net/images/anime/1146/113477.jpg,ひげを剃る。そして女子高生を拾う。,Higehiro,TV,13,Finished Airing,"Apr 5, 2021 to Jun 28, 2021",Spring 2021,Mondays at 22,"Toei Video,       Pony Canyon,       AT-X,       Magic Capsule,       KlockWorx,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Yomiuri Shimbun,       APDREAM,       Dream Shift,       Bergamo","None found, add some",Project No.9,Light novel,"DramaDrama,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.271 (scored by 343249343,249 users)
      


1
          indicates a weighted score.","#30172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#357,"641,172","6,287","I Shaved. Then I Brought a High School Girl Home., Higehiro",Higehiro,Higehiro,Higehiro,,
6,2021,spring,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,https://cdn.myanimelist.net/images/anime/1551/128960.jpg,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),Vivy -Fluorite Eye's Song-,TV,13,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Spring 2021,Saturdays at 23,Aniplex,Aniplex of America,Wit Studio,Original,"ActionAction,         Sci-FiSci-Fi,         SuspenseSuspense","MusicMusic,         Time TravelTime Travel",,24 min. per ep.,R - 17+ (violence & profanity),"8.391 (scored by 256981256,981 users)
      


1
          indicates a weighted score.","#2052

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#412,"570,600","11,140",,Vivy - Fluorite Eye´s Song -,,Vivy - Fluorite Eye´s Song -,,
7,2021,spring,Fruits Basket: The Final,Fruits Basket: The Final Season,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,フルーツバスケット The Final,Fruits Basket,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01,"TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music,       8PAN",Funimation,TMS Entertainment,Manga,"DramaDrama,         RomanceRomance,         SupernaturalSupernatural",,ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"8.961 (scored by 255908255,908 users)
      


1
          indicates a weighted score.","#152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#460,"514,864","20,749","Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",Fruits Basket Staffel 3,Fruits Basket,Fruits Basket Saison 3,,
8,2021,spring,Odd Taxi,,https://cdn.myanimelist.net/images/anime/1981/113348.jpg,オッドタクシー,Odd Taxi,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02,"TV Tokyo,       Dentsu,       Pony Canyon,       AT-X,       Crunchyroll,       Pony Canyon Enterprises,       Mimoid,       Yoshimoto Kogyo","None found, add some","OLM,       P.I.C.S.",Original,"Award WinningAward Winning,         DramaDrama,         MysteryMystery,         SuspenseSuspense","Adult CastAdult Cast,         AnthropomorphicAnthropomorphic,         Organized CrimeOrganized Crime",,23 min. per ep.,PG-13 - Teens 13 or older,"8.651 (scored by 230957230,957 users)
      


1
          indicates a weighted score.","#782

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#515,"466,997","8,716",,,,,,
9,2021,spring,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,How Not to Summon a Demon Lord Ω,https://cdn.myanimelist.net/images/anime/1011/113703.jpg,異世界魔王と召喚少女の奴隷魔術Ω,How Not to Summon a Demon Lord Ω,TV,10,Finished Airing,"Apr 9, 2021 to Jun 11, 2021",Spring 2021,Fridays at 01,"TBS,       Kodansha,       Half H.P Studio,       KlockWorx,       81 Produce,       Avex Pictures,       Crunchyroll,       GREE",Funimation,"Tezuka Productions,       Okuruto Noboru",Light novel,"ActionAction,         ComedyComedy,         FantasyFantasy,         RomanceRomance,         EcchiEcchi","HaremHarem,         IsekaiIsekai",,24 min. per ep.,PG-13 - Teens 13 or older,"6.691 (scored by 198414198,414 users)
      


1
          indicates a weighted score.","#59582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#559,"439,633","2,750","How Not to Summon a Demon Lord 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu 2nd Season, The Otherworldly Demon King and the Summoner Girls' Slave Magic 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu Omega",How Not to Summon a Demon Lord Ω,How Not to Summon a Demon Lord Ω,How Not to Summon a Demon Lord Ω,,
