,jp_title,en_title,char_name,fav,img
0,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Aisha Greyrat (アイシャ・グレイラット),Member Favorites: 204,https://cdn.myanimelist.net/images/characters/16/274691.jpg
1,"Komi-san wa, Comyushou desu.",Komi Can't Communicate,Hitomi Tadano (只野 瞳),Member Favorites: 63,https://cdn.myanimelist.net/images/characters/12/453351.jpg
2,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,Muichirou Tokitou (時透 無一郎),"Member Favorites: 3,711",https://cdn.myanimelist.net/images/characters/5/464903.jpg
3,Ousama Ranking,Ranking of Kings,Miranjo  (魔法の鏡),Member Favorites: 33,https://cdn.myanimelist.net/images/characters/14/451509.jpg
4,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Lloyd  (ロイド),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/458887.jpg
5,86 Part 2,86 Eighty-Six Part 2,Haruto Keats (ハルト・キーツ),Member Favorites: 55,https://cdn.myanimelist.net/images/characters/15/481807.jpg
6,Takt Op. Destiny,, Schindler (シントラー),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/3/453360.jpg
7,Mieruko-chan,,God of the Mountain  (山の神様),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/11/460676.jpg
8,Blue Period,, Koigakubo (恋ケ窪),Member Favorites: 12,https://cdn.myanimelist.net/images/characters/14/450171.jpg
9,Platinum End,,Hajime Sokotani (底谷 一),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/16/366667.jpg
10,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita","Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside",Stormthunder  (ストームサンダ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/2/459778.jpg
11,Senpai ga Uzai Kouhai no Hanashi,My Senpai is Annoying, Ooishi (大石),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/465714.jpg
12,Saihate no Paladin,The Faraway Paladin,Antonio  (トニオ（アントニオ）),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/14/454882.jpg
13,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",Ellis Maclaine (エリス・マクレーヌ),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/14/495052.jpg
14,Kaizoku Oujo,Fena: Pirate Princess,Otto  (オットー),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/16/446118.jpg
15,Tsuki to Laika to Nosferatu,Irina: The Vampire Cosmonaut,Franz Fellmann (フランツ・フェルマン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/479834.jpg
16,Taishou Otome Otogibanashi,Taisho Otome Fairy Tale,Tamayoshi Shima (志磨 珠義),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/460882.jpg
17,World Trigger 3rd Season,,Masato Kageura (影浦 雅人),Member Favorites: 39,https://cdn.myanimelist.net/images/characters/7/431876.jpg
18,Isekai Shokudou 2,Restaurant to Another World 2,Heinrich Seelemann (ハインリヒ・ゼーレマン),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/8/460076.jpg
19,Sakugan,,Merooro  (メローロ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/8/456949.jpg
20,Kyuuketsuki Sugu Shinu,The Vampire Dies in No Time,Y-dan Ojisan  (吸血鬼Y談おじさん),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/14/491298.jpg
21,Build Divide: Code Black,Build-Divide -#000000- Code Black,Tatsumi Ishinome (石乃目 巽),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/468492.jpg
22,Sankaku Mado no Sotogawa wa Yoru,The Night Beyond the Tricornered Window,Shigeo Isogaki (磯垣 茂男),Member Favorites: 0,
23,Selection Project,,Akari Amasawa (天沢 灯),Member Favorites: 24,https://cdn.myanimelist.net/images/characters/8/437730.jpg
24,Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,Yashahime: Princess Half-Demon: The Second Act,Shippou  (七宝),Member Favorites: 427,https://cdn.myanimelist.net/images/characters/5/53722.jpg
25,Deep Insanity: The Lost Child,,Nadia  (ナディア),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/459108.jpg
26,Muv-Luv Alternative,,Marimo Jinguuji (神宮司 まりも),Member Favorites: 29,https://cdn.myanimelist.net/images/characters/6/473115.jpg
27,Visual Prison,,Jack Mouton (ジャック・ムートン),Member Favorites: 13,https://cdn.myanimelist.net/images/characters/2/437594.jpg
28,180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,Can I Make Your Ears Happy in 180 Seconds?,Jirou  (二郎),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/16/560715.jpg
29,Kyoukai Senki,AMAIM Warrior at the Borderline,Joe Spears (ジョウ・スピアーズ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/484815.jpg
30,Deji Meets Girl,"""Deji"" Meets Girl",Teruko Higa (比嘉 テル子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/457679.jpg
31,Kaginado,,Fuuko Ibuki (伊吹 風子),"Member Favorites: 3,631",https://cdn.myanimelist.net/images/characters/2/79593.jpg
32,Puraore! Pride of Orange,PuraOra! PRIDE OF ORANGE,Seiko Kuga (久賀 セイコ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/437708.jpg
33,Blade Runner: Black Lotus,,Alani Davis ,Member Favorites: 0,
34,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,Yuki Yuna is a Hero: The Great Mankai Chapter,Mebuki Kusunoki (楠 芽吹),Member Favorites: 13,https://cdn.myanimelist.net/images/characters/10/343942.jpg
35,Tesla Note,,Kyouhei Himi (氷見 恭平),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/449920.jpg
