,jp_title,en_title,char_name,fav,img
0,Tensei shitara Slime Datta Ken 2nd Season Part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2,Gobta  (ゴブタ),Member Favorites: 505,https://cdn.myanimelist.net/images/characters/12/381715.jpg
1,Kobayashi-san Chi no Maid Dragon S,Miss Kobayashi's Dragon Maid S,Makoto Takiya (滝谷 真),Member Favorites: 92,https://cdn.myanimelist.net/images/characters/11/456440.jpg
2,Vanitas no Karte,The Case Study of Vanitas,Vampire of the Blue Moon  (蒼月の吸血鬼),Member Favorites: 51,https://cdn.myanimelist.net/images/characters/10/471675.jpg
3,Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,Toa  (トア),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/14/441309.jpg
4,Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,Jeanne Euphoria (ジャンヌ＝ユーフォリア),Member Favorites: 13,https://cdn.myanimelist.net/images/characters/12/434436.jpg
5,Seirei Gensouki,Seirei Gensouki: Spirit Chronicles,Christina Beltrum (クリスティーナ＝ベルトラム),Member Favorites: 30,https://cdn.myanimelist.net/images/characters/4/424480.jpg
6,Kanojo mo Kanojo,"Girlfriend, Girlfriend",Mirika's Father  (ミリカ父),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/454603.jpg
7,"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,Chameleon  (カメレオン),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/9/454094.jpg
8,Bokutachi no Remake,Remake Our Life!,Miyoko Hashiba (橋場 美世子),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/16/449483.jpg
9,Sonny Boy,,War  (戦争),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/16/452872.jpg
10,Shinigami Bocchan to Kuro Maid,The Duke of Death and His Maid,Teto  (テト),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/518187.jpg
11,Jahy-sama wa Kujikenai!,The Great Jahy Will Not Be Defeated!,Uncle Magical Girl  (おっさん魔法少女),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/9/476969.jpg
