,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme,German,Spanish,French
0,2022,fall,Chainsaw Man,,https://cdn.myanimelist.net/images/anime/1806/126216.jpg,CSM,チェンソーマン,Chainsaw Man,TV,12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",Fall 2022,Wednesdays at 00,dugout,"None found, add some",MAPPA,Manga,"ActionAction,         FantasyFantasy","GoreGore,         Urban FantasyUrban Fantasy",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"8.461 (scored by 956205956,205 users)
      


1
          indicates a weighted score.","#1582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#62,"1,693,354","49,930",,,,,
1,2022,fall,Spy x Family Part 2,,https://cdn.myanimelist.net/images/anime/1111/127508.jpg,,SPY×FAMILY,,TV,13,Finished Airing,"Oct 1, 2022 to Dec 24, 2022",Fall 2022,Saturdays at 23,"TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO animation,       Shueisha","None found, add some","Wit Studio,       CloverWorks",Manga,"ActionAction,         ComedyComedy","ChildcareChildcare,         Super PowerSuper Power",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.231 (scored by 542904542,904 users)
      


1
          indicates a weighted score.","#3552

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#166,"1,016,797","7,530",,,,,
2,2022,fall,Blue Lock,,https://cdn.myanimelist.net/images/anime/1258/126929.jpg,,ブルーロック,Blue Lock,TV,24,Finished Airing,"Oct 9, 2022 to Mar 26, 2023",Fall 2022,Sundays at 01,"TV Asahi,       Lantis,       Kodansha,       Toy's Factory,       Crunchyroll,       Bandai Spirits,       Bit grooove promotion,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",8bit,Manga,,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.201 (scored by 423829423,829 users)
      


1
          indicates a weighted score.","#3962

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#265,"785,553","13,619",SportsSports,Team SportsTeam Sports,,,
3,2022,fall,Mob Psycho 100 III,,https://cdn.myanimelist.net/images/anime/1228/125011.jpg,"Mob Psycho 100 3rd Season, Mob Psycho Hyaku, Mob Psycho One Hundred",モブサイコ100 III,Mob Psycho 100 III,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,Thursdays at 00,"Shogakukan-Shueisha Productions,       Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan","None found, add some",Bones,Web manga,"ActionAction,         ComedyComedy,         SupernaturalSupernatural",,,23 min. per ep.,PG-13 - Teens 13 or older,"8.711 (scored by 380680380,680 users)
      


1
          indicates a weighted score.","#572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#277,"760,243","11,403",,,,,
4,2022,fall,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,https://cdn.myanimelist.net/images/anime/1091/128729.jpg,Shadow Garden,陰の実力者になりたくて！,The Eminence in Shadow,TV,20,Finished Airing,"Oct 5, 2022 to Feb 15, 2023",Fall 2022,Wednesdays at 22,"AT-X,       BS NTV,       Kadokawa,       NewGin,       Aiming",Sentai Filmworks,Nexus,Light novel,"ActionAction,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"8.261 (scored by 400533400,533 users)
      


1
          indicates a weighted score.","#3252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#287,"749,738","16,637",,,,,
5,2022,fall,Boku no Hero Academia 6th Season,My Hero Academia Season 6,https://cdn.myanimelist.net/images/anime/1483/126005.jpg,My Hero Academia 6,僕のヒーローアカデミア,My Hero Academia Season 6,TV,25,Finished Airing,"Oct 1, 2022 to Mar 25, 2023",Fall 2022,Saturdays at 17,"Dentsu,       Yomiuri Telecasting,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha","None found, add some",Bones,Manga,,"SchoolSchool,         Super PowerSuper Power",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.241 (scored by 357725357,725 users)
      


1
          indicates a weighted score.","#3462

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#293,"722,368","7,277",ActionAction,,,,
6,2022,fall,Bocchi the Rock!,,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,,ぼっち・ざ・ろっく！,Bocchi the Rock!,TV,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,Sundays at 00,"Aniplex,       Houbunsha",Crunchyroll,CloverWorks,4-koma manga,,"CGDCTCGDCT,         MusicMusic",,23 min. per ep.,PG-13 - Teens 13 or older,"8.761 (scored by 403108403,108 users)
      


1
          indicates a weighted score.","#422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#336,"668,923","32,085",ComedyComedy,,,,
7,2022,fall,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,Bleach,BLEACH 千年血戦篇,Bleach,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,Tuesdays at 00,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         SupernaturalSupernatural",,ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"9.001 (scored by 325872325,872 users)
      


1
          indicates a weighted score.","#122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#375,"615,498","21,970",,,,,
8,2022,fall,"Fuufu Ijou, Koibito Miman.","More than a Married Couple, but Not Lovers.",https://cdn.myanimelist.net/images/anime/1713/126442.jpg,"More than a Couple, Less than Lovers., Fuukoi",夫婦以上、恋人未満。,"More than a Married Couple, but Not Lovers.",TV,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,Sundays at 22,"Lantis,       Rakuonsha,       AT-X,       KlockWorx,       Exa International,       Sun TV,       Kadokawa,       Bandai Namco Music Live","None found, add some",studio MOTHER,Manga,,"Love PolygonLove Polygon,         SchoolSchool",SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older,"7.591 (scored by 191665191,665 users)
      


1
          indicates a weighted score.","#16082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#705,"359,574","4,085",RomanceRomance,,,,
9,2022,fall,Tensei shitara Ken deshita,Reincarnated as a Sword,https://cdn.myanimelist.net/images/anime/1191/127909.jpg,"I became the sword by transmigrating, TenKen",転生したら剣でした,Reincarnated as a Sword,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022",Fall 2022,Wednesdays at 23,"Gentosha Comics,       Nikkatsu,       NBCUniversal Entertainment Japan,       JR East Marketing & Communications,       Micro Magazine Publishing,       BS Asahi,       GREE Entertainment,       Micro House",Sentai Filmworks,C2C,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"7.511 (scored by 149814149,814 users)
      


1
          indicates a weighted score.","#19052

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#855,"305,790","1,788",,,,,
