,year,season,jp_title,en_title,img,Japanese,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,English,Theme,Genre,German,Spanish,French
0,2022,spring,Spy x Family,,https://cdn.myanimelist.net/images/anime/1441/122795.jpg,SPY×FAMILY,TV,12,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 23,"TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO animation,       Shueisha",Funimation,"Wit Studio,       CloverWorks",Manga,"ActionAction,         Award WinningAward Winning,         ComedyComedy","ChildcareChildcare,         Super PowerSuper Power",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.471 (scored by 10474361,047,436 users)
      


1
          indicates a weighted score.","#1532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#61,"1,706,259","40,064",,,,,,,
1,2022,spring,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,かぐや様は告らせたい-ウルトラロマンティック-,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 00,"Aniplex,       Mainichi Broadcasting System,       Magic Capsule,       Shueisha,       JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"ComedyComedy,         RomanceRomance",,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"8.991 (scored by 571838571,838 users)
      


1
          indicates a weighted score.","#132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#168,"1,008,204","32,125",Kaguya-sama wa Kokurasetai,Kaguya-sama,SchoolSchool,,,,
2,2022,spring,Tate no Yuusha no Nariagari Season 2,The Rising of the Shield Hero Season 2,https://cdn.myanimelist.net/images/anime/1143/121873.jpg,盾の勇者の成り上がり Season2,TV,13,Finished Airing,"Apr 6, 2022 to Jun 29, 2022",Spring 2022,Wednesdays at 22,"Frontier Works,       AT-X,       Nippon Columbia,       Glovision,       Good Smile Company,       Sammy,       Crunchyroll,       Kadokawa Media House,       NTT Plala,       Kadokawa","None found, add some","Kinema Citrus,       DR Movie",Light novel,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.521 (scored by 295132295,132 users)
      


1
          indicates a weighted score.","#69252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#253,"809,874","12,305",Tate no Yuusha no Nariagari 2nd Season,The Rising of the Shield Hero Season 2,IsekaiIsekai,,,,
3,2022,spring,Summertime Render,Summer Time Rendering,https://cdn.myanimelist.net/images/anime/1120/120796.jpg,サマータイムレンダ,TV,25,Finished Airing,"Apr 15, 2022 to Sep 30, 2022",Spring 2022,Fridays at 00,"Shogakukan-Shueisha Productions,       Movic,       MAGES.,       Tokyo MX,       Shueisha,       Toy's Factory,       Bandai Spirits","None found, add some",OLM,Manga,"MysteryMystery,         SupernaturalSupernatural,         SuspenseSuspense",,ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.471 (scored by 251268251,268 users)
      


1
          indicates a weighted score.","#1542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#389,"596,940","10,140",,Summer Time Rendering,Time TravelTime Travel,,,,
4,2022,spring,Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie,https://cdn.myanimelist.net/images/anime/1995/121695.jpg,可愛いだけじゃない式守さん,TV,12,Finished Airing,"Apr 10, 2022 to Jul 10, 2022",Spring 2022,Sundays at 02,"Kodansha,       NBCUniversal Entertainment Japan,       ABC Animation","Crunchyroll,       Muse Communication",Doga Kobo,Web manga,"ComedyComedy,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.931 (scored by 246644246,644 users)
      


1
          indicates a weighted score.","#46962

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#406,"574,771","5,072","Shikimori's Not Just a Cutie, Miss Shikimori is not just cute, That Girl Is Not Just Cute",Shikimori's Not Just a Cutie,SchoolSchool,,,,
5,2022,spring,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,https://cdn.myanimelist.net/images/anime/1108/121157.jpg,古見さんは、コミュ症です。 2,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",Spring 2022,Thursdays at 00,"TV Tokyo,       Dentsu,       Shogakukan-Shueisha Productions,       Half H.P Studio,       Nippon Columbia","None found, add some",OLM,Manga,,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.011 (scored by 258331258,331 users)
      


1
          indicates a weighted score.","#6572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#456,"517,991","3,941","Komi-san wa, Communication Shougai desu. 2",Komi Can't Communicate Season 2,SchoolSchool,ComedyComedy,,,
6,2022,spring,Tomodachi Game,,https://cdn.myanimelist.net/images/anime/1247/121345.jpg,トモダチゲーム,TV,12,Finished Airing,"Apr 6, 2022 to Jun 22, 2022",Spring 2022,Wednesdays at 01,"Kodansha,       Studio Mausu,       Nippon Television Network,       King Records",Crunchyroll,Okuruto Noboru,Manga,,"High Stakes GameHigh Stakes Game,         PsychologicalPsychological,         Strategy GameStrategy Game",ShounenShounen,22 min. per ep.,R - 17+ (violence & profanity),"7.721 (scored by 228441228,441 users)
      


1
          indicates a weighted score.","#12312

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#554,"440,676","4,270",Friends Game,Tomodachi Game,,SuspenseSuspense,,,
7,2022,spring,Aharen-san wa Hakarenai,,https://cdn.myanimelist.net/images/anime/1612/120636.jpg,阿波連さんははかれない,TV,12,Finished Airing,"Apr 2, 2022 to Jun 18, 2022",Spring 2022,Saturdays at 02,bilibili,Crunchyroll,Felix Film,Manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.281 (scored by 154216154,216 users)
      


1
          indicates a weighted score.","#29212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#706,"359,552","2,292",Aharen Is Indecipherable,Aharen-san wa Hakarenai,,,,,
8,2022,spring,Otome Game Sekai wa Mob ni Kibishii Sekai desu,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,https://cdn.myanimelist.net/images/anime/1161/121462.jpg,乙女ゲー世界はモブに厳しい世界です,TV,12,Finished Airing,"Apr 3, 2022 to Jun 19, 2022",Spring 2022,Sundays at 22,"AT-X,       Sammy,       bilibili,       Kadokawa Media House,       Kadokawa,       Micro Magazine Publishing,       Micro House",Crunchyroll,ENGI,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai,         MechaMecha,         ReincarnationReincarnation,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.321 (scored by 178288178,288 users)
      


1
          indicates a weighted score.","#27602

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#740,"343,246","2,241","Otomege Sekai wa Mob ni Kibishii Sekai desu, Mobseka, Mobuseka",Trapped in a Dating Sim,,,,,
9,2022,spring,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,https://cdn.myanimelist.net/images/anime/1361/120706.jpg,骸骨騎士様、只今異世界へお出掛け中,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",Spring 2022,Thursdays at 23,"Pony Canyon,       AT-X,       DAX Production,       Docomo Anime Store,       Overlap,       Crunchyroll,       Muse Communication,       MAGNET","None found, add some","Studio Kai,       HORNETS",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.151 (scored by 171429171,429 users)
      


1
          indicates a weighted score.","#36542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#752,"340,258","1,778",Skeleton Knight going out to the parallel universe,Skeleton Knight in Another World,IsekaiIsekai,,,,
