,jp_title,en_title,char_name,fav,img
0,Spy x Family,,Sylvia Sherwood (シルヴィア・シャーウッド),Member Favorites: 93,https://cdn.myanimelist.net/images/characters/3/467192.jpg
1,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Maki Shijou (四条 眞妃),Member Favorites: 581,https://cdn.myanimelist.net/images/characters/16/409888.jpg
2,Tate no Yuusha no Nariagari Season 2,The Rising of the Shield Hero Season 2,Kizuna Kazayama (風山 絆),Member Favorites: 82,https://cdn.myanimelist.net/images/characters/11/271289.jpg
3,Summertime Render,Summer Time Rendering,Sou Hishigata (菱形 窓),Member Favorites: 20,https://cdn.myanimelist.net/images/characters/10/466436.jpg
4,Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie,Akisada Izumi (和泉 明貞),Member Favorites: 7,https://cdn.myanimelist.net/images/characters/15/470083.jpg
5,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Shuuko Komi (古見 秀子),Member Favorites: 121,https://cdn.myanimelist.net/images/characters/10/454412.jpg
6,Tomodachi Game,,Hyakutarou Onigawara (鬼瓦 百太郎),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/11/476432.jpg
7,Aharen-san wa Hakarenai,,Miyahira-sensei  (宮平先生),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/6/476738.jpg
8,Otome Game Sekai wa Mob ni Kibishii Sekai desu,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,Deirdre Fou Roseblade (ディアドリー・フォウ・ローズブレイド),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/2/446203.jpg
9,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,Ferna  (フェルナ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/8/472717.jpg
10,"Yuusha, Yamemasu",I'm Quitting Heroing,King  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/484214.jpg
11,Paripi Koumei,Ya Boy Kongming!,Kung Fu Sekitoba (赤兎馬 カンフー),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/10/472793.jpg
12,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",The Greatest Demon Lord Is Reborn as a Typical Nobody,Eraldo  (エラルド),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/13/474164.jpg
13,Kakkou no Iinazuke,A Couple of Cuckoos,Ritsuko Amano (天野 律子),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/9/474632.jpg
14,Date A Live IV,,Reine Murasame (村雨 令音),Member Favorites: 258,https://cdn.myanimelist.net/images/characters/9/209483.jpg
15,Koi wa Sekai Seifuku no Ato de,Love After World Domination,Ran Ran  (乱乱),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/11/479256.jpg
16,Ao Ashi,,Anri Kaidou (海堂 杏里),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/10/465622.jpg
17,Shokei Shoujo no Virgin Road,The Executioner and Her Way of Life,Sicilia  (シシリア),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/10/476754.jpg
18,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Fran  (フラン),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/6/400143.jpg
19,Mahoutsukai Reimeiki,The Dawn of the Witch,Shinpu  (神父),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/11/468097.jpg
20,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,"Science Fell in Love, So I Tried to Prove It r=1-sinθ",Haru Kagurano (神楽野 春),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/473244.jpg
21,Deaimon,Deaimon: Recipe for Happiness,Noi  (野井),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/475996.jpg
22,Dance Dance Danseur,,Hyouta Sagura (相良 兵太),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/470755.jpg
23,Kingdom 4th Season,Kingdom: Season 4,Duanhe Yang (楊 端和),Member Favorites: 138,https://cdn.myanimelist.net/images/characters/2/351151.jpg
24,Machikado Mazoku: 2-choume,The Demon Girl Next Door 2,Seiko Yoshida (吉田 清子),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/8/477012.jpg
25,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,Heroines Run the Show: The Unpopular Girl and the Secret Task,Kotarou Enomoto (榎本 虎太朗),Member Favorites: 22,https://cdn.myanimelist.net/images/characters/8/294951.jpg
26,Birdie Wing: Golf Girls' Story,,Kaoruko Iijima (飯島 薫子),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/468048.jpg
27,"Kono Healer, Mendokusai","Don't Hurt Me, My Healer!",Brigan  (ブリガン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/8/477226.jpg
28,Kunoichi Tsubaki no Mune no Uchi,In the Heart of Kunoichi Tsubaki,Hagi  (ハギ),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/7/468069.jpg
29,RPG Fudousan,RPG Real Estate,Tsuzumi Kazairo (風色 鼓),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/10/473322.jpg
30,Black★★Rock Shooter:  Dawn Fall,,Jessica  (ジェシカ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/477213.jpg
31,Love All Play,,Youji Higashiyama (東山 陽次),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/467435.jpg
32,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,Love Live! Nijigasaki High School Idol Club Season 2,Karin Asaka (朝香 果林),Member Favorites: 158,https://cdn.myanimelist.net/images/characters/16/396297.jpg
33,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,Miss Shachiku and the Little Baby Ghost,"""Cute"" Voiceover of the Week  (今週の「可愛い。」担当)",Member Favorites: 0,
34,Healer Girl,,Shirou Kitasato (北里 史郎),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/477931.jpg
35,Shin Ikkitousen,,Takezou Shinmen (新免 武蔵),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/2/396555.jpg
