,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Themes,Theme,Genre,German,Spanish,French
0,2023,fall,Sousou no Frieren,Frieren: Beyond Journey's End,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,"Frieren at the Funeral, Frieren The Slayer",葬送のフリーレン,Frieren,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23,"Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Nippon Television Network,       TOHO animation,       Shogakukan",Crunchyroll,Madhouse,Manga,"AdventureAdventure,         DramaDrama,         FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.311 (scored by 601639601,639 users)
      


1
          indicates a weighted score.","#12

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#162,"1,033,004","63,025",,,,,,
1,2023,fall,Spy x Family Season 2,,https://cdn.myanimelist.net/images/anime/1506/138982.jpg,,SPY×FAMILY Season 2,,TV,12,Finished Airing,"Oct 7, 2023 to Dec 23, 2023",Fall 2023,Saturdays at 23,"TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO animation,       Shueisha,       Studio Easter","None found, add some","Wit Studio,       CloverWorks",Manga,"ActionAction,         ComedyComedy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.061 (scored by 264502264,502 users)
      


1
          indicates a weighted score.","#5892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#410,"571,135","3,606","ChildcareChildcare,         Super PowerSuper Power",,,,,
2,2023,fall,Kusuriya no Hitorigoto,The Apothecary Diaries,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,"The Pharmacist's Monologue, Drugstore Soliloquy",薬屋のひとりごと,The Apothecary Diaries,TV,24,Finished Airing,"Oct 22, 2023 to Mar 24, 2024",Fall 2023,Sundays at 01,"Dentsu,       Square Enix,       Nippon Television Network,       TOHO animation,       Shogakukan,       Imagica Infos",Crunchyroll,"OLM,       TOHO animation STUDIO",Light novel,"DramaDrama,         MysteryMystery",,22 min. per ep.,PG-13 - Teens 13 or older,"8.881 (scored by 295826295,826 users)
      


1
          indicates a weighted score.","#232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#421,"564,467","16,823","HistoricalHistorical,         MedicalMedical",,,,,
3,2023,fall,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,https://cdn.myanimelist.net/images/anime/1317/139802.jpg,"Tate no Yuusha no Nariagari 3rd Season, The Rising of the Shield Hero 3rd Season",盾の勇者の成り上がり Season 3,The Rising of the Shield Hero Season 3,TV,12,Finished Airing,"Oct 6, 2023 to Dec 22, 2023",Fall 2023,Fridays at 21,"Frontier Works,       AT-X,       Nippon Columbia,       NTT Docomo,       Glovision,       Good Smile Company,       Sammy,       Crunchyroll,       Kadokawa","None found, add some",Kinema Citrus,Light novel,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.101 (scored by 129334129,334 users)
      


1
          indicates a weighted score.","#39242

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#504,"472,586","6,098",,IsekaiIsekai,,,,
4,2023,fall,Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,https://cdn.myanimelist.net/images/anime/1938/138295.jpg,Shadow Garden 2nd Season,陰の実力者になりたくて！ 2nd Season,The Eminence in Shadow Season 2,TV,12,Finished Airing,"Oct 4, 2023 to Dec 20, 2023",Fall 2023,Wednesdays at 22,"AT-X,       Magic Capsule,       BS NTV,       Kadokawa,       NewGin,       Aiming",Sentai Filmworks,Nexus,Light novel,"ActionAction,         ComedyComedy,         FantasyFantasy",,23 min. per ep.,R - 17+ (violence & profanity),"8.311 (scored by 242438242,438 users)
      


1
          indicates a weighted score.","#2712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#543,"446,320","4,840","IsekaiIsekai,         ReincarnationReincarnation",,,,,
5,2023,fall,Goblin Slayer II,,https://cdn.myanimelist.net/images/anime/1100/138338.jpg,Goblin Slayer 2nd Season,ゴブリンスレイヤーⅡ,,TV,12,Finished Airing,"Oct 6, 2023 to Dec 22, 2023",Fall 2023,Fridays at 22,"Sony Pictures Entertainment,       Frontier Works,       AT-X,       Bushiroad,       Hakuhodo DY Music & Pictures,       Good Smile Film,       SB Creative",Crunchyroll,LIDENFILMS,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,R - 17+ (violence & profanity),"7.201 (scored by 129769129,769 users)
      


1
          indicates a weighted score.","#33592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#659,"379,188","3,157",,GoreGore,,,,
6,2023,fall,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",Shangri-La Frontier,https://cdn.myanimelist.net/images/anime/1500/139931.jpg,Shangri-La Frontier,シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～,Shangri-La Frontier,TV,25,Finished Airing,"Oct 1, 2023 to Mar 31, 2024",Fall 2023,Sundays at 17,"Dentsu,       Mainichi Broadcasting System,       Kodansha,       flying DOG,       Sammy,       Crunchyroll,       Tencent Japan,       Netmarble","None found, add some",C2C,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older,"8.081 (scored by 180571180,571 users)
      


1
          indicates a weighted score.","#5442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#694,"362,047","2,936",,Video GameVideo Game,,,,
7,2023,fall,Dr. Stone: New World Part 2,,https://cdn.myanimelist.net/images/anime/1236/138696.jpg,Dr. Stone 3rd Season Part 2,Dr.STONE NEW WORLD,,TV,11,Finished Airing,"Oct 12, 2023 to Dec 21, 2023",Fall 2023,Thursdays at 22,"TOHO animation,       Shueisha",Crunchyroll,TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.321 (scored by 174505174,505 users)
      


1
          indicates a weighted score.","#2612

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#747,"341,318","1,502",,,,,,
8,2023,fall,Undead Unluck,,https://cdn.myanimelist.net/images/anime/1136/138410.jpg,,アンデッドアンラック,,TV,24,Finished Airing,"Oct 7, 2023 to Mar 23, 2024",Fall 2023,Saturdays at 01,"TMS Entertainment,       Mainichi Broadcasting System,       Magic Capsule,       Shueisha","None found, add some",David Production,Manga,"ActionAction,         ComedyComedy",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.761 (scored by 105910105,910 users)
      


1
          indicates a weighted score.","#11432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#857,"305,412","1,739",,Super PowerSuper Power,,,,
9,2023,fall,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",https://cdn.myanimelist.net/images/anime/1812/136764.jpg,Hyakkano,君のことが大大大大大好きな100人の彼女,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",TV,12,Finished Airing,"Oct 8, 2023 to Dec 24, 2023",Fall 2023,Sundays at 22,"Lantis,       Movic,       Bushiroad,       Tokyo MX,       Shueisha,       NetEase,       Bushiroad Move,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Bibury Animation Studios,Manga,"ComedyComedy,         RomanceRomance",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.721 (scored by 135561135,561 users)
      


1
          indicates a weighted score.","#12382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#959,"269,858","2,617","HaremHarem,         ParodyParody,         SchoolSchool",,,,,
