,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme,German,Spanish,French
0,2023,summer,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,Jujutsu Kaisen,呪術廻戦 懐玉・玉折／渋谷事変,Jujutsu Kaisen Season 2,TV,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,Thursdays at 23,"Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap","None found, add some",MAPPA,Manga,"ActionAction,         SupernaturalSupernatural","GoreGore,         SchoolSchool",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.761 (scored by 643665643,665 users)
      


1
          indicates a weighted score.","#442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#138,"1,144,117","24,010",,,,,
1,2023,summer,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,https://cdn.myanimelist.net/images/anime/1898/138005.jpg,Jobless Reincarnation,無職転生 II ～異世界行ったら本気だす～,Mushoku Tensei,TV,12,Finished Airing,"Jul 10, 2023 to Sep 25, 2023",Summer 2023,Mondays at 00,"Frontier Works,       TOHO,       TOHO animation,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment","None found, add some",Studio Bind,Light novel,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         EcchiEcchi","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"8.231 (scored by 372810372,810 users)
      


1
          indicates a weighted score.","#3612

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#346,"654,818","7,377",,,,,
2,2023,summer,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,https://cdn.myanimelist.net/images/anime/1384/136408.jpg,"Bucket List of The Dead, Zombie 100",ゾン100～ゾンビになるまでにしたい100のこと～,Zom 100,TV,12,Finished Airing,"Jul 9, 2023 to Dec 26, 2023",Summer 2023,Sundays at 17,"Shogakukan-Shueisha Productions,       Mainichi Broadcasting System,       Shogakukan,       dugout",VIZ Media,BUG FILMS,Manga,"ActionAction,         ComedyComedy,         HorrorHorror,         SuspenseSuspense","Adult CastAdult Cast,         GoreGore,         SurvivalSurvival",SeinenSeinen,24 min. per ep.,R - 17+ (violence & profanity),"7.751 (scored by 285154285,154 users)
      


1
          indicates a weighted score.","#11522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#382,"606,897","4,116",,,,,
3,2023,summer,Horimiya: Piece,Horimiya: The Missing Pieces,https://cdn.myanimelist.net/images/anime/1007/136277.jpg,,ホリミヤ -piece-,Horimiya,TV,13,Finished Airing,"Jul 1, 2023 to Sep 23, 2023",Summer 2023,Saturdays at 23,"Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Kanetsu Investment,       Global Solutions,       Mirai-Kojo","None found, add some",CloverWorks,Manga,,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.151 (scored by 166692166,692 users)
      


1
          indicates a weighted score.","#4642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#664,"377,812","2,848",RomanceRomance,SchoolSchool,,,
4,2023,summer,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,https://cdn.myanimelist.net/images/anime/1164/138058.jpg,Bleach,BLEACH 千年血戦篇-訣別譚-,Bleach,TV,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",Summer 2023,Saturdays at 23,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Zack Promotion",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         SupernaturalSupernatural",,ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"8.701 (scored by 187612187,612 users)
      


1
          indicates a weighted score.","#592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#753,"340,207","4,739",,,,,
5,2023,summer,Watashi no Shiawase na Kekkon,My Happy Marriage,https://cdn.myanimelist.net/images/anime/1147/122444.jpg,"My Blissful Marriage, Watakon",わたしの幸せな結婚,My Happy Marriage,TV,12,Finished Airing,"Jul 5, 2023 to Sep 20, 2023",Summer 2023,Wednesdays at 23,"Square Enix,       Glovision,       Toy's Factory,       Miracle Bus,       Kadokawa,       Bandai Namco Music Live","None found, add some",Kinema Citrus,Novel,"DramaDrama,         FantasyFantasy,         RomanceRomance","Adult CastAdult Cast,         HistoricalHistorical",,23 min. per ep.,PG-13 - Teens 13 or older,"7.731 (scored by 165843165,843 users)
      


1
          indicates a weighted score.","#12282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#780,"330,781","3,131",,,,,
6,2023,summer,Masamune-kun no Revenge R,Masamune-kun's Revenge R,https://cdn.myanimelist.net/images/anime/1667/135587.jpg,,政宗くんのリベンジR,Masamune-kun's Revenge R,TV,12,Finished Airing,"Jul 3, 2023 to Sep 18, 2023",Summer 2023,Mondays at 21,"Lantis,       AT-X,       KlockWorx,       BS Fuji,       Tokyo MX,       Crunchyroll,       Ichijinsha,       FuRyu,       Lawson Entertainment,       Bandai Namco Music Live","None found, add some",SILVER LINK.,Manga,"ComedyComedy,         RomanceRomance","HaremHarem,         SchoolSchool",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.231 (scored by 8827888,278 users)
      


1
          indicates a weighted score.","#32172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1135,"228,982","1,316",,,,,
7,2023,summer,Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,https://cdn.myanimelist.net/images/anime/1161/136691.jpg,,文豪ストレイドッグス,Bungo Stray Dogs 5,TV,11,Finished Airing,"Jul 12, 2023 to Sep 20, 2023",Summer 2023,Wednesdays at 23,"WOWOW,       Lantis,       Movic,       Glovision,       Crunchyroll,       Sunrise Music,       Kadokawa,       Sony Music Solutions,       Bandai Namco Music Live","None found, add some",Bones,Manga,"ActionAction,         MysteryMystery","Adult CastAdult Cast,         DetectiveDetective,         Organized CrimeOrganized Crime,         Super PowerSuper Power,         VampireVampire",SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity),"8.631 (scored by 9964599,645 users)
      


1
          indicates a weighted score.","#862

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1189,"218,127","2,665",,,,,
8,2023,summer,Suki na Ko ga Megane wo Wasureta,The Girl I Like Forgot Her Glasses,https://cdn.myanimelist.net/images/anime/1582/136325.jpg,Sukimega,好きな子がめがねを忘れた,The Girl I Like Forgot Her Glasses,TV,13,Finished Airing,"Jul 4, 2023 to Sep 26, 2023",Summer 2023,Tuesdays at 23,"Square Enix,       Shochiku,       flying DOG,       Tokyo MX,       Glovision,       Hakuhodo DY Music & Pictures,       U-NEXT,       FuRyu,       BS Asahi","None found, add some",GoHands,Manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.141 (scored by 8173881,738 users)
      


1
          indicates a weighted score.","#36932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1208,"214,118","1,467",,,,,
9,2023,summer,"Kanojo, Okarishimasu 3rd Season",Rent-a-Girlfriend Season 3,https://cdn.myanimelist.net/images/anime/1696/136634.jpg,Kanokari,彼女、お借りします,Rent-a-Girlfriend Season 3,TV,12,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",Summer 2023,Saturdays at 01,"Mainichi Broadcasting System,       Kodansha,       DMM.com","None found, add some",TMS Entertainment,Manga,"ComedyComedy,         RomanceRomance","Adult CastAdult Cast,         HaremHarem",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.031 (scored by 8646886,468 users)
      


1
          indicates a weighted score.","#42452

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1321,"193,481","1,006",,,,,
