,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Synonyms,Genre,German,Spanish,French
0,2023,winter,Vinland Saga Season 2,,https://cdn.myanimelist.net/images/anime/1170/124312.jpg,ヴィンランド・サガ SEASON2,Vinland Saga Season 2,TV,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 00,"Dentsu,       Kodansha,       Twin Engine","None found, add some",MAPPA,Manga,"ActionAction,         AdventureAdventure,         DramaDrama","GoreGore,         HistoricalHistorical",SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity),"8.811 (scored by 388818388,818 users)
      


1
          indicates a weighted score.","#322

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#298,"715,626","17,161",,,,,,
1,2023,winter,Tomo-chan wa Onnanoko!,Tomo-chan Is a Girl!,https://cdn.myanimelist.net/images/anime/1444/131828.jpg,トモちゃんは女の子！,Tomo-chan Is a Girl!,TV,13,Finished Airing,"Jan 5, 2023 to Mar 30, 2023",Winter 2023,Thursdays at 00,"Aniplex,       Seikaisha,       Crunchyroll,       INSPION Edge,       Three S Studio","None found, add some",Lay-duce,Web manga,"ComedyComedy,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.751 (scored by 233486233,486 users)
      


1
          indicates a weighted score.","#11502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#539,"448,303","3,063",SchoolSchool,,,,,
2,2023,winter,Tokyo Revengers: Seiya Kessen-hen,Tokyo Revengers: Christmas Showdown,https://cdn.myanimelist.net/images/anime/1773/132313.jpg,東京リベンジャーズ 聖夜決戦編,Tokyo Revengers,TV,13,Finished Airing,"Jan 8, 2023 to Apr 2, 2023",Winter 2023,Sundays at 02,"Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       AT-X,       Ultra Super Pictures,       Studio Mausu,       Sammy","None found, add some",LIDENFILMS,Manga,"ActionAction,         DramaDrama","DelinquentsDelinquents,         Time TravelTime Travel",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.641 (scored by 171280171,280 users)
      


1
          indicates a weighted score.","#14592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#641,"390,353","2,546",,,,,,
3,2023,winter,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy Ⅱ,https://cdn.myanimelist.net/images/anime/1369/139553.jpg,魔王学院の不適合者 II～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,The Misfit of Demon King Academy Ⅱ,TV,12,Finished Airing,"Jan 8, 2023 to Sep 24, 2023",Winter 2023,Sundays at 00,"Aniplex,       Movic,       AT-X,       Tokyo MX,       Q-Tec,       Docomo Anime Store,       Medicos Entertainment,       BS11,       Yomiuri TV Enterprise,       Contents Seed,       Kadokawa,       ADK Marketing Solutions",Aniplex of America,SILVER LINK.,Light novel,"ActionAction,         FantasyFantasy","ReincarnationReincarnation,         SchoolSchool",,23 min. per ep.,R - 17+ (violence & profanity),"6.861 (scored by 114121114,121 users)
      


1
          indicates a weighted score.","#50142

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#668,"375,419","4,010",,Maou Gakuin no Futekigousha,,,,
4,2023,winter,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,https://cdn.myanimelist.net/images/anime/1240/133638.jpg,お隣の天使様にいつの間にか駄目人間にされていた件,The Angel Next Door Spoils Me Rotten,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",Winter 2023,Saturdays at 22,"Pony Canyon,       Movic,       Magic Capsule,       TOHO animation,       Tokyo MX,       Good Smile Company,       Miracle Bus,       Pia,       SB Creative,       Toho Music","None found, add some",Project No.9,Light novel,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.831 (scored by 195546195,546 users)
      


1
          indicates a weighted score.","#9772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#688,"364,620","6,033",SchoolSchool,,RomanceRomance,,,
5,2023,winter,Bungou Stray Dogs 4th Season,Bungo Stray Dogs 4,https://cdn.myanimelist.net/images/anime/1263/132759.jpg,文豪ストレイドッグス,Bungo Stray Dogs 4,TV,13,Finished Airing,"Jan 4, 2023 to Mar 29, 2023",Winter 2023,Wednesdays at 23,"WOWOW,       Lantis,       Movic,       Glovision,       Crunchyroll,       Kadokawa,       Sony Music Solutions,       Bandai Namco Music Live","None found, add some",Bones,Manga,"ActionAction,         MysteryMystery","Adult CastAdult Cast,         DetectiveDetective,         Organized CrimeOrganized Crime,         Super PowerSuper Power",SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity),"8.431 (scored by 128423128,423 users)
      


1
          indicates a weighted score.","#1762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#798,"322,579","3,345",,,,,,
6,2023,winter,NieR:Automata Ver1.1a,,https://cdn.myanimelist.net/images/anime/1399/128318.jpg,NieR,,TV,12,Finished Airing,"Jan 8, 2023 to Jul 23, 2023",Winter 2023,Sundays at 00,"Aniplex,       Square Enix",Aniplex of America,A-1 Pictures,Game,"ActionAction,         FantasyFantasy,         Sci-FiSci-Fi",,,23 min. per ep.,R - 17+ (violence & profanity),"7.531 (scored by 8577785,777 users)
      


1
          indicates a weighted score.","#18642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#827,"313,008","2,298",,,,,,
7,2023,winter,Buddy Daddies,,https://cdn.myanimelist.net/images/anime/1553/133767.jpg,Buddy Daddies,,TV,12,Finished Airing,"Jan 7, 2023 to Apr 1, 2023",Winter 2023,Saturdays at 00,"Aniplex,       Movic,       Nitroplus,       Tokyo MX,       Nagoya Broadcasting Network,       BS11,       Bit grooove promotion",Crunchyroll,P.A. Works,Original,"ActionAction,         ComedyComedy","ChildcareChildcare,         Organized CrimeOrganized Crime",,24 min. per ep.,PG-13 - Teens 13 or older,"8.111 (scored by 139708139,708 users)
      


1
          indicates a weighted score.","#5142

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#832,"311,852","3,315",,,,,,
8,2023,winter,"Ijiranaide, Nagatoro-san 2nd Attack","Don't Toy with Me, Miss Nagatoro 2nd Attack",https://cdn.myanimelist.net/images/anime/1902/129579.jpg,イジらないで、長瀞さん 2nd Attack,"Don't Toy with Me, Miss Nagatoro 2nd Attack",TV,12,Finished Airing,"Jan 8, 2023 to Mar 26, 2023",Winter 2023,Sundays at 01,"TMS Entertainment,       Mainichi Broadcasting System,       Kodansha,       King Records","None found, add some",OLM,Web manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.461 (scored by 129855129,855 users)
      


1
          indicates a weighted score.","#21272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#849,"307,294","2,060",,"Don't Toy with Me, Miss Nagatoro 2nd Season, Ijiranaide, Nagatoro-san 2nd Season",,,,
9,2023,winter,Tondemo Skill de Isekai Hourou Meshi,Campfire Cooking in Another World with My Absurd Skill,https://cdn.myanimelist.net/images/anime/1661/131889.jpg,とんでもスキルで異世界放浪メシ,Campfire Cooking in Another World with My Absurd Skill,TV,12,Finished Airing,"Jan 11, 2023 to Mar 29, 2023",Winter 2023,Wednesdays at 00,dugout,Crunchyroll,MAPPA,Light novel,"AdventureAdventure,         ComedyComedy,         FantasyFantasy,         GourmetGourmet",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.651 (scored by 144502144,502 users)
      


1
          indicates a weighted score.","#14242

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#947,"271,678","2,043",IsekaiIsekai,"Regarding the Display of an Outrageous Skill Which Has Incredible Powers, Tonsuki",,,,
