,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,Theme,German,Spanish,French
0,2024,fall,Dandadan,,https://cdn.myanimelist.net/images/anime/1584/143719.jpg,ダンダダン,Dan Da Dan,TV,12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",Fall 2024,Fridays at 00,"Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Mainichi Broadcasting System,       Shueisha",GKIDS,Science SARU,Manga,"ActionAction,         ComedyComedy,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.561 (scored by 352589352,589 users)
      


1
          indicates a weighted score.","#1092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#353,"647,718","10,030",,,,,,,
1,2024,fall,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ZERO -Starting Life in Another World- Season 3,https://cdn.myanimelist.net/images/anime/1706/144725.jpg,Re,Re,TV,16,Currently Airing,"Oct 2, 2024 to ?",Fall 2024,Wednesdays at 22,"AT-X,       Magic Capsule,       Memory-Tech,       Hakuhodo DY Music & Pictures,       Kadokawa,       DAXEL","None found, add some",White Fox,Light novel,"DramaDrama,         FantasyFantasy,         SuspenseSuspense",,23 min. per ep.,R - 17+ (violence & profanity),"8.661 (scored by 6931369,313 users)
      


1
          indicates a weighted score.","#742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#713,"357,069","4,905",Re,"IsekaiIsekai,         PsychologicalPsychological,         Time TravelTime Travel",,,,,
2,2024,fall,Blue Lock vs. U-20 Japan,Blue Lock Season 2,https://cdn.myanimelist.net/images/anime/1584/144860.jpg,ブルーロック VS. U-20 JAPAN,Blue Lock Season 2,TV,14,Finished Airing,"Oct 6, 2024 to Dec 28, 2024",Fall 2024,Saturdays at 23,"TV Asahi,       Lantis,       Kodansha,       Toy's Factory,       Crunchyroll,       Chiptune,       Bandai Spirits,       Bit grooove promotion,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",8bit,Manga,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.561 (scored by 109190109,190 users)
      


1
          indicates a weighted score.","#17072

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1025,"253,912","1,868",Blue Lock 2nd Season,,SportsSports,Team SportsTeam Sports,,,
3,2024,fall,Uzumaki,Uzumaki: Spiral into Horror,https://cdn.myanimelist.net/images/anime/1207/146272.jpg,うずまき,Uzumaki,TV,4,Finished Airing,"Sep 28, 2024 to Oct 19, 2024",Fall 2024,Unknown,Production I.G,"None found, add some","Akatsuki,       Fugaku",Manga,"Avant GardeAvant Garde,         DramaDrama,         HorrorHorror,         SuspenseSuspense",SeinenSeinen,28 min. per ep.,R - 17+ (violence & profanity),"5.791 (scored by 6115061,150 users)
      


1
          indicates a weighted score.","#109982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1134,"229,402","1,226",The Spiral,,,PsychologicalPsychological,,,
4,2024,fall,Bleach: Sennen Kessen-hen - Soukoku-tan,Bleach: Thousand-Year Blood War - The Conflict,https://cdn.myanimelist.net/images/anime/1595/144074.jpg,BLEACH 千年血戦篇-相剋譚-,Bleach,TV,14,Finished Airing,"Oct 5, 2024 to Dec 28, 2024",Fall 2024,Saturdays at 23,"Pierrot,       TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Zack Promotion","None found, add some",Pierrot Films,Manga,"ActionAction,         AdventureAdventure,         SupernaturalSupernatural",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"8.691 (scored by 9584095,840 users)
      


1
          indicates a weighted score.","#642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1218,"211,807","3,036",Bleach,,,,,,
5,2024,fall,Ao no Hako,Blue Box,https://cdn.myanimelist.net/images/anime/1496/147108.jpg,アオのハコ,Blue Box,TV,25,Currently Airing,"Oct 3, 2024 to ?",Fall 2024,Thursdays at 23,"TBS,       Magic Capsule,       TOHO animation,       Shueisha,       TMS Music,       Unlimited Produce by TMS","None found, add some",Telecom Animation Film,Manga,"RomanceRomance,         SportsSports",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.281 (scored by 4405244,052 users)
      


1
          indicates a weighted score.","#2972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1238,"208,011","2,166",,"Love PolygonLove Polygon,         SchoolSchool,         Team SportsTeam Sports",,,,,
6,2024,fall,Seirei Gensouki 2,Seirei Gensouki: Spirit Chronicles Season 2,https://cdn.myanimelist.net/images/anime/1087/144583.jpg,精霊幻想記2,Seirei Gensouki,TV,12,Finished Airing,"Oct 8, 2024 to Dec 24, 2024",Fall 2024,Tuesdays at 01,"MediaNet,       Nippon Columbia,       KlockWorx,       Asmik Ace,       Hobby Japan,       BS Fuji,       Strawberry Meets Pictures,       Crunchyroll,       Kanon Sound,       NichiNare,       Melonbooks,       TMS Music,       CTW","None found, add some",TMS Entertainment,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"6.871 (scored by 4784947,849 users)
      


1
          indicates a weighted score.","#49782

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1517,"166,590","1,222",,"HaremHarem,         IsekaiIsekai,         ReincarnationReincarnation",,,,,
7,2024,fall,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",Shangri-La Frontier Season 2,https://cdn.myanimelist.net/images/anime/1996/147601.jpg,シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season,Shangri-La Frontier Season 2,TV,25,Currently Airing,"Oct 13, 2024 to ?",Fall 2024,Sundays at 17,"Dentsu,       Mainichi Broadcasting System,       Kodansha,       Sammy,       Crunchyroll,       Tencent Games,       Netmarble","None found, add some",C2C,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.271 (scored by 3045130,451 users)
      


1
          indicates a weighted score.","#3152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1559,"161,001",886,Shangri-La Frontier,,,Video GameVideo Game,,,
8,2024,fall,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? V,https://cdn.myanimelist.net/images/anime/1299/144738.jpg,ダンジョンに出会いを求めるのは間違っているだろうかV 豊穣の女神篇,Is It Wrong to Try to Pick Up Girls in a Dungeon? V,TV,15,Currently Airing,"Oct 5, 2024 to Mar 5, 2025",Fall 2024,Saturdays at 00,"Movic,       Warner Bros. Japan,       KlockWorx,       Hakuhodo DY Music & Pictures,       Egg Firm,       FuRyu,       SB Creative,       GREE Entertainment",Sentai Filmworks,J.C.Staff,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"8.031 (scored by 2429424,294 users)
      


1
          indicates a weighted score.","#6282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1576,"158,777",865,"DanMachi 5th Season, Is It Wrong That I Want to Meet You in a Dungeon 5th Season",,,,,,
9,2024,fall,Arifureta Shokugyou de Sekai Saikyou Season 3,Arifureta: From Commonplace to World's Strongest Season 3,https://cdn.myanimelist.net/images/anime/1553/145597.jpg,ありふれた職業で世界最強 season 3,Arifureta,TV,16,Finished Airing,"Oct 14, 2024 to Feb 17, 2025",Fall 2024,Mondays at 23,"Lantis,       AT-X,       Magic Capsule,       Bushiroad,       Toranoana,       Hakuhodo DY Music & Pictures,       Overlap,       FuRyu,       Sony Music Solutions,       Bandai Namco Music Live","None found, add some",asread.,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,R - 17+ (violence & profanity),"7.091 (scored by 2948129,481 users)
      


1
          indicates a weighted score.","#39682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1584,"157,962",990,From Common Job Class to the Strongest in the World Season 3,"HaremHarem,         IsekaiIsekai",,,,,
