,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Demographic,Theme,Genre,German,Spanish,French
0,2024,winter,Ore dake Level Up na Ken,Solo Leveling,https://cdn.myanimelist.net/images/anime/1801/142390.jpg,"Na Honjaman Level Up, 나 혼자만 레벨업, I Level Up Alone",俺だけレベルアップな件,Solo Leveling,TV,12,Finished Airing,"Jan 7, 2024 to Mar 31, 2024",Winter 2024,Sundays at 00,"Aniplex,       Crunchyroll,       Netmarble,       Kakao piccoma,       D&C Media","None found, add some",A-1 Pictures,Web manga,"ActionAction,         AdventureAdventure,         FantasyFantasy","Adult CastAdult Cast,         Urban FantasyUrban Fantasy",23 min. per ep.,R - 17+ (violence & profanity),"8.281 (scored by 506651506,651 users)
      


1
          indicates a weighted score.","#3062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#216,"871,735","16,301",,,,,,
1,2024,winter,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,https://cdn.myanimelist.net/images/anime/1332/139318.jpg,"Welcome to the Classroom of the Elite, You-jitsu 3rd Season, You-zitsu 3rd Season",ようこそ実力至上主義の教室へ 3rd Season,Classroom of the Elite III,TV,13,Finished Airing,"Jan 3, 2024 to Mar 27, 2024",Winter 2024,Wednesdays at 22,"Studio Hibari,       Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Music Live","None found, add some",Lerche,Light novel,"DramaDrama,         SuspenseSuspense","PsychologicalPsychological,         SchoolSchool",23 min. per ep.,PG-13 - Teens 13 or older,"7.961 (scored by 218498218,498 users)
      


1
          indicates a weighted score.","#7102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#540,"447,144","4,267",,,,,,
2,2024,winter,Dungeon Meshi,Delicious in Dungeon,https://cdn.myanimelist.net/images/anime/1711/142478.jpg,Dungeon Food,ダンジョン飯,Delicious in Dungeon,TV,24,Finished Airing,"Jan 4, 2024 to Jun 13, 2024",Winter 2024,Thursdays at 22,"Ultra Super Pictures,       Good Smile Company,       Tencent Japan,       Kadokawa","None found, add some",Trigger,Manga,"AdventureAdventure,         ComedyComedy,         FantasyFantasy,         GourmetGourmet",,25 min. per ep.,R - 17+ (violence & profanity),"8.611 (scored by 217419217,419 users)
      


1
          indicates a weighted score.","#962

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#541,"446,989","8,841",SeinenSeinen,,,,,
3,2024,winter,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,Mashle: Magic and Muscles The Divine Visionary Candidate Exam Arc,https://cdn.myanimelist.net/images/anime/1912/140804.jpg,Mashle 2nd Season,マッシュル-MASHLE- 神覚者候補選抜試験編,Mashle,TV,12,Finished Airing,"Jan 6, 2024 to Mar 30, 2024",Winter 2024,Saturdays at 23,"Aniplex,       Shueisha,       ADK,       INSPION Edge",Aniplex of America,A-1 Pictures,Manga,"ActionAction,         ComedyComedy,         FantasyFantasy","Gag HumorGag Humor,         ParodyParody,         SchoolSchool",23 min. per ep.,PG-13 - Teens 13 or older,"7.811 (scored by 220524220,524 users)
      


1
          indicates a weighted score.","#10122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#579,"421,839","1,959",ShounenShounen,,,,,
4,2024,winter,Tsuki ga Michibiku Isekai Douchuu 2nd Season,Tsukimichi -Moonlit Fantasy- Season 2,https://cdn.myanimelist.net/images/anime/1794/142621.jpg,,月が導く異世界道中 第二幕,Tsukimichi -Moonlit Fantasy- Season 2,TV,25,Finished Airing,"Jan 8, 2024 to Jun 24, 2024",Winter 2024,Mondays at 23,"Mainichi Broadcasting System,       Nippon Television Network,       Tokyo MX,       Medicos Entertainment,       DMM.com,       A-Sketch,       BS NTV,       AQUA ARIS,       NetEase,       CTW,       AlphaPolis","None found, add some",J.C.Staff,Light novel,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.841 (scored by 125359125,359 users)
      


1
          indicates a weighted score.","#9432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#912,"282,797","2,224",,IsekaiIsekai,,,,
5,2024,winter,Yubisaki to Renren,A Sign of Affection,https://cdn.myanimelist.net/images/anime/1478/140828.jpg,,ゆびさきと恋々,A Sign of Affection,TV,12,Finished Airing,"Jan 6, 2024 to Mar 23, 2024",Winter 2024,Saturdays at 22,"Mainichi Broadcasting System,       Kodansha,       NBCUniversal Entertainment Japan,       Tokyo MX,       Crunchyroll,       TO Books,       Myrica Music,       NetEase","None found, add some",Ajia-do,Manga,,,23 min. per ep.,PG-13 - Teens 13 or older,"8.211 (scored by 124659124,659 users)
      


1
          indicates a weighted score.","#3832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#921,"280,014","3,641",ShoujoShoujo,Adult CastAdult Cast,RomanceRomance,,,
6,2024,winter,Chiyu Mahou no Machigatta Tsukaikata,The Wrong Way to Use Healing Magic,https://cdn.myanimelist.net/images/anime/1733/140802.jpg,,治癒魔法の間違った使い方,The Wrong Way to Use Healing Magic,TV,13,Finished Airing,"Jan 6, 2024 to Mar 30, 2024",Winter 2024,Saturdays at 00,"Frontier Works,       Lantis,       Half H.P Studio,       Crunchyroll,       GREE Entertainment,       Bandai Namco Music Live,       Capibara","None found, add some","Shin-Ei Animation,       Studio Add",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.531 (scored by 138023138,023 users)
      


1
          indicates a weighted score.","#18322

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#993,"262,063","1,197",,IsekaiIsekai,,,,
7,2024,winter,Boku no Kokoro no Yabai Yatsu 2nd Season,The Dangers in My Heart Season 2,https://cdn.myanimelist.net/images/anime/1643/138581.jpg,Bokuyaba,僕の心のヤバイやつ 第2期,The Dangers in My Heart Season 2,TV,13,Finished Airing,"Jan 7, 2024 to Mar 31, 2024",Winter 2024,Sundays at 01,"Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music",Sentai Filmworks,Shin-Ei Animation,Manga,"ComedyComedy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"8.761 (scored by 136217136,217 users)
      


1
          indicates a weighted score.","#432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1047,"245,958","5,330",ShounenShounen,SchoolSchool,,,,
8,2024,winter,Mato Seihei no Slave,Chained Soldier,https://cdn.myanimelist.net/images/anime/1114/140805.jpg,"Slave of the Magic Capital's Elite Troops, Mabotai",魔都精兵のスレイブ,Chained Soldier,TV,12,Finished Airing,"Jan 4, 2024 to Mar 21, 2024",Winter 2024,Thursdays at 23,"Pony Canyon,       AT-X,       MAGNET,       Yostar",Sentai Filmworks,Seven Arcs,Manga,"ActionAction,         FantasyFantasy,         EcchiEcchi","HaremHarem,         Urban FantasyUrban Fantasy",23 min. per ep.,R+ - Mild Nudity,"6.851 (scored by 8389083,890 users)
      


1
          indicates a weighted score.","#50872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1181,"220,056","1,653",ShounenShounen,,,,,
9,2024,winter,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,https://cdn.myanimelist.net/images/anime/1533/140617.jpg,"The Villainess Wants to Enjoy a Carefree Married Life in a Former Enemy Country in Her Seventh Loop!, The Villainess of 7th Time Loop Enjoys Free-Spirited Bride Life in the Former Hostile Country",ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する,7th Time Loop,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024",Winter 2024,Sundays at 23,"Pony Canyon,       AT-X,       DAX Production,       Docomo Anime Store,       Overlap,       Crunchyroll,       Muse Communication,       MAGNET","None found, add some","Studio Kai,       HORNETS",Light novel,,"Time TravelTime Travel,         VillainessVillainess",23 min. per ep.,PG-13 - Teens 13 or older,"7.511 (scored by 9483694,836 users)
      


1
          indicates a weighted score.","#19222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1363,"188,010","1,435",,,RomanceRomance,,,
