,jp_title,char_name,fav,img,colors,color_features,cluster
0,Horimiya,Izumi Miyamura (宮村 伊澄),16137,https://cdn.myanimelist.net/images/characters/12/507110.jpg,"[[194 222 249]
 [185 220 250]
 [177 200 225]
 [153 176 198]
 [134 146 170]
 [107 120 144]
 [ 75  85 105]
 [ 31  28  93]
 [ 14   9  12]
 [ 43  29  30]
 [ 50  45  49]
 [ 66  61  63]
 [ 75  41  44]
 [ 80  75  72]
 [ 87  81  80]
 [ 99  42  64]
 [104  79  65]
 [111 102 109]
 [142 129 131]
 [ 43  44 171]
 [172 159 167]
 [175 124  81]
 [183 133 162]
 [190 185 186]
 [175 152 207]
 [212 207 204]
 [228 226 228]
 [242 242 242]
 [249 248 248]
 [254 254 254]]","[0.52941176 0.50509804 0.56248366 0.26953285 0.2920685  0.29547171
 1.         0.2        0.03333333 0.03333333 0.         0.03333333
 0.         0.         0.         0.         0.1        0.
 0.         0.         0.1        0.03333333 0.         0.
 0.03333333 0.         0.         0.         0.03333333 0.06666667
 0.03333333 0.         0.         0.3       ]",1
1,Horimiya,Kyouko Hori (堀 京子),12528,https://cdn.myanimelist.net/images/characters/16/318188.jpg,"[[220 237 253]
 [208 227 250]
 [192 203 239]
 [173 182 230]
 [157 165 220]
 [130 139 183]
 [101 113 164]
 [ 87 102 155]
 [ 74  87 137]
 [ 66  77 124]
 [ 55  67 116]
 [ 48  56 102]
 [ 39  46  92]
 [ 33  38  78]
 [ 21  26  65]
 [ 16  17  45]
 [ 52  32  30]
 [ 72  52  48]
 [ 92  72  64]
 [103  84  74]
 [104  99 110]
 [129 124 133]
 [161 153 164]
 [174 174 179]
 [196 193 203]
 [100 115 204]
 [220 215 222]
 [238 234 239]
 [ 88 182 246]
 [251 251 252]]","[0.47058824 0.49176471 0.60405229 0.2669971  0.27549143 0.27831809
 1.         0.16666667 0.13333333 0.         0.         0.03333333
 0.         0.         0.         0.         0.06666667 0.
 0.         0.         0.16666667 0.1        0.         0.
 0.03333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.3       ]",1
2,Mushoku Tensei: Isekai Ittara Honki Dasu,Rudeus Greyrat (ルーデウス・グレイラット),10221,https://cdn.myanimelist.net/images/characters/2/423667.jpg,"[[221 234 246]
 [179 215 251]
 [140 207 241]
 [166 193 219]
 [171 180 189]
 [112 167 212]
 [145 162 178]
 [101 155 200]
 [115 131 194]
 [ 92 136 180]
 [129 139 149]
 [ 84 121 161]
 [ 73 105 139]
 [ 96 104 113]
 [ 59  89 121]
 [ 49  74 103]
 [ 37  56  78]
 [ 36  38  95]
 [ 22  28  60]
 [ 10   9  11]
 [ 23  23  26]
 [ 39  39  41]
 [ 49  50  54]
 [ 65  67  72]
 [ 85  85  90]
 [115 121 129]
 [ 53  54 149]
 [159 151 154]
 [203 210 215]
 [254 254 254]]","[0.40287582 0.47019608 0.56522876 0.24430236 0.26393905 0.27250384
 1.         0.23333333 0.1        0.         0.         0.1
 0.         0.         0.         0.         0.         0.
 0.         0.         0.16666667 0.16666667 0.         0.
 0.06666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.16666667]",4
3,Dr. Stone: Stone Wars,Senkuu Ishigami (石神 千空),22824,https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[213 231 245]
 [203 219 236]
 [188 205 224]
 [175 195 237]
 [182 197 213]
 [165 185 224]
 [155 175 212]
 [165 177 187]
 [137 160 203]
 [138 156 183]
 [127 146 168]
 [113 128 177]
 [112 129 151]
 [100 113 156]
 [ 95 109 133]
 [ 86 100 149]
 [ 77  89 121]
 [ 56  71 142]
 [ 65  78 104]
 [ 50  61 108]
 [ 36  48  87]
 [ 19  29  68]
 [  7  11  31]
 [ 27  39  37]
 [ 53  71  73]
 [ 99 125  98]
 [151 172 145]
 [ 64 128 246]
 [ 86 170 251]
 [240 249 254]]","[0.44235294 0.51843137 0.63568627 0.23836213 0.24392745 0.25445783
 1.         0.13333333 0.13333333 0.         0.         0.03333333
 0.03333333 0.         0.         0.         0.         0.
 0.         0.         0.2        0.1        0.         0.03333333
 0.13333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.2       ]",4
4,Tensei shitara Slime Datta Ken 2nd Season,Rimuru Tempest (リムル＝テンペスト),23554,https://cdn.myanimelist.net/images/characters/4/495795.jpg,"[[219 232 248]
 [178 209 229]
 [145 164 201]
 [129 145 179]
 [ 62 121 144]
 [118 117 130]
 [ 44  80  99]
 [ 21  50  60]
 [ 11   5   9]
 [ 43  25  23]
 [ 72  46  39]
 [ 84  55  47]
 [104  78  71]
 [115  87  79]
 [115  72  39]
 [127  96  87]
 [149  99  55]
 [160 129 103]
 [177 157 142]
 [182 121  56]
 [193 141  75]
 [198 187 185]
 [203 159  94]
 [210 173 113]
 [217 188 142]
 [228 206 171]
 [240 227 193]
 [244 233 206]
 [247 240 222]
 [253 253 252]]","[0.58666667 0.53529412 0.4827451  0.27627741 0.26648542 0.27525082
 1.         0.16666667 0.03333333 0.         0.         0.03333333
 0.         0.         0.         0.         0.06666667 0.
 0.         0.06666667 0.1        0.06666667 0.         0.
 0.         0.         0.         0.         0.06666667 0.06666667
 0.         0.         0.06666667 0.26666667]",1
5,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Emilia  (エミリア),23267,https://cdn.myanimelist.net/images/characters/16/551926.jpg,"[[229 238 252]
 [185 192 238]
 [119 120 132]
 [104 103 114]
 [ 85  87  97]
 [ 49  38  54]
 [ 73  62  78]
 [105  69  96]
 [127  83 113]
 [141 100 128]
 [137 133 145]
 [149 148 158]
 [163 100 141]
 [163 160 168]
 [ 96 172  95]
 [174 125 156]
 [174 171 180]
 [185 182 190]
 [192 139 175]
 [197 193 201]
 [210 197 209]
 [219 158 180]
 [217 215 224]
 [231 230 234]
 [237 166 190]
 [235 234 238]
 [242 217 229]
 [243 239 244]
 [248 248 251]
 [254 254 254]]","[0.67751634 0.62392157 0.67503268 0.22583987 0.2357476  0.22491426
 1.         0.06666667 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.06666667
 0.         0.         0.26666667 0.         0.         0.03333333
 0.         0.         0.         0.         0.         0.03333333
 0.1        0.         0.         0.43333333]",0
6,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Subaru Natsuki (ナツキ・スバル),21895,https://cdn.myanimelist.net/images/characters/15/315153.jpg,"[[210 232 254]
 [195 221 253]
 [173 196 230]
 [133 161 241]
 [143 163 196]
 [ 97 136 204]
 [113 131 163]
 [ 77 107 156]
 [ 50  79 140]
 [ 48  64  97]
 [ 25  39  67]
 [ 20  23  35]
 [ 41  39  42]
 [ 55  52  55]
 [ 68  64  65]
 [ 75  69  68]
 [ 78  72  73]
 [ 84  85  88]
 [ 92  93  94]
 [103 104 106]
 [118 118 120]
 [147 149 154]
 [181 184 191]
 [ 62 101 200]
 [ 72 116 210]
 [212 215 221]
 [118 148 236]
 [242 244 246]
 [ 89 174 251]
 [254 254 254]]","[0.44117647 0.50104575 0.61568627 0.24677803 0.25251306 0.28972405
 1.         0.23333333 0.06666667 0.         0.         0.06666667
 0.06666667 0.         0.         0.         0.         0.
 0.         0.         0.16666667 0.13333333 0.         0.
 0.03333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.23333333]",4
7,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Rem  (レム),45866,https://cdn.myanimelist.net/images/characters/9/311327.jpg,"[[206 224 251]
 [201 186 243]
 [183 161 234]
 [ 25   3  17]
 [ 59  13  37]
 [ 71  49  70]
 [ 97  72  93]
 [ 98  23  48]
 [119  98 118]
 [123  46  68]
 [144  68  89]
 [141 127 147]
 [160  90 123]
 [173 159 175]
 [178 121 146]
 [178  85  90]
 [202 102 108]
 [202 194 202]
 [203 128 171]
 [215 144 186]
 [219 127 126]
 [226 163 200]
 [230 147 142]
 [237 183 213]
 [242 167 157]
 [246 220 231]
 [251 187 175]
 [251 208 199]
 [228 249 253]
 [253 251 253]]","[0.70078431 0.52222222 0.59673203 0.24121345 0.26518636 0.26490398
 1.         0.1        0.         0.         0.         0.
 0.         0.         0.         0.         0.06666667 0.06666667
 0.         0.         0.1        0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.16666667 0.         0.         0.3       ]",0
8,5-toubun no Hanayome ∬,Miku Nakano (中野 三玖),21635,https://cdn.myanimelist.net/images/characters/15/507743.jpg,"[[211 230 252]
 [168 206 251]
 [199 203 221]
 [160 176 225]
 [112 138 213]
 [128 140 201]
 [139 139 157]
 [106 123 194]
 [ 97 108 184]
 [104 111 154]
 [ 90  97 174]
 [ 82  84 150]
 [ 75  65 122]
 [ 60  55 108]
 [ 36  39  41]
 [ 62  59  61]
 [ 83  89  85]
 [ 95  96  93]
 [105  45  41]
 [110 111 110]
 [138  70  63]
 [174 112 100]
 [173 170 175]
 [216 148 121]
 [221 192 179]
 [247 227 201]
 [249 246 231]
 [253 249 214]
 [233 248 253]
 [253 254 254]]","[0.5724183  0.55294118 0.63111111 0.25491098 0.26164828 0.25650763
 1.         0.06666667 0.1        0.         0.         0.03333333
 0.         0.         0.         0.         0.06666667 0.
 0.         0.         0.13333333 0.16666667 0.         0.
 0.06666667 0.         0.         0.         0.         0.06666667
 0.         0.         0.         0.3       ]",1
9,5-toubun no Hanayome ∬,Nino Nakano (中野 二乃),14892,https://cdn.myanimelist.net/images/characters/7/437011.jpg,"[[212 231 253]
 [204 224 253]
 [188 196 249]
 [180 171 251]
 [190 188 200]
 [167 174 231]
 [158 157 179]
 [123 116 176]
 [104  88 167]
 [ 91  80 138]
 [ 56  41  69]
 [ 81  63  85]
 [106  74  90]
 [119  86 106]
 [120  60  48]
 [137  94 113]
 [135 131 147]
 [148 102 124]
 [179  99  80]
 [185 165  91]
 [117  95 195]
 [135 115 211]
 [226 211 216]
 [223 229  95]
 [148 125 233]
 [240 240 244]
 [155 130 245]
 [162 139 246]
 [169 151 249]
 [254 253 254]]","[0.61594771 0.55267974 0.68470588 0.18617041 0.231133   0.26688495
 1.         0.03333333 0.03333333 0.         0.         0.
 0.         0.         0.         0.         0.03333333 0.06666667
 0.         0.         0.16666667 0.26666667 0.         0.
 0.03333333 0.         0.         0.         0.03333333 0.03333333
 0.         0.         0.03333333 0.26666667]",0
