,jp_title,en_title,char_name,fav,img
0,Chainsaw Man,,Kishibe   (岸辺),"Member Favorites: 1,296",https://cdn.myanimelist.net/images/characters/3/488553.jpg
1,Spy x Family Part 2,,Becky Blackbell (ベッキ・ブラックベル),Member Favorites: 116,https://cdn.myanimelist.net/images/characters/3/528426.jpg
2,Blue Lock,,Sae Itoshi (糸師 冴),Member Favorites: 380,https://cdn.myanimelist.net/images/characters/16/498292.jpg
3,Mob Psycho 100 III,,Tenga Onigawara (鬼瓦 天牙),Member Favorites: 77,https://cdn.myanimelist.net/images/characters/8/373641.jpg
4,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,Zeta  (ゼータ),Member Favorites: 151,https://cdn.myanimelist.net/images/characters/10/483019.jpg
5,Boku no Hero Academia 6th Season,My Hero Academia Season 6,Tsuyu Asui (蛙吹 梅雨),"Member Favorites: 4,673",https://cdn.myanimelist.net/images/characters/10/299409.jpg
6,Bocchi the Rock!,,Michiyo Gotou (後藤 美智代),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/6/493792.jpg
7,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,Shunsui Jirou Sakuranosuke Kyouraku (京楽 次郎 総蔵佐 春水),"Member Favorites: 3,487",https://cdn.myanimelist.net/images/characters/14/33242.jpg
8,"Fuufu Ijou, Koibito Miman.","More than a Married Couple, but Not Lovers.",Shuu Terafune (寺船 周),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/4/486891.jpg
9,Tensei shitara Ken deshita,Reincarnated as a Sword,Krad  (クラッド),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/495301.jpg
10,Fumetsu no Anata e Season 2,To Your Eternity Season 2,Kahaku  (カハク),Member Favorites: 65,https://cdn.myanimelist.net/images/characters/11/494201.jpg
11,Uzaki-chan wa Asobitai! Double,Uzaki-chan Wants to Hang Out! Season 2,Nodoka Sakurai (桜井 のどか),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/16/495632.jpg
12,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",Beast Tamer,Natalie Brough (ナタリー・ブロウ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/8/489590.jpg
13,Mairimashita! Iruma-kun 3rd Season,Welcome to Demon School! Iruma-kun Season 3,Lead Shax (シャックス・リード),Member Favorites: 86,https://cdn.myanimelist.net/images/characters/7/402904.jpg
14,Akuyaku Reijou nanode Last Boss wo Kattemimashita,"I'm the Villainess, So I'm Taming the Final Boss",Rudolf Lauren Dautriche (ルドルフ・ローレン・ドートリシュ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/491550.jpg
15,Urusei Yatsura (2022),Urusei Yatsura,Ten  (テン),Member Favorites: 16,https://cdn.myanimelist.net/images/characters/5/498940.jpg
16,Shinobi no Ittoki,,Iboro  (いぼろ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/487070.jpg
17,Akiba Meido Sensou,Akiba Maid War,Debt Collector  (取り立て屋),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/10/554111.jpg
18,Kidou Senshi Gundam: Suisei no Majo,Mobile Suit Gundam: The Witch from Mercury,Sophie Pulone (ソフィ・プロネ),Member Favorites: 14,https://cdn.myanimelist.net/images/characters/6/497800.jpg
19,Renai Flops,Love Flops,Yoshio Ijuuin (伊集院 好雄),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/9/490595.jpg
20,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,Yulia Macbeth Fongate (ユリア・マクベス・フォンゲート),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/3/495938.jpg
