,jp_title,en_title,char_name,fav,img
0,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,Touji Fushiguro (伏黒 甚爾),"Member Favorites: 7,115",https://cdn.myanimelist.net/images/characters/2/517123.jpg
1,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,Ariel Anemoi Asura (アリエル・アネモイ・アスラ),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/15/516104.jpg
2,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,John  (ジョン),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/16/518215.jpg
3,Horimiya: Piece,Horimiya: The Missing Pieces,Sakura Kouno (河野 桜),Member Favorites: 354,https://cdn.myanimelist.net/images/characters/6/424146.jpg
4,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,Grimmjow Jaegerjaquez (グリムジョー・ジャガージャック),"Member Favorites: 6,558",https://cdn.myanimelist.net/images/characters/10/529459.jpg
5,Watashi no Shiawase na Kekkon,My Happy Marriage,Hazuki Kudou (久堂 葉月),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/10/519661.jpg
6,Masamune-kun no Revenge R,Masamune-kun's Revenge R,Sonoka Kaneko (金子 園香),Member Favorites: 12,https://cdn.myanimelist.net/images/characters/3/401159.jpg
7,Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,Nikolai Gogol (ニコライ・ゴーゴリ),Member Favorites: 693,https://cdn.myanimelist.net/images/characters/15/565652.jpg
8,Suki na Ko ga Megane wo Wasureta,The Girl I Like Forgot Her Glasses,Science Teacher  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/578418.jpg
9,"Kanojo, Okarishimasu 3rd Season",Rent-a-Girlfriend Season 3,Shun Kuribayashi (栗林 駿),Member Favorites: 15,https://cdn.myanimelist.net/images/characters/2/409381.jpg
10,Yumemiru Danshi wa Genjitsushugisha,The Dreaming Boy is a Realist,Rena Aizawa (藍沢 レナ),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/13/516224.jpg
11,"Jitsu wa Ore, Saikyou deshita?",Am I Actually the Strongest?,Megami  (女神),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/516637.jpg
12,Nanatsu no Maken ga Shihai suru,Reign of the Seven Spellblades,Esmeralda  (エスメラルダ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/2/511811.jpg
13,Undead Girl Murder Farce,Undead Murder Farce,Victor  (ヴィクター),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/10/512579.jpg
14,Liar Liar,,Suzuran Kazami (風見 鈴蘭),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/506428.jpg
15,Dark Gathering,,Boy Spirit  (月蝕尽絶黒阿修羅),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/8/529601.jpg
16,Hataraku Maou-sama!! 2nd Season,The Devil is a Part-Timer! Season 2 Part 2,Emeralda Etuva (エメラダ・エトゥーヴァ),Member Favorites: 15,https://cdn.myanimelist.net/images/characters/11/204621.jpg
17,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,"Reborn as a Vending Machine, I Now Wander the Dungeon",Shiro  (白),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/7/512375.jpg
18,Level 1 dakedo Unique Skill de Saikyou desu,My Unique Skill Makes Me OP Even at Level 1,Ran  (ラン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/520744.jpg
19,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),Rurouni Kenshin,Misao Makimachi (巻町 操),Member Favorites: 133,https://cdn.myanimelist.net/images/characters/6/256279.jpg
20,Eiyuu Kyoushitsu,Classroom for Heroes,Maou  (魔王),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/7/517081.jpg
21,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",The Great Cleric,Bazan  (バザン),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/4/516483.jpg
22,Uchi no Kaisha no Chiisai Senpai no Hanashi,My Tiny Senpai,Shinobu Takatsukasa (鷹司 しのぶ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/522334.jpg
23,Dekiru Neko wa Kyou mo Yuuutsu,The Masterful Cat Is Depressed Again Today,Yume's Mother  (優芽の母),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/519967.jpg
24,Helck,,Cless  (クレス),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/15/479310.jpg
25,Temple,TenPuru: No One Can Live on Loneliness,Hinata Tendou (天道 陽),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/522935.jpg
