,year,season,jp_title,img,Japanese,Episodes,Starting,Ending,Producers,Studios,Main Studio,Source,Age Rating,Rating Score,Reviewers,Rating Score Rank,Popularity Rank,Members,Favorites
0,2021,winter,Jujutsu Kaisen,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,呪術廻戦,24,3 Oct 2020,27 Mar 2021,"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",MAPPA,MAPPA,Manga,R - 17+ (violence & profanity),8.56,18097800000000.0,110,13.0,2755845,93161
1,2021,winter,Yuru Camp△ Season 2,https://cdn.myanimelist.net/images/anime/1255/110636.jpg,ゆるキャン△ SEASON2,13,7 Jan 2021,1 Apr 2021,"Half H.P Studio, MAGES., DeNA",C-Station,C-Station,Manga,PG-13 - Teens 13 or older,8.5,105254000000.0,145,1091.0,238832,3105
2,2021,winter,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://cdn.myanimelist.net/images/anime/1724/117421.jpg,Re：ゼロから始める異世界生活,12,6 Jan 2021,24 Mar 2021,"AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",White Fox,White Fox,Light novel,R - 17+ (violence & profanity),8.43,568781000000.0,180,183.0,969121,13012
3,2021,winter,Mushoku Tensei: Isekai Ittara Honki Dasu,https://cdn.myanimelist.net/images/anime/1530/117776.jpg,無職転生 ～異世界行ったら本気だす～,11,11 Jan 2021,22 Mar 2021,"Frontier Works, TOHO, Magic Capsule, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music",Studio Bind,Studio Bind,Light novel,R - 17+ (violence & profanity),8.36,887681000000.0,227,95.0,1438841,36751
4,2021,winter,Tensei shitara Slime Datta Ken 2nd Season,https://cdn.myanimelist.net/images/anime/1271/109841.jpg,転生したらスライムだった件,12,12 Jan 2021,30 Mar 2021,Kodansha,8bit,8bit,Manga,PG-13 - Teens 13 or older,8.36,598596000000.0,231,161.0,1033610,10879
5,2021,winter,Non Non Biyori Nonstop,https://cdn.myanimelist.net/images/anime/1033/111540.jpg,のんのんびより のんすとっぷ,12,11 Jan 2021,29 Mar 2021,"TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions",SILVER LINK.,SILVER LINK.,Manga,PG-13 - Teens 13 or older,8.36,5058450584.0,228,1819.0,131268,959
6,2021,winter,Horimiya,https://cdn.myanimelist.net/images/anime/1695/111486.jpg,ホリミヤ,13,10 Jan 2021,4 Apr 2021,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Kanetsu Investment, My Theater D.D., Global Solutions, Mirai-Kojo",CloverWorks,CloverWorks,Manga,PG-13 - Teens 13 or older,8.19,902229000000.0,405,88.0,1489885,37572
7,2021,winter,Dr. Stone: Stone Wars,https://cdn.myanimelist.net/images/anime/1711/110614.jpg,ドクターストーン STONE WARS,11,14 Jan 2021,25 Mar 2021,"TOHO animation, Shueisha, Toho Music, 8PAN",TMS Entertainment,TMS Entertainment,Manga,PG-13 - Teens 13 or older,8.15,630897000000.0,462,144.0,1105489,7420
8,2021,winter,Uma Musume: Pretty Derby Season 2,https://cdn.myanimelist.net/images/anime/1447/114282.jpg,ウマ娘 プリティーダービー Season 2,13,5 Jan 2021,30 Mar 2021,"TOHO animation, Cygames",Studio Kai,Studio Kai,Game,PG-13 - Teens 13 or older,8.06,2534725347.0,590,3064.0,58147,904
9,2021,winter,World Trigger 2nd Season,https://cdn.myanimelist.net/images/anime/1598/110462.jpg,ワールドトリガー,12,10 Jan 2021,4 Apr 2021,TV Asahi,Toei Animation,Toei Animation,Manga,PG-13 - Teens 13 or older,8.05,6277162771.0,593,1546.0,162666,812
