,jp_title,char_name,fav,img,colors
0,Horimiya,Izumi Miyamura (宮村 伊澄),16137,https://cdn.myanimelist.net/images/characters/12/507110.jpg,"[[186, 220, 249], [164, 162, 197], [32, 31, 90], [19, 12, 14], [49, 36, 38], [64, 58, 60], [83, 78, 76], [96, 41, 61], [104, 79, 66], [128, 124, 132], [43, 44, 171], [179, 139, 161], [197, 201, 209], [242, 242, 242], [254, 254, 254]]"
1,Horimiya,Kyouko Hori (堀 京子),12528,https://cdn.myanimelist.net/images/characters/16/318188.jpg,"[[218, 234, 251], [207, 207, 223], [163, 172, 225], [149, 146, 161], [112, 130, 195], [89, 104, 156], [68, 79, 128], [49, 59, 106], [35, 41, 83], [20, 22, 56], [63, 43, 39], [98, 78, 69], [114, 109, 118], [174, 174, 179], [247, 246, 248]]"
2,Horimiya,Yuki Yoshikawa (吉川 由紀),1502,https://cdn.myanimelist.net/images/characters/9/424143.jpg,"[[194, 219, 249], [143, 213, 233], [116, 181, 201], [102, 167, 185], [131, 142, 154], [76, 121, 141], [74, 93, 106], [55, 68, 79], [18, 16, 15], [35, 45, 51], [71, 58, 51], [98, 79, 72], [189, 190, 193], [238, 239, 242], [124, 236, 253]]"
10,Mushoku Tensei: Isekai Ittara Honki Dasu,Rudeus Greyrat (ルーデウス・グレイラット),10221,https://cdn.myanimelist.net/images/characters/2/423667.jpg,"[[220, 232, 244], [178, 214, 250], [173, 187, 200], [106, 158, 204], [95, 133, 179], [76, 110, 145], [56, 85, 115], [37, 48, 85], [20, 20, 24], [41, 41, 44], [75, 77, 83], [113, 120, 128], [53, 54, 148], [152, 154, 161], [254, 254, 254]]"
11,Mushoku Tensei: Isekai Ittara Honki Dasu,Roxy Migurdia (ロキシー・ミグルディア),9320,https://cdn.myanimelist.net/images/characters/16/552605.jpg,"[[179, 205, 246], [114, 165, 205], [151, 159, 169], [95, 136, 172], [66, 94, 122], [61, 69, 79], [18, 18, 22], [39, 38, 41], [59, 55, 55], [110, 106, 106], [121, 76, 73], [193, 132, 117], [200, 195, 196], [223, 232, 237], [252, 253, 253]]"
12,Mushoku Tensei: Isekai Ittara Honki Dasu,Eris Boreas Greyrat (エリス・ボレアス・グレイラット),6158,https://cdn.myanimelist.net/images/characters/14/324594.jpg,"[[206, 235, 251], [171, 216, 252], [189, 202, 222], [146, 181, 247], [162, 176, 199], [124, 148, 229], [133, 148, 173], [97, 115, 148], [64, 83, 115], [41, 26, 116], [15, 15, 49], [61, 45, 154], [79, 78, 191], [100, 111, 212], [250, 253, 254]]"
13,Mushoku Tensei: Isekai Ittara Honki Dasu,Sylphiette  (シルフィエット),3018,https://cdn.myanimelist.net/images/characters/10/423669.jpg,"[[184, 220, 250], [136, 150, 163], [14, 16, 20], [39, 50, 49], [67, 74, 77], [42, 90, 65], [75, 109, 97], [110, 123, 130], [80, 149, 115], [98, 177, 139], [71, 70, 182], [158, 184, 188], [201, 210, 213], [230, 244, 250], [253, 254, 254]]"
20,Dr. Stone: Stone Wars,Senkuu Ishigami (石神 千空),22824,https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[206, 222, 238], [185, 202, 218], [172, 193, 234], [160, 179, 215], [140, 161, 200], [128, 146, 173], [107, 122, 158], [92, 106, 148], [81, 96, 114], [57, 70, 120], [42, 54, 87], [15, 22, 41], [153, 174, 150], [80, 158, 250], [236, 247, 254]]"
21,Dr. Stone: Stone Wars,Gen Asagiri (あさぎり ゲン),4099,https://cdn.myanimelist.net/images/characters/12/398561.jpg,"[[195, 218, 241], [176, 198, 221], [153, 171, 187], [118, 144, 181], [93, 114, 146], [63, 88, 96], [8, 12, 26], [43, 49, 56], [85, 64, 60], [114, 93, 100], [130, 142, 141], [67, 155, 126], [215, 221, 224], [223, 186, 231], [230, 237, 244]]"
30,Tensei shitara Slime Datta Ken 2nd Season,Rimuru Tempest (リムル＝テンペスト),23554,https://cdn.myanimelist.net/images/characters/4/495795.jpg,"[[218, 231, 247], [144, 164, 199], [122, 128, 142], [35, 73, 89], [21, 15, 17], [77, 49, 41], [107, 79, 70], [122, 92, 83], [180, 121, 58], [192, 146, 86], [207, 170, 112], [216, 194, 163], [241, 228, 196], [246, 238, 217], [253, 253, 252]]"
