,jp_title,en_title,char_name,fav,img
0,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Rudeus Greyrat (ルーデウス・グレイラット),"Member Favorites: 10,221",https://cdn.myanimelist.net/images/characters/2/423667.jpg
1,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Eris Boreas Greyrat (エリス・ボレアス・グレイラット),"Member Favorites: 6,158",https://cdn.myanimelist.net/images/characters/14/324594.jpg
2,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Ruijerd Superdia (ルイジェルド・スペルディア),Member Favorites: 742,https://cdn.myanimelist.net/images/characters/16/490046.jpg
3,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Roxy Migurdia (ロキシー・ミグルディア),"Member Favorites: 9,320",https://cdn.myanimelist.net/images/characters/16/552605.jpg
4,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Sylphiette  (シルフィエット),"Member Favorites: 3,018",https://cdn.myanimelist.net/images/characters/10/423669.jpg
5,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Orsted  (オルステッド),Member Favorites: 769,https://cdn.myanimelist.net/images/characters/2/457289.jpg
6,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Ghislaine Dedoldia (ギレーヌ・デドルディア),Member Favorites: 633,https://cdn.myanimelist.net/images/characters/8/457999.jpg
7,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Paul Greyrat (パウロ・グレイラット),Member Favorites: 518,https://cdn.myanimelist.net/images/characters/2/457576.jpg
8,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Zenith Greyrat (ゼニス・グレイラット),Member Favorites: 239,https://cdn.myanimelist.net/images/characters/6/494628.jpg
9,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Aisha Greyrat (アイシャ・グレイラット),Member Favorites: 204,https://cdn.myanimelist.net/images/characters/16/274691.jpg
10,"Komi-san wa, Comyushou desu.",Komi Can't Communicate,Shouko Komi (古見 硝子),"Member Favorites: 9,639",https://cdn.myanimelist.net/images/characters/5/354941.jpg
11,"Komi-san wa, Comyushou desu.",Komi Can't Communicate,Hitohito Tadano (只野 仁人),"Member Favorites: 2,234",https://cdn.myanimelist.net/images/characters/5/451438.jpg
