,jp_title,en_title,char_name,fav,img
0,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Tanjirou Kamado (竈門 炭治郎),"Member Favorites: 24,663",https://cdn.myanimelist.net/images/characters/6/386735.jpg
1,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Nezuko Kamado (竈門 禰豆子),"Member Favorites: 14,415",https://cdn.myanimelist.net/images/characters/2/378254.jpg
2,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Mitsuri Kanroji (甘露寺 蜜璃),"Member Favorites: 4,173",https://cdn.myanimelist.net/images/characters/11/514229.jpg
3,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Muichirou Tokitou (時透 無一郎),"Member Favorites: 3,715",https://cdn.myanimelist.net/images/characters/5/464903.jpg
4,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Zenitsu Agatsuma (我妻 善逸),"Member Favorites: 16,544",https://cdn.myanimelist.net/images/characters/10/459689.jpg
5,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Inosuke Hashibira (嘴平 伊之助),"Member Favorites: 15,077",https://cdn.myanimelist.net/images/characters/3/329560.jpg
6,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Kyoujurou Rengoku (煉獄 杏寿郎),"Member Favorites: 14,170",https://cdn.myanimelist.net/images/characters/10/423443.jpg
7,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Shinobu Kochou (胡蝶 しのぶ),"Member Favorites: 12,094",https://cdn.myanimelist.net/images/characters/3/386591.jpg
8,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Giyuu Tomioka (冨岡 義勇),"Member Favorites: 11,744",https://cdn.myanimelist.net/images/characters/3/423445.jpg
9,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Tengen Uzui (宇髄 天元),"Member Favorites: 5,667",https://cdn.myanimelist.net/images/characters/16/387706.jpg
10,[Oshi no Ko],,Kana Arima (有馬 かな),"Member Favorites: 8,782",https://cdn.myanimelist.net/images/characters/6/503733.jpg
11,[Oshi no Ko],,Ai Hoshino (星野 アイ),"Member Favorites: 7,680",https://cdn.myanimelist.net/images/characters/6/496453.jpg
12,[Oshi no Ko],,Aquamarine Hoshino (星野 愛久愛海),"Member Favorites: 5,099",https://cdn.myanimelist.net/images/characters/8/512509.jpg
13,[Oshi no Ko],,Ruby Hoshino (星野 瑠美衣),"Member Favorites: 2,565",https://cdn.myanimelist.net/images/characters/5/496454.jpg
14,[Oshi no Ko],,Akane Kurokawa (黒川 あかね),"Member Favorites: 5,401",https://cdn.myanimelist.net/images/characters/5/512681.jpg
15,[Oshi no Ko],,Mem-Cho  (MEMちょ),Member Favorites: 794,https://cdn.myanimelist.net/images/characters/8/507015.jpg
16,[Oshi no Ko],,Miyako Saitou (斉藤 ミヤコ),Member Favorites: 355,https://cdn.myanimelist.net/images/characters/11/511321.jpg
17,[Oshi no Ko],,Taishi Gotanda (五反田 泰志),Member Favorites: 214,https://cdn.myanimelist.net/images/characters/7/508843.jpg
18,[Oshi no Ko],,Gorou Amamiya (雨宮 吾郎),Member Favorites: 166,https://cdn.myanimelist.net/images/characters/12/507962.jpg
19,[Oshi no Ko],,Sarina Tendouji (天童寺 さりな),Member Favorites: 124,https://cdn.myanimelist.net/images/characters/7/512492.jpg
20,Jigokuraku,Hell's Paradise,Gabimaru  (画眉丸),"Member Favorites: 2,723",https://cdn.myanimelist.net/images/characters/5/497163.jpg
21,Jigokuraku,Hell's Paradise,Sagiri Yamada Asaemon (山田浅ェ門 佐切),"Member Favorites: 1,241",https://cdn.myanimelist.net/images/characters/8/497169.jpg
22,Jigokuraku,Hell's Paradise,Yuzuriha  (杠),Member Favorites: 636,https://cdn.myanimelist.net/images/characters/9/497164.jpg
23,Jigokuraku,Hell's Paradise,Shion Yamada Asaemon (山田浅ェ門 士遠),Member Favorites: 496,https://cdn.myanimelist.net/images/characters/10/508931.jpg
24,Jigokuraku,Hell's Paradise,Choubei Aza (亜左 弔兵衛),Member Favorites: 286,https://cdn.myanimelist.net/images/characters/5/497165.jpg
25,Jigokuraku,Hell's Paradise,Tenza Yamada Asaemon (山田浅ェ門 典坐),Member Favorites: 150,https://cdn.myanimelist.net/images/characters/12/505130.jpg
26,Jigokuraku,Hell's Paradise,Gantetsusai Tamiya (民谷 厳鉄斎),Member Favorites: 88,https://cdn.myanimelist.net/images/characters/8/505366.jpg
27,Jigokuraku,Hell's Paradise,Fuchi Yamada Asaemon (山田浅ェ門 付知),Member Favorites: 78,https://cdn.myanimelist.net/images/characters/7/505365.jpg
28,Jigokuraku,Hell's Paradise,Touma Yamada Asaemon (山田浅ェ門 桐馬),Member Favorites: 75,https://cdn.myanimelist.net/images/characters/8/497171.jpg
29,Jigokuraku,Hell's Paradise,Yui  (結),Member Favorites: 61,https://cdn.myanimelist.net/images/characters/11/507739.jpg
30,Mashle,Mashle: Magic and Muscles,Mash Burnedead (マッシュ・バーンデッド),"Member Favorites: 1,836",https://cdn.myanimelist.net/images/characters/12/410288.jpg
31,Mashle,Mashle: Magic and Muscles,Lance Crown (ランス・クラウン),Member Favorites: 170,https://cdn.myanimelist.net/images/characters/10/506220.jpg
32,Mashle,Mashle: Magic and Muscles,Dot Barrett (ドット・バレット),Member Favorites: 109,https://cdn.myanimelist.net/images/characters/15/506221.jpg
33,Mashle,Mashle: Magic and Muscles,Lemon Irvine (レモン・アーヴィン),Member Favorites: 96,https://cdn.myanimelist.net/images/characters/4/506222.jpg
34,Mashle,Mashle: Magic and Muscles,Finn Ames (フィン・エイムズ),Member Favorites: 72,https://cdn.myanimelist.net/images/characters/16/506223.jpg
35,Mashle,Mashle: Magic and Muscles,Rayne Ames (レイン エイムズ),Member Favorites: 243,https://cdn.myanimelist.net/images/characters/2/514789.jpg
36,Mashle,Mashle: Magic and Muscles,Abyss Razor (アビス・レイザー),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/6/514593.jpg
37,Mashle,Mashle: Magic and Muscles,Abel Walker (アベル・ウォーカー),Member Favorites: 41,https://cdn.myanimelist.net/images/characters/8/517199.jpg
38,Mashle,Mashle: Magic and Muscles,Rhodes Eamus (ローデス・エイムス),Member Favorites: 18,https://cdn.myanimelist.net/images/characters/4/521647.jpg
39,Mashle,Mashle: Magic and Muscles,Love Cute (ラブ・キュート),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/10/513153.jpg
40,Tengoku Daimakyou,Heavenly Delusion,Kiruko  (キルコ),Member Favorites: 627,https://cdn.myanimelist.net/images/characters/7/487926.jpg
41,Tengoku Daimakyou,Heavenly Delusion,Maru  (マル),Member Favorites: 266,https://cdn.myanimelist.net/images/characters/4/502336.jpg
42,Tengoku Daimakyou,Heavenly Delusion,Mimihime  (ミミヒメ),Member Favorites: 118,https://cdn.myanimelist.net/images/characters/8/502337.jpg
43,Tengoku Daimakyou,Heavenly Delusion,Shun Usami (宇佐美 旬),Member Favorites: 82,https://cdn.myanimelist.net/images/characters/11/511968.jpg
44,Tengoku Daimakyou,Heavenly Delusion,Shiro  (シロ),Member Favorites: 18,https://cdn.myanimelist.net/images/characters/15/502343.jpg
