,jp_title,en_title,char_name,fav,img
0,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Kiyotaka Ayanokouji (綾小路 清隆),"Member Favorites: 36,299",https://cdn.myanimelist.net/images/characters/4/539058.jpg
1,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Suzune Horikita (堀北 鈴音),"Member Favorites: 3,244",https://cdn.myanimelist.net/images/characters/12/539069.jpg
2,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Kei Karuizawa (軽井沢 恵),"Member Favorites: 2,992",https://cdn.myanimelist.net/images/characters/7/539083.jpg
3,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Arisu Sakayanagi (坂柳 有栖),"Member Favorites: 1,405",https://cdn.myanimelist.net/images/characters/9/539103.jpg
4,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Honami Ichinose (一之瀬 帆波),"Member Favorites: 1,074",https://cdn.myanimelist.net/images/characters/14/539075.jpg
5,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Airi Sakura (佐倉 愛里),Member Favorites: 523,https://cdn.myanimelist.net/images/characters/13/539106.jpg
6,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Kakeru Ryuuen (龍園 翔),Member Favorites: 420,https://cdn.myanimelist.net/images/characters/16/538283.jpg
7,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Rokusuke Kouenji (高円寺 六助),Member Favorites: 328,https://cdn.myanimelist.net/images/characters/9/539090.jpg
8,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Kikyou Kushida (櫛田 桔梗),Member Favorites: 277,https://cdn.myanimelist.net/images/characters/10/539091.jpg
9,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,Sae Chabashira (茶柱 佐枝),Member Favorites: 276,https://cdn.myanimelist.net/images/characters/9/539063.jpg
10,Yofukashi no Uta,Call of the Night,Nazuna Nanakusa (七草 ナズナ),"Member Favorites: 4,791",https://cdn.myanimelist.net/images/characters/10/480353.jpg
11,Yofukashi no Uta,Call of the Night,Kou Yamori (夜守 コウ),Member Favorites: 697,https://cdn.myanimelist.net/images/characters/7/480354.jpg
12,Yofukashi no Uta,Call of the Night,Anko Uguisu (鶯 アンコ),Member Favorites: 780,https://cdn.myanimelist.net/images/characters/2/489556.jpg
