,jp_title,en_title,char_name,fav,img
0,Ore dake Level Up na Ken,Solo Leveling,Jin-Woo Sung (성 진우),"Member Favorites: 17,628",https://cdn.myanimelist.net/images/characters/2/540692.jpg
1,Ore dake Level Up na Ken,Solo Leveling,Hae-In Cha (차해인),"Member Favorites: 3,235",https://cdn.myanimelist.net/images/characters/15/531268.jpg
2,Ore dake Level Up na Ken,Solo Leveling,Igris  (이그리트),Member Favorites: 520,https://cdn.myanimelist.net/images/characters/5/390162.jpg
3,Ore dake Level Up na Ken,Solo Leveling,Jin-Ah Sung (성진아),Member Favorites: 318,https://cdn.myanimelist.net/images/characters/11/531269.jpg
4,Ore dake Level Up na Ken,Solo Leveling,Gun-Hee Go (고건희),Member Favorites: 276,https://cdn.myanimelist.net/images/characters/3/531270.jpg
5,Ore dake Level Up na Ken,Solo Leveling,Joo-Hee Lee (이 주희),Member Favorites: 174,https://cdn.myanimelist.net/images/characters/4/540694.jpg
6,Ore dake Level Up na Ken,Solo Leveling,Jin-Ho Yoo (유 진호),Member Favorites: 173,https://cdn.myanimelist.net/images/characters/16/531271.jpg
7,Ore dake Level Up na Ken,Solo Leveling,Jong-In Choi (최종인),Member Favorites: 113,https://cdn.myanimelist.net/images/characters/7/531272.jpg
8,Ore dake Level Up na Ken,Solo Leveling,Yoon-Ho Baek (백윤호),Member Favorites: 90,https://cdn.myanimelist.net/images/characters/4/531273.jpg
9,Ore dake Level Up na Ken,Solo Leveling,Jin-Chul Woo (우 진철),Member Favorites: 71,https://cdn.myanimelist.net/images/characters/16/531274.jpg
10,Dungeon Meshi,Delicious in Dungeon,Marcille Donato (マルシル・ドナトー),"Member Favorites: 2,130",https://cdn.myanimelist.net/images/characters/12/512503.jpg
11,Dungeon Meshi,Delicious in Dungeon,Laios Touden (ライオス・トーデン),"Member Favorites: 1,893",https://cdn.myanimelist.net/images/characters/15/512504.jpg
12,Dungeon Meshi,Delicious in Dungeon,Senshi  (センシ),"Member Favorites: 1,251",https://cdn.myanimelist.net/images/characters/10/512505.jpg
13,Dungeon Meshi,Delicious in Dungeon,Chilchuck Tims (チルチャック・ティムズ),Member Favorites: 364,https://cdn.myanimelist.net/images/characters/13/512506.jpg
14,Dungeon Meshi,Delicious in Dungeon,Izutsumi  (イヅツミ),Member Favorites: 692,https://cdn.myanimelist.net/images/characters/7/543860.jpg
15,Dungeon Meshi,Delicious in Dungeon,Falin Touden (ファリン・トーデン),Member Favorites: 564,https://cdn.myanimelist.net/images/characters/11/543864.jpg
16,Dungeon Meshi,Delicious in Dungeon,Mithrun  (ミスルン),Member Favorites: 266,https://cdn.myanimelist.net/images/characters/15/550059.jpg
17,Dungeon Meshi,Delicious in Dungeon,Kabru  (カブルー),Member Favorites: 236,https://cdn.myanimelist.net/images/characters/7/531004.jpg
18,Dungeon Meshi,Delicious in Dungeon,Thistle  (シスル),Member Favorites: 106,https://cdn.myanimelist.net/images/characters/7/552500.jpg
19,Dungeon Meshi,Delicious in Dungeon,Inutade  (イヌタデ),Member Favorites: 29,https://cdn.myanimelist.net/images/characters/6/543788.jpg
20,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,Kiyotaka Ayanokouji (綾小路 清隆),"Member Favorites: 36,298",https://cdn.myanimelist.net/images/characters/4/539058.jpg
21,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,Suzune Horikita (堀北 鈴音),"Member Favorites: 3,244",https://cdn.myanimelist.net/images/characters/12/539069.jpg
22,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,Kei Karuizawa (軽井沢 恵),"Member Favorites: 2,992",https://cdn.myanimelist.net/images/characters/7/539083.jpg
23,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,Arisu Sakayanagi (坂柳 有栖),"Member Favorites: 1,405",https://cdn.myanimelist.net/images/characters/9/539103.jpg
24,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III,Honami Ichinose (一之瀬 帆波),"Member Favorites: 1,074",https://cdn.myanimelist.net/images/characters/14/539075.jpg
