jp_title;char_name;fav;img
Shingeki no Kyojin: The Final Season;Eren Yeager (エレン・イェーガー);71891;https://cdn.myanimelist.net/images/characters/10/216895.jpg
Shingeki no Kyojin: The Final Season;Mikasa Ackerman (ミカサ・アッカーマン);55501;https://cdn.myanimelist.net/images/characters/9/215563.jpg
Shingeki no Kyojin: The Final Season;Armin Arlert (アルミン・アルレルト);20861;https://cdn.myanimelist.net/images/characters/8/220267.jpg
Shingeki no Kyojin: The Final Season;Levi  (リヴァイ);142823;https://cdn.myanimelist.net/images/characters/2/241413.jpg
Shingeki no Kyojin: The Final Season;Hange Zoë (ハンジ・ゾエ);19971;https://cdn.myanimelist.net/images/characters/15/208637.jpg
Shingeki no Kyojin: The Final Season;Sasha Blouse (サシャ・ブラウス);10545;https://cdn.myanimelist.net/images/characters/6/251937.jpg
Shingeki no Kyojin: The Final Season;Reiner Braun (ライナー・ブラウン);9361;https://cdn.myanimelist.net/images/characters/16/206489.jpg
Shingeki no Kyojin: The Final Season;Jean Kirstein (ジャン・キルシュタイン);7215;https://cdn.myanimelist.net/images/characters/14/216893.jpg
Shingeki no Kyojin: The Final Season;Annie Leonhart (アニ・レオンハート);6027;https://cdn.myanimelist.net/images/characters/9/206357.jpg
Shingeki no Kyojin: The Final Season;Zeke  (ジーク);2909;https://cdn.myanimelist.net/images/characters/13/489878.jpg
Horimiya;Izumi Miyamura (宮村 伊澄);16137;https://cdn.myanimelist.net/images/characters/12/507110.jpg
Horimiya;Kyouko Hori (堀 京子);12528;https://cdn.myanimelist.net/images/characters/16/318188.jpg
Horimiya;Yuki Yoshikawa (吉川 由紀);1502;https://cdn.myanimelist.net/images/characters/9/424143.jpg
Horimiya;Kyousuke Hori (堀 京介);1061;https://cdn.myanimelist.net/images/characters/7/318212.jpg
Horimiya;Honoka Sawada (沢田 ほのか);433;https://cdn.myanimelist.net/images/characters/5/318276.jpg
Horimiya;Akane Yanagi (柳 明音);423;https://cdn.myanimelist.net/images/characters/10/424142.jpg
Horimiya;Shuu Iura (井浦 秀);405;https://cdn.myanimelist.net/images/characters/7/424145.jpg
Horimiya;Remi Ayasaki (綾崎 レミ);403;https://cdn.myanimelist.net/images/characters/8/422261.jpg
Horimiya;Tooru Ishikawa (石川 透);400;https://cdn.myanimelist.net/images/characters/6/424144.jpg
Horimiya;Sakura Kouno (河野 桜);354;https://cdn.myanimelist.net/images/characters/6/424146.jpg
