year;season;jp_title;img;Japanese;Episodes;Starting;Ending;Producers;Studios;Source;Age Rating;Rating Score;Rating Score Num;Reviewers;Rating Score Rank;Popularity Rank;Members;Favorites
2023;fall;Sousou no Frieren;https://cdn.myanimelist.net/images/anime/1015/138006.jpg;葬送のフリーレン;28;29 Sep 2023;22 Mar 2024;Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan;Madhouse;Manga;PG-13 - Teens 13 or older;9.311;9.311;601639601639;"12

2
 ";162;1033004;63025
2024;winter;Sousou no Frieren;https://cdn.myanimelist.net/images/anime/1015/138006.jpg;葬送のフリーレン;28;29 Sep 2023;22 Mar 2024;Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan;Madhouse;Manga;PG-13 - Teens 13 or older;9.311;9.311;601912601912;"12

2
 ";162;1033379;63026
2022;fall;Bleach: Sennen Kessen-hen;https://cdn.myanimelist.net/images/anime/1908/135431.jpg;BLEACH 千年血戦篇;13;11 Oct 2022;27 Dec 2022;TV Tokyo, Aniplex, Dentsu, Shueisha;Pierrot;Manga;R - 17+ (violence & profanity);9.001;9.001;325872325872;"122

2
 ";375;615498;21970
2022;spring;Kaguya-sama wa Kokurasetai: Ultra Romantic;https://cdn.myanimelist.net/images/anime/1160/122627.jpg;かぐや様は告らせたい-ウルトラロマンティック-;13;9 Apr 2022;25 Jun 2022;Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications;A-1 Pictures;Manga;PG-13 - Teens 13 or older;8.991;8.991;571838571838;"132

2
 ";168;1008204;32125
2021;spring;Fruits Basket: The Final;https://cdn.myanimelist.net/images/anime/1085/114792.jpg;フルーツバスケット The Final;13;6 Apr 2021;29 Jun 2021;TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.961;8.961;255908255908;"152

2
 ";460;514864;20749
2023;fall;Kusuriya no Hitorigoto;https://cdn.myanimelist.net/images/anime/1708/138033.jpg;薬屋のひとりごと;24;22 Oct 2023;24 Mar 2024;Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos;OLM, TOHO animation STUDIO;Light novel;PG-13 - Teens 13 or older;8.881;8.881;295826295826;"232

2
 ";421;564467;16823
2024;winter;Kusuriya no Hitorigoto;https://cdn.myanimelist.net/images/anime/1708/138033.jpg;薬屋のひとりごと;24;22 Oct 2023;24 Mar 2024;Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos;OLM, TOHO animation STUDIO;Light novel;PG-13 - Teens 13 or older;8.881;8.881;295826295826;"232

2
 ";421;564467;16823
2021;winter;Kingdom 3rd Season;https://cdn.myanimelist.net/images/anime/1443/111830.jpg;キングダム 第3シリーズ;26;6 Apr 2020;17 Oct 2021;Shueisha;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.831;8.831;4576645766;"302

2
 ";2033;113997;2345
2021;spring;Kingdom 3rd Season;https://cdn.myanimelist.net/images/anime/1443/111830.jpg;キングダム 第3シリーズ;26;6 Apr 2020;17 Oct 2021;Shueisha;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.831;8.831;4576645766;"302

2
 ";2033;113997;2347
2021;summer;Kingdom 3rd Season;https://cdn.myanimelist.net/images/anime/1443/111830.jpg;キングダム 第3シリーズ;26;6 Apr 2020;17 Oct 2021;Shueisha;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.831;8.831;4576645766;"302

2
 ";2033;113997;2347
2023;winter;Vinland Saga Season 2;https://cdn.myanimelist.net/images/anime/1170/124312.jpg;ヴィンランド・サガ SEASON2;24;10 Jan 2023;20 Jun 2023;Dentsu, Kodansha, Twin Engine;MAPPA;Manga;R - 17+ (violence & profanity);8.811;8.811;388818388818;"322

2
 ";298;715626;17161
2023;spring;Vinland Saga Season 2;https://cdn.myanimelist.net/images/anime/1170/124312.jpg;ヴィンランド・サガ SEASON2;24;10 Jan 2023;20 Jun 2023;Dentsu, Kodansha, Twin Engine;MAPPA;Manga;R - 17+ (violence & profanity);8.811;8.811;388818388818;"322

2
 ";298;715626;17161
2021;winter;Shingeki no Kyojin: The Final Season;https://cdn.myanimelist.net/images/anime/1000/110531.jpg;進撃の巨人 The Final Season;16;7 Dec 2020;29 Mar 2021;Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises;MAPPA;Manga;R - 17+ (violence & profanity);8.781;8.781;14079291407929;"352

2
 ";33;2120403;52870
2022;winter;Shingeki no Kyojin: The Final Season Part 2;https://cdn.myanimelist.net/images/anime/1948/120625.jpg;進撃の巨人 The Final Season Part 2;12;10 Jan 2022;4 Apr 2022;Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises;MAPPA;Manga;R - 17+ (violence & profanity);8.761;8.761;826720826720;"402

2
 ";99;1406191;31026
