,jp_title,char_name,fav,img,colors
0,Horimiya,Izumi Miyamura (宮村 伊澄),16137,https://cdn.myanimelist.net/images/characters/12/507110.jpg,"[[186, 220, 249], [164, 162, 197], [32, 31, 90], [19, 12, 14], [49, 36, 38], [64, 58, 60], [83, 78, 76], [96, 41, 61], [104, 79, 66], [128, 124, 132], [43, 44, 171], [179, 139, 161], [197, 201, 209], [242, 242, 242], [254, 254, 254]]"
20,Dr. Stone: Stone Wars,Senkuu Ishigami (石神 千空),22824,https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[206, 222, 238], [185, 202, 218], [172, 193, 234], [160, 179, 215], [140, 161, 200], [128, 146, 173], [107, 122, 158], [92, 106, 148], [81, 96, 114], [57, 70, 120], [42, 54, 87], [15, 22, 41], [153, 174, 150], [80, 158, 250], [236, 247, 254]]"
30,Tensei shitara Slime Datta Ken 2nd Season,Rimuru Tempest (リムル＝テンペスト),23554,https://cdn.myanimelist.net/images/characters/4/495795.jpg,"[[218, 231, 247], [144, 164, 199], [122, 128, 142], [35, 73, 89], [21, 15, 17], [77, 49, 41], [107, 79, 70], [122, 92, 83], [180, 121, 58], [192, 146, 86], [207, 170, 112], [216, 194, 163], [241, 228, 196], [246, 238, 217], [253, 253, 252]]"
40,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Emilia  (エミリア),23267,https://cdn.myanimelist.net/images/characters/16/551926.jpg,"[[229, 238, 252], [186, 193, 238], [67, 58, 73], [107, 81, 103], [116, 115, 124], [143, 141, 151], [154, 100, 136], [170, 153, 170], [183, 180, 189], [208, 198, 208], [227, 218, 226], [229, 162, 186], [235, 233, 237], [246, 245, 250], [254, 253, 254]]"
41,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Subaru Natsuki (ナツキ・スバル),21895,https://cdn.myanimelist.net/images/characters/15/315153.jpg,"[[197, 222, 253], [177, 189, 208], [127, 156, 238], [135, 148, 170], [60, 89, 144], [24, 26, 36], [44, 44, 50], [60, 58, 61], [75, 70, 71], [89, 90, 92], [101, 102, 103], [116, 118, 121], [72, 113, 205], [89, 174, 250], [254, 254, 254]]"
42,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Rem  (レム),45866,https://cdn.myanimelist.net/images/characters/9/311327.jpg,"[[207, 221, 250], [187, 168, 234], [52, 12, 33], [102, 47, 69], [121, 95, 117], [162, 131, 153], [162, 77, 93], [208, 112, 116], [209, 139, 180], [227, 171, 203], [232, 150, 144], [245, 209, 217], [250, 184, 173], [228, 249, 253], [253, 251, 253]]"
70,5-toubun no Hanayome ∬,Miku Nakano (中野 三玖),21635,https://cdn.myanimelist.net/images/characters/15/507743.jpg,"[[213, 231, 251], [169, 196, 241], [158, 159, 175], [115, 134, 204], [95, 105, 180], [86, 88, 154], [71, 62, 118], [49, 46, 49], [85, 89, 86], [113, 111, 112], [129, 62, 56], [213, 146, 120], [215, 197, 190], [251, 244, 215], [250, 253, 253]]"
250,Bungou Stray Dogs Wan!,Osamu Dazai (太宰 治),35854,https://cdn.myanimelist.net/images/characters/5/307236.jpg,"[[203, 221, 238], [163, 183, 198], [131, 161, 179], [115, 145, 164], [93, 110, 122], [71, 85, 95], [47, 54, 65], [6, 10, 15], [25, 30, 35], [36, 42, 50], [139, 125, 113], [174, 170, 167], [209, 203, 193], [237, 240, 242], [254, 254, 254]]"
613,Jujutsu Kaisen,Satoru Gojou (五条 悟),61958,https://cdn.myanimelist.net/images/characters/15/422168.jpg,"[[180, 198, 234], [130, 134, 154], [18, 9, 8], [37, 26, 29], [45, 30, 3], [64, 48, 56], [66, 51, 6], [95, 79, 89], [105, 85, 11], [133, 94, 106], [150, 128, 9], [177, 164, 173], [208, 187, 195], [227, 217, 223], [244, 238, 243]]"
614,Jujutsu Kaisen,Yuuji Itadori (虎杖 悠仁),16760,https://cdn.myanimelist.net/images/characters/6/467646.jpg,"[[228, 241, 251], [194, 225, 251], [159, 182, 228], [122, 143, 195], [95, 101, 169], [63, 75, 121], [35, 33, 98], [25, 18, 78], [21, 13, 50], [18, 14, 19], [51, 35, 39], [99, 70, 63], [45, 38, 145], [146, 113, 106], [50, 50, 186]]"
