,Main_Studio,Episodes,Rating Score,Rating Score Rank,Popularity Rank,Members,Favorites,Reviewers,log_norm_rating,log_norm_reviewers,Cluster,Category
0,MAPPA,24,8.561,110,13,2755845,93161,18097800000000.0,2.257692324103309,30.526811499851625,0,Best
1,C-Station,13,8.501,145,1091,238832,3105,105254000000.0,2.2513970562246124,25.379642313546835,0,Best
2,White Fox,12,8.431,180,183,969121,13012,568781000000.0,2.2440021355617477,27.066761311222464,0,Best
3,Studio Bind,11,8.361,227,95,1438841,36751,887681000000.0,2.236552122389608,27.511878281165398,0,Best
4,8bit,12,8.361,231,161,1033610,10879,598596000000.0,2.236552122389608,27.11785275008575,0,Best
5,SILVER LINK.,12,8.361,228,1819,131268,959,5058450584.0,2.236552122389608,22.344326064856368,2,Good
6,CloverWorks,13,8.191,405,88,1489885,37572,902229000000.0,2.2182247443759726,27.528134205054076,0,Best
7,TMS Entertainment,11,8.151,462,144,1105489,7420,630897000000.0,2.213863162933241,27.17040845320171,0,Best
8,Studio Kai,13,8.061,590,3064,58147,904,2534725347.0,2.2039794892399236,21.653351124135703,2,Good
9,Toei Animation,12,8.051,593,1546,162666,812,6277162771.0,2.2028752488450336,22.56018392744153,2,Good
10,Bibury Animation Studios,12,8.021,643,279,758384,11628,460373000000.0,2.199555192674502,26.855302867419827,0,Best
11,Bones,12,8.001,671,392,590843,13450,300114000000.0,2.1973356822749484,26.42742823942423,0,Best
12,Bones,12,7.981,685,1882,125754,1164,5356453564.0,2.1951112346888126,22.401567944722377,2,Good
13,Orange,12,7.771,1101,513,467473,2275,244583000000.0,2.1714508249692446,26.222820556561757,0,Best
14,Toei Animation,100,7.731,1218,2613,76566,644,2596225962.0,2.1668799108286705,21.677324674758342,2,Good
15,CloverWorks,12,7.561,1725,263,790421,9204,355311000000.0,2.1472170057603486,26.596259299249287,0,Best
16,LIDENFILMS,13,7.521,1889,1111,234437,457,8291882918.0,2.142533704845819,22.83854291166628,2,Good
17,Millepensee,24,7.451,2154,502,473394,4597,250373000000.0,2.1342847775623452,26.24621764288651,0,Best
18,Lerche,12,7.411,2311,2759,70276,570,1980219802.0,2.1295403729803004,21.406473687107685,2,Good
19,Pierrot,25,7.401,2355,4751,24097,111,84058405.0,2.12835074638271,18.247022424715723,3,Medium
20,Toei Animation,46,7.391,2398,5864,14126,147,45434543.0,2.1271597028879325,17.631783254745603,3,Medium
21,Ajia-do,12,7.371,2477,628,397140,2303,177392000000.0,2.1247733516779195,25.901627809982045,0,Best
22,David Production,8,7.371,2498,906,284701,601,102613000000.0,2.1247733516779195,25.354230467319365,0,Best
23,Team TillDawn,24,7.231,3196,5593,15984,44,82148214.0,2.107907513990507,18.22403567366614,3,Medium
24,Tatsunoko Production,51,7.231,3212,10519,3008,11,972972.0,2.107907513990507,13.788111611553937,1,Bad
25,Passione,24,7.201,3362,900,288572,1602,9630096300.0,2.1042560980542744,22.988159062810286,2,Good
26,Asahi Production,12,7.161,3599,2500,82790,308,3394333943.0,2.099366710487106,21.945373391375504,2,Good
27,Platinum Vision,12,7.151,3619,2449,85346,335,3393433934.0,2.0981406191123204,21.9451082058178,2,Good
28,Kinema Citrus,12,7.141,3691,6031,13170,50,37713771.0,2.0969130225918406,17.445535890750385,3,Medium
29,Project No.9,12,7.111,3867,594,414872,2010,207832000000.0,2.0932211650882078,26.059995897985672,0,Best
30,Studio Deen,12,7.071,4046,1019,256187,647,8929889298.0,2.088277390342235,22.912669835229426,2,Good
31,J.C.Staff,12,7.031,4253,5166,19674,68,47014701.0,2.083309053206325,17.66597091927059,3,Medium
32,Studio CANDY BOX,12,7.011,4348,3185,53717,254,2107321073.0,2.08081559723298,21.468683344591977,2,Good
33,W-Toon Studio,26,6.981,4474,7611,7389,27,30183018.0,2.0770637168938717,17.222790039435523,3,Medium
34,Toei Animation,45,6.921,4739,6047,13036,84,41924192.0,2.0695174604821425,17.55137361682997,3,Medium
35,Sunrise,24,6.701,5928,1861,127860,653,3843838438.0,2.041350190557113,22.069737297774736,2,Good
36,Production I.G,12,6.681,6048,8257,6061,12,19201920.0,2.0387497470165448,16.77052088407647,3,Medium
37,LIDENFILMS,12,6.651,6215,1865,127724,567,4205242052.0,2.0348363582497146,22.159597691853747,2,Good
38,Studio Deen,24,6.571,6673,533,451468,1582,215880000000.0,2.0243251591211697,26.097988534701486,0,Best
39,Lay-duce,12,6.561,6725,5399,17562,119,53385338.0,2.023003456576133,17.79304671567272,3,Medium
40,Bandai Namco Pictures,24,6.551,6783,9406,4256,27,12641264.0,2.0216800048212886,16.35247702078933,3,Medium
