,Unnamed: 0,jp_title,en_title,char_name,fav,img
0,0,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Zeke  (ジーク),"Member Favorites: 2,910",https://cdn.myanimelist.net/images/characters/13/489878.jpg
1,1,Horimiya,,Sakura Kouno (河野 桜),Member Favorites: 353,https://cdn.myanimelist.net/images/characters/6/424146.jpg
2,2,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Aisha Greyrat (アイシャ・グレイラット),Member Favorites: 204,https://cdn.myanimelist.net/images/characters/16/274691.jpg
3,3,Dr. Stone: Stone Wars,,Ukyou Saionji (西園寺 羽京),Member Favorites: 385,https://cdn.myanimelist.net/images/characters/13/413288.jpg
4,4,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Gobta  (ゴブタ),Member Favorites: 505,https://cdn.myanimelist.net/images/characters/12/381715.jpg
5,5,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Roswaal L. Mathers (ロズワール・Ｌ・メイザース),Member Favorites: 519,https://cdn.myanimelist.net/images/characters/6/512960.jpg
6,6,Yakusoku no Neverland 2nd Season,The Promised Neverland Season 2,Anna  (アンナ),Member Favorites: 61,https://cdn.myanimelist.net/images/characters/4/360050.jpg
7,7,Wonder Egg Priority,,Acca  (アカ),Member Favorites: 21,https://cdn.myanimelist.net/images/characters/12/431556.jpg
8,8,5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,Revival's Manager  (店長),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/12/472104.jpg
9,9,SK∞,SK8 the Infinity,Nanako Hasegawa (馳河 菜々子),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/434398.jpg
10,10,"Kumo desu ga, Nani ka?","So I'm a Spider, So What?",Potimas Harrifenas (ポティマス・ハァイフェナス),Member Favorites: 15,https://cdn.myanimelist.net/images/characters/9/347459.jpg
11,11,Beastars 2nd Season,,Collot  (コロ),Member Favorites: 20,https://cdn.myanimelist.net/images/characters/2/402401.jpg
12,12,Nanatsu no Taizai: Funnu no Shinpan,The Seven Deadly Sins: Dragon's Judgement,Zeldris  (ゼルドリス),Member Favorites: 288,https://cdn.myanimelist.net/images/characters/7/400299.jpg
13,13,Jaku-Chara Tomozaki-kun,Bottom-Tier Character Tomozaki,Takei  (竹井),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/11/533906.jpg
14,14,Ore dake Haireru Kakushi Dungeon,The Hidden Dungeon Only I Can Enter,Leila Overlock (レイラ・オバーロック),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/11/490959.jpg
15,15,Kemono Jihen,,Yoko Inari (飯生 妖子),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/3/478515.jpg
16,16,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town?,Eug  ,Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/476744.jpg
17,17,Hataraku Saibou!!,Cells at Work!!,NK Saibou  (NK細胞),Member Favorites: 31,https://cdn.myanimelist.net/images/characters/12/362907.jpg
18,18,Log Horizon: Entaku Houkai,Log Horizon: Destruction of the Round Table,Serara  (セララ),Member Favorites: 63,https://cdn.myanimelist.net/images/characters/6/292926.jpg
19,19,Yuru Camp△ Season 2,Laid-Back Camp Season 2,Akari Inuyama (犬山 あかり),Member Favorites: 27,https://cdn.myanimelist.net/images/characters/15/543899.jpg
20,20,Hataraku Saibou Black,Cells at Work! CODE BLACK!,Hakkekkyuu 8787  (白血球 8787),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/7/424236.jpg
21,21,World Trigger 2nd Season,,Kei Tachikawa (太刀川 慶),Member Favorites: 39,https://cdn.myanimelist.net/images/characters/14/284873.jpg
22,22,Non Non Biyori Nonstop,,Shiori  (しおり),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/5/424017.jpg
23,23,Urasekai Picnic,Otherside Picnic,Abarato  (肋戸),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/474097.jpg
24,24,Bungou Stray Dogs Wan!,Bungo Stray Dogs Wan!,Edgar Allan Poe (エドガー・アラン・ポオ),Member Favorites: 522,https://cdn.myanimelist.net/images/characters/14/317491.jpg
25,25,2.43: Seiin Koukou Danshi Volley-bu,2.43: Seiin High School Boys Volleyball Team,Ryuudai Jinno (神野 龍大),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/7/427985.jpg
26,26,Kai Byoui Ramune,Dr. Ramune -Mysterious Disease Specialist-,Koto's Mother  (琴の母親),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/457352.jpg
27,27,Ex-Arm,,Souma  (蒼真),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/430224.jpg
28,28,Tenchi Souzou Design-bu,Heaven's Design Team, Kimura (木村),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/16/435759.jpg
29,29,Hortensia Saga,,Roy Bashro (ロイ・バッシュロ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/3/433855.jpg
30,30,Idoly Pride,,Saki Shiraishi (白石 沙季),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/13/423232.jpg
31,31,Uma Musume: Pretty Derby Season 2,,Daiwa Scarlet  (ダイワスカーレット),Member Favorites: 39,https://cdn.myanimelist.net/images/characters/7/574416.jpg
32,32,Azur Lane: Bisoku Zenshin!,Azur Lane: Slow Ahead!,Nagato  (長門),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/16/478758.jpg
33,33,Wave!! Surfing Yappe!! (TV),WAVE!! -Let's go surfing!!-,Hayamichi Goyou (五洋 早道),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/557331.jpg
34,34,Skate-Leading☆Stars,Skate-Leading Stars,Tomoyuki Kubota (窪田 智之),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/11/403298.jpg
35,35,Back Arrow,,Tom  (トム),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/14/428123.jpg
36,36,Project Scard: Praeter no Kizu,Scar on the Praeter,Hraesvelgr  (先代フレスヴェルグ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/3/418264.jpg
37,37,Majutsushi Orphen Hagure Tabi: Kimluck-hen,Sorcerous Stabber Orphen: Battle of Kimluck,Anastasia  (アナスタシア),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/2/574798.jpg
38,38,Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,Momoko  (百子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/469962.jpg
39,39,I★Chu: Halfway Through the Idol,,Issei Todoroki (轟 一誠),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/12/422647.jpg
40,40,Yami Shibai 8,Theatre of Darkness: Yamishibai 8,Storyteller  (紙芝居屋),Member Favorites: 72,https://cdn.myanimelist.net/images/characters/4/259167.jpg
41,41,Soukou Musume Senki,LBX Girls,Otacross  (オタクロス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/172799.jpg
