year;season;jp_title;img;Japanese;Episodes;Starting;Ending;Producers;Studios;Source;Age Rating;Rating Score;Rating Score Num;Reviewers;Rating Score Rank;Popularity Rank;Members;Favorites
2021;winter;Kingdom 3rd Season;https://cdn.myanimelist.net/images/anime/1443/111830.jpg;キングダム 第3シリーズ;26;6 Apr 2020;17 Oct 2021;Shueisha;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.831;8.83;4576645766;"302

2
 ";2033;113997;2345
2021;winter;Shingeki no Kyojin: The Final Season;https://cdn.myanimelist.net/images/anime/1000/110531.jpg;進撃の巨人 The Final Season;16;7 Dec 2020;29 Mar 2021;Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises;MAPPA;Manga;R - 17+ (violence & profanity);8.781;8.78;14079291407929;"352

2
 ";33;2120403;52870
2021;winter;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14167831416783;"502

2
 ";17;2491944;234234
2021;winter;Jujutsu Kaisen;https://cdn.myanimelist.net/images/anime/1171/109222.jpg;呪術廻戦;24;3 Oct 2020;27 Mar 2021;Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap;MAPPA;Manga;R - 17+ (violence & profanity);8.561;8.56;18097841809784;"1102

2
 ";13;2755845;93161
2021;winter;Yuru Camp△ Season 2;https://cdn.myanimelist.net/images/anime/1255/110636.jpg;ゆるキャン△ SEASON2;13;7 Jan 2021;1 Apr 2021;Half H.P Studio, MAGES., DeNA;C-Station;Manga;PG-13 - Teens 13 or older;8.501;8.50;105254105254;"1452

2
 ";1091;238832;3105
2021;winter;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;https://cdn.myanimelist.net/images/anime/1724/117421.jpg;Re：ゼロから始める異世界生活;12;6 Jan 2021;24 Mar 2021;AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa;White Fox;Light novel;R - 17+ (violence & profanity);8.431;8.43;568780568780;"1802

2
 ";183;969121;13012
2021;winter;Mushoku Tensei: Isekai Ittara Honki Dasu;https://cdn.myanimelist.net/images/anime/1530/117776.jpg;無職転生 ～異世界行ったら本気だす～;11;11 Jan 2021;22 Mar 2021;Frontier Works, TOHO, Magic Capsule, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music;Studio Bind;Light novel;R - 17+ (violence & profanity);8.361;8.36;887680887680;"2272

2
 ";95;1438841;36751
2021;winter;Tensei shitara Slime Datta Ken 2nd Season;https://cdn.myanimelist.net/images/anime/1271/109841.jpg;転生したらスライムだった件;12;12 Jan 2021;30 Mar 2021;Kodansha;8bit;Manga;PG-13 - Teens 13 or older;8.361;8.36;598595598595;"2312

2
 ";161;1033610;10879
2021;winter;Non Non Biyori Nonstop;https://cdn.myanimelist.net/images/anime/1033/111540.jpg;のんのんびより のんすとっぷ;12;11 Jan 2021;29 Mar 2021;TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions;SILVER LINK.;Manga;PG-13 - Teens 13 or older;8.361;8.36;5058450584;"2282

2
 ";1819;131268;959
2021;winter;Horimiya;https://cdn.myanimelist.net/images/anime/1695/111486.jpg;ホリミヤ;13;10 Jan 2021;4 Apr 2021;Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Kanetsu Investment, My Theater D.D., Global Solutions, Mirai-Kojo;CloverWorks;Manga;PG-13 - Teens 13 or older;8.191;8.19;902228902228;"4052

2
 ";88;1489885;37572
