,test,Unnamed: 0,jp_title,en_title,char_name,fav,img,colors
0,0,0,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Eren Yeager (エレン・イェーガー),"Member Favorites: 71,891",https://cdn.myanimelist.net/images/characters/10/216895.jpg,"[[8, 16, 10], [176, 193, 199], [48, 72, 60], [89, 147, 186], [250, 253, 253], [163, 217, 252], [74, 111, 146], [76, 98, 96], [22, 41, 50], [141, 159, 150]]"
1,1,1,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Mikasa Ackerman (ミカサ・アッカーマン),"Member Favorites: 55,501",https://cdn.myanimelist.net/images/characters/9/215563.jpg,"[[11, 8, 13], [87, 126, 183], [229, 244, 251], [104, 99, 106], [161, 173, 188], [71, 60, 66], [135, 128, 129], [199, 209, 219], [48, 72, 112], [38, 37, 49]]"
2,2,2,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Armin Arlert (アルミン・アルレルト),"Member Favorites: 20,861",https://cdn.myanimelist.net/images/characters/8/220267.jpg,"[[36, 142, 186], [49, 69, 40], [187, 235, 247], [120, 222, 237], [11, 60, 83], [126, 157, 145], [28, 103, 133], [10, 24, 15], [75, 217, 247], [87, 108, 82]]"
3,3,3,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Levi  (リヴァイ),"Member Favorites: 142,823",https://cdn.myanimelist.net/images/characters/2/241413.jpg,"[[1, 5, 1], [178, 226, 252], [69, 87, 89], [40, 58, 50], [146, 164, 167], [19, 30, 26], [102, 123, 137], [248, 252, 252], [10, 18, 9], [189, 199, 200]]"
4,4,4,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Hange Zoë (ハンジ・ゾエ),"Member Favorites: 19,971",https://cdn.myanimelist.net/images/characters/15/208637.jpg,"[[81, 109, 155], [11, 15, 19], [236, 241, 240], [32, 42, 49], [128, 140, 153], [167, 213, 253], [49, 60, 77], [180, 185, 194], [209, 159, 115], [68, 91, 118]]"
5,5,5,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Sasha Blouse (サシャ・ブラウス),"Member Favorites: 10,545",https://cdn.myanimelist.net/images/characters/6/251937.jpg,"[[110, 103, 111], [144, 150, 163], [47, 53, 65], [80, 123, 158], [245, 248, 250], [146, 182, 204], [33, 34, 37], [60, 69, 88], [196, 204, 211], [74, 98, 120]]"
6,6,6,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Reiner Braun (ライナー・ブラウン),"Member Favorites: 9,361",https://cdn.myanimelist.net/images/characters/16/206489.jpg,"[[39, 53, 74], [181, 222, 253], [233, 196, 145], [86, 114, 136], [12, 22, 41], [241, 249, 241], [191, 137, 80], [55, 82, 129], [167, 220, 244], [163, 178, 186]]"
7,7,7,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Jean Kirstein (ジャン・キルシュタイン),"Member Favorites: 7,215",https://cdn.myanimelist.net/images/characters/14/216893.jpg,"[[30, 46, 76], [127, 154, 184], [94, 123, 171], [0, 2, 8], [228, 243, 250], [179, 189, 198], [66, 96, 158], [164, 208, 249], [10, 22, 45], [58, 74, 105]]"
8,8,8,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Annie Leonhart (アニ・レオンハート),"Member Favorites: 6,027",https://cdn.myanimelist.net/images/characters/9/206357.jpg,"[[167, 187, 198], [49, 86, 135], [206, 233, 252], [97, 124, 135], [123, 143, 170], [15, 28, 42], [165, 231, 241], [228, 248, 244], [39, 58, 70], [69, 90, 101]]"
9,9,9,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,Zeke  (ジーク),"Member Favorites: 2,909",https://cdn.myanimelist.net/images/characters/13/489878.jpg,"[[49, 47, 73], [85, 130, 170], [58, 69, 134], [59, 63, 91], [104, 161, 204], [50, 50, 104], [35, 22, 41], [77, 107, 146], [92, 145, 187], [61, 72, 108]]"
10,10,10,Horimiya,,Izumi Miyamura (宮村 伊澄),"Member Favorites: 16,137",https://cdn.myanimelist.net/images/characters/12/507110.jpg,"[[83, 77, 76], [249, 248, 249], [174, 154, 181], [130, 124, 133], [187, 219, 248], [30, 20, 22], [56, 47, 51], [104, 79, 66], [96, 42, 60], [43, 44, 170]]"
11,11,11,Horimiya,,Kyouko Hori (堀 京子),"Member Favorites: 12,528",https://cdn.myanimelist.net/images/characters/16/318188.jpg,"[[65, 76, 124], [204, 204, 223], [40, 47, 91], [97, 108, 155], [218, 234, 251], [97, 77, 69], [157, 169, 224], [28, 27, 56], [170, 169, 176], [247, 246, 248]]"
12,12,12,Horimiya,,Yuki Yoshikawa (吉川 由紀),"Member Favorites: 1,502",https://cdn.myanimelist.net/images/characters/9/424143.jpg,"[[114, 178, 197], [50, 53, 54], [238, 239, 242], [127, 234, 251], [78, 121, 140], [194, 219, 249], [57, 75, 87], [97, 80, 74], [187, 189, 192], [20, 21, 22]]"
13,13,13,Horimiya,,Kyousuke Hori (堀 京介),"Member Favorites: 1,061",https://cdn.myanimelist.net/images/characters/7/318212.jpg,"[[144, 157, 159], [171, 195, 227], [101, 116, 120], [141, 164, 204], [251, 252, 252], [159, 173, 176], [202, 231, 252], [63, 62, 59], [126, 140, 143], [92, 87, 77]]"
