,jp_title,char_name,fav,img,colors
0,Horimiya,Izumi Miyamura (宮村 伊澄),16137,https://cdn.myanimelist.net/images/characters/12/507110.jpg,"[[194, 222, 249], [185, 220, 250], [177, 200, 225], [153, 176, 198], [134, 146, 170], [107, 120, 144], [75, 85, 105], [31, 28, 93], [14, 9, 12], [43, 29, 30], [50, 45, 49], [66, 61, 63], [75, 41, 44], [80, 75, 72], [87, 81, 80], [99, 42, 64], [104, 79, 65], [111, 102, 109], [142, 129, 131], [43, 44, 171], [172, 159, 167], [175, 124, 81], [183, 133, 162], [190, 185, 186], [175, 152, 207], [212, 207, 204], [228, 226, 228], [242, 242, 242], [249, 248, 248], [254, 254, 254]]"
1,Horimiya,Kyouko Hori (堀 京子),12528,https://cdn.myanimelist.net/images/characters/16/318188.jpg,"[[220, 237, 253], [208, 227, 250], [192, 203, 239], [173, 182, 230], [157, 165, 220], [130, 139, 183], [101, 113, 164], [87, 102, 155], [74, 87, 137], [66, 77, 124], [55, 67, 116], [48, 56, 102], [39, 46, 92], [33, 38, 78], [21, 26, 65], [16, 17, 45], [52, 32, 30], [72, 52, 48], [92, 72, 64], [103, 84, 74], [104, 99, 110], [129, 124, 133], [161, 153, 164], [174, 174, 179], [196, 193, 203], [100, 115, 204], [220, 215, 222], [238, 234, 239], [88, 182, 246], [251, 251, 252]]"
2,Horimiya,Yuki Yoshikawa (吉川 由紀),1502,https://cdn.myanimelist.net/images/characters/9/424143.jpg,"[[195, 219, 249], [158, 226, 245], [141, 216, 236], [130, 200, 217], [122, 188, 206], [113, 180, 198], [136, 165, 216], [105, 171, 190], [150, 161, 173], [99, 159, 176], [88, 143, 160], [124, 131, 140], [79, 125, 146], [72, 115, 136], [65, 103, 120], [87, 89, 100], [56, 88, 103], [45, 73, 86], [40, 59, 70], [30, 49, 57], [8, 8, 8], [31, 26, 23], [24, 36, 43], [52, 44, 41], [74, 60, 53], [64, 66, 75], [98, 79, 72], [191, 191, 194], [238, 239, 242], [124, 236, 253]]"
10,Mushoku Tensei: Isekai Ittara Honki Dasu,Rudeus Greyrat (ルーデウス・グレイラット),10221,https://cdn.myanimelist.net/images/characters/2/423667.jpg,"[[221, 234, 246], [179, 215, 251], [140, 207, 241], [166, 193, 219], [171, 180, 189], [112, 167, 212], [145, 162, 178], [101, 155, 200], [115, 131, 194], [92, 136, 180], [129, 139, 149], [84, 121, 161], [73, 105, 139], [96, 104, 113], [59, 89, 121], [49, 74, 103], [37, 56, 78], [36, 38, 95], [22, 28, 60], [10, 9, 11], [23, 23, 26], [39, 39, 41], [49, 50, 54], [65, 67, 72], [85, 85, 90], [115, 121, 129], [53, 54, 149], [159, 151, 154], [203, 210, 215], [254, 254, 254]]"
11,Mushoku Tensei: Isekai Ittara Honki Dasu,Roxy Migurdia (ロキシー・ミグルディア),9320,https://cdn.myanimelist.net/images/characters/16/552605.jpg,"[[215, 231, 239], [182, 206, 247], [162, 196, 242], [170, 178, 187], [113, 170, 209], [150, 160, 170], [105, 145, 181], [90, 134, 170], [81, 110, 139], [63, 90, 118], [51, 67, 85], [33, 45, 60], [11, 11, 15], [26, 25, 28], [40, 39, 39], [56, 55, 54], [65, 36, 31], [70, 69, 70], [96, 59, 55], [105, 102, 102], [122, 77, 74], [126, 132, 140], [162, 108, 98], [192, 132, 120], [198, 206, 210], [220, 152, 122], [232, 227, 227], [242, 191, 178], [230, 241, 246], [253, 254, 254]]"
12,Mushoku Tensei: Isekai Ittara Honki Dasu,Eris Boreas Greyrat (エリス・ボレアス・グレイラット),6158,https://cdn.myanimelist.net/images/characters/14/324594.jpg,"[[202, 236, 253], [178, 224, 253], [205, 217, 235], [161, 203, 251], [184, 197, 219], [144, 180, 247], [163, 177, 199], [127, 156, 210], [142, 151, 172], [105, 139, 188], [114, 126, 152], [80, 97, 169], [57, 114, 125], [91, 99, 126], [58, 64, 145], [63, 74, 103], [41, 34, 110], [35, 37, 72], [23, 12, 101], [15, 14, 59], [5, 6, 20], [50, 28, 131], [65, 41, 163], [75, 69, 188], [87, 87, 201], [99, 109, 214], [115, 129, 229], [129, 155, 242], [228, 244, 251], [252, 254, 254]]"
13,Mushoku Tensei: Isekai Ittara Honki Dasu,Sylphiette  (シルフィエット),3018,https://cdn.myanimelist.net/images/characters/10/423669.jpg,"[[216, 233, 243], [185, 221, 251], [172, 209, 245], [155, 185, 212], [141, 154, 162], [113, 139, 188], [90, 110, 139], [11, 12, 15], [30, 37, 39], [48, 54, 58], [69, 76, 77], [36, 81, 57], [49, 98, 72], [88, 98, 101], [68, 123, 96], [112, 124, 125], [80, 147, 114], [131, 144, 150], [59, 52, 157], [92, 169, 131], [157, 169, 175], [98, 177, 140], [106, 188, 152], [183, 190, 192], [206, 213, 215], [133, 220, 189], [99, 118, 231], [231, 245, 251], [242, 252, 253], [254, 254, 254]]"
20,Dr. Stone: Stone Wars,Senkuu Ishigami (石神 千空),22824,https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[213, 231, 245], [203, 219, 236], [188, 205, 224], [175, 195, 237], [182, 197, 213], [165, 185, 224], [155, 175, 212], [165, 177, 187], [137, 160, 203], [138, 156, 183], [127, 146, 168], [113, 128, 177], [112, 129, 151], [100, 113, 156], [95, 109, 133], [86, 100, 149], [77, 89, 121], [56, 71, 142], [65, 78, 104], [50, 61, 108], [36, 48, 87], [19, 29, 68], [7, 11, 31], [27, 39, 37], [53, 71, 73], [99, 125, 98], [151, 172, 145], [64, 128, 246], [86, 170, 251], [240, 249, 254]]"
21,Dr. Stone: Stone Wars,Gen Asagiri (あさぎり ゲン),4099,https://cdn.myanimelist.net/images/characters/12/398561.jpg,"[[199, 221, 244], [185, 210, 235], [172, 196, 220], [150, 178, 209], [135, 157, 189], [114, 139, 178], [94, 118, 155], [83, 97, 114], [47, 64, 91], [22, 31, 48], [4, 7, 21], [54, 48, 51], [77, 74, 76], [36, 81, 60], [88, 59, 52], [106, 86, 75], [116, 70, 113], [53, 123, 92], [116, 124, 127], [128, 105, 92], [143, 152, 154], [58, 155, 144], [79, 156, 114], [165, 176, 182], [109, 186, 160], [200, 209, 215], [213, 174, 220], [221, 225, 228], [229, 193, 237], [233, 240, 247]]"
30,Tensei shitara Slime Datta Ken 2nd Season,Rimuru Tempest (リムル＝テンペスト),23554,https://cdn.myanimelist.net/images/characters/4/495795.jpg,"[[219, 232, 248], [178, 209, 229], [145, 164, 201], [129, 145, 179], [62, 121, 144], [118, 117, 130], [44, 80, 99], [21, 50, 60], [11, 5, 9], [43, 25, 23], [72, 46, 39], [84, 55, 47], [104, 78, 71], [115, 87, 79], [115, 72, 39], [127, 96, 87], [149, 99, 55], [160, 129, 103], [177, 157, 142], [182, 121, 56], [193, 141, 75], [198, 187, 185], [203, 159, 94], [210, 173, 113], [217, 188, 142], [228, 206, 171], [240, 227, 193], [244, 233, 206], [247, 240, 222], [253, 253, 252]]"
